"Density","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.91247,2.4597e+05,0,1.7253e-05,1.0691,329.75,0.50029,0,74547,-3.6996e+17,0,0,0,275.04,0,,28.29,20.19,0,0
0.89704,2.423e+05,0,1.7163e-05,1.0881,328.98,0.45671,0,72788,-3.9494e+17,0,0,0,273.2,0,,28.363,20.263,0,0
0.88191,2.3867e+05,0,1.7072e-05,1.107,327.81,0.45729,0,71091,-4.1904e+17,0,0,0,271.37,0,,28.436,20.336,0,0
0.8668,2.3504e+05,0,1.6981e-05,1.1259,326.62,0.45971,0,69396,-4.4311e+17,0,0,0,269.54,0,,28.509,20.409,0,0
0.85201,2.3147e+05,0,1.6889e-05,1.1446,325.26,0.48265,0,67752,-4.6646e+17,0,0,0,267.71,0,,28.582,20.482,0,0
0.83745,2.2795e+05,0,1.6798e-05,1.1632,323.78,0.51937,0,66141,-4.8933e+17,0,0,0,265.88,0,,28.655,20.555,0,0
0.82307,2.2448e+05,0,1.6706e-05,1.1818,322.27,0.56226,0,64552,-5.119e+17,0,0,0,264.05,0,,28.728,20.628,0,0
0.80925,2.2114e+05,0,1.6613e-05,1.2007,320.71,0.62506,0,63032,-5.3349e+17,0,0,0,262.21,0,,28.801,20.701,0,0
0.79543,2.178e+05,0,1.652e-05,1.2195,319.14,0.68786,0,61511,-5.5508e+17,0,0,0,260.36,0,,28.875,20.774,0,0
0.78189,2.1449e+05,0,1.6429e-05,1.2376,317.19,0.68677,0,60057,-5.7573e+17,0,0,0,258.58,0,,28.948,20.848,0,0
0.76839,2.1118e+05,0,1.6339e-05,1.2555,315.17,0.67655,0,58613,-5.9623e+17,0,0,0,256.81,0,,29.021,20.921,0,0
0.75536,2.0797e+05,0,1.6251e-05,1.2731,313.11,0.67208,0,57229,-6.1589e+17,0,0,0,255.07,0,,29.094,20.994,0,0
0.74282,2.0487e+05,0,1.6163e-05,1.2903,311,0.67341,0,55905,-6.347e+17,0,0,0,253.36,0,,29.167,21.067,0,0
0.73049,2.0182e+05,0,1.6077e-05,1.3073,308.9,0.67476,0,54604,-6.5317e+17,0,0,0,251.68,0,,29.24,21.14,0,0
0.7197,1.9914e+05,0,1.5998e-05,1.3226,306.91,0.67628,0,53477,-6.6917e+17,0,0,0,250.15,0,,29.313,21.213,0,0
0.70891,1.9645e+05,0,1.592e-05,1.3379,304.92,0.6778,0,52350,-6.8517e+17,0,0,0,248.63,0,,29.386,21.286,0,0
0.69978,1.9417e+05,0,1.5857e-05,1.3502,303.01,0.73626,0,51424,-6.9832e+17,0,0,0,247.41,0,,29.459,21.359,0,0
0.69123,1.9202e+05,0,1.5799e-05,1.3615,301.14,0.81456,0,50569,-7.1047e+17,0,0,0,246.3,0,,29.532,21.432,0,0
0.68375,1.9013e+05,0,1.575e-05,1.3712,299.43,0.84974,0,49826,-7.2102e+17,0,0,0,245.35,0,,29.605,21.505,0,0
0.67813,1.8869e+05,0,1.5714e-05,1.3781,298.02,0.80947,0,49281,-7.2876e+17,0,0,0,244.66,0,,29.679,21.579,0,0
0.67251,1.8725e+05,0,1.5678e-05,1.385,296.6,0.76919,0,48736,-7.365e+17,0,0,0,243.97,0,,29.752,21.652,0,0
0.66689,1.8581e+05,0,1.5642e-05,1.392,295.18,0.72892,0,48191,-7.4424e+17,0,0,0,243.28,0,,29.825,21.725,0,0
0.66127,1.8437e+05,0,1.5606e-05,1.3989,293.77,0.68865,0,47646,-7.5198e+17,0,0,0,242.59,0,,29.898,21.798,0,0
0.6564,1.831e+05,0,1.5578e-05,1.4042,292.39,0.66804,0,47189,-7.5846e+17,0,0,0,242.05,0,,29.971,21.871,0,0
0.65208,1.8195e+05,0,1.5555e-05,1.4082,291.04,0.66192,0,46799,-7.64e+17,0,0,0,241.63,0,,30.044,21.944,0,0
0.64777,1.808e+05,0,1.5533e-05,1.4123,289.69,0.65581,0,46408,-7.6955e+17,0,0,0,241.21,0,,30.117,22.017,0,0
