,Density,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient:0,Skin_Friction_Coefficient:1,Skin_Friction_Coefficient:2,Temperature,Y_Plus,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Ptot,Z
0,7.7402,1961100.0,0,2.009e-05,0.24859,718.58,0.59701,0,771090.0,9.5213e+18,0,0,0,335.43,0,,0.0,-8.1,0,0,805204.4654239056,1.000486942094634
1,7.7386,1960700.0,0,2.0088e-05,0.24922,720.23,0.20972,0,770870.0,9.5182e+18,0,0,0,335.4,0,,0.0731,-8.0269,0,0,805150.4420084913,1.00048561239193
2,7.737,1960300.0,0,2.0087e-05,0.24985,721.87,-0.17756,0,770650.0,9.515e+18,0,0,0,335.37,0,,0.1462,-7.9538,0,0,805096.7898174927,1.0004842828912262
3,7.7354,1959900.0,0,2.0086e-05,0.25048,723.52,-0.56483,0,770420.0,9.5118e+18,0,0,0,335.34,0,,0.2193,-7.8807,0,0,805033.0558112462,1.0004829459932412
4,7.7339,1959500.0,0,2.0084e-05,0.25112,725.16,-0.95211,0,770200.0,9.5087e+18,0,0,0,335.31,0,,0.2924,-7.8076,0,0,804982.9568415112,1.0004816169126876
5,7.7323,1959100.0,0,2.0083e-05,0.25175,726.81,-1.3394,0,769980.0,9.5055e+18,0,0,0,335.29,0,,0.3655,-7.7345,0,0,804930.4123056646,1.000480675433051
6,7.7307,1958700.0,0,2.0082e-05,0.25238,728.45,-1.7267,0,769760.0,9.5024e+18,0,0,0,335.26,0,,0.4386,-7.6614,0,0,804878.2473459352,1.0004793468043633
7,7.7289,1958300.0,0,2.008e-05,0.2531,730.33,-2.0917,0,769510.0,9.4988e+18,0,0,0,335.23,0,,0.5117,-7.5883,0,0,804820.5742480487,1.000477995752264
8,7.726,1957600.0,0,2.0079e-05,0.25426,733.34,-2.348,0,769120.0,9.4933e+18,0,0,0,335.18,0,,0.5848,-7.5152,0,0,804742.050227972,1.000475764701387
9,7.7231,1956900.0,0,2.0077e-05,0.25542,736.36,-2.6044,0,768730.0,9.4879e+18,0,0,0,335.14,0,,0.6579,-7.4421,0,0,804664.7830013406,1.0004739218934764
10,7.7201,1956300.0,0,2.0075e-05,0.25658,739.38,-2.8608,0,768350.0,9.4824e+18,0,0,0,335.1,0,,0.731,-7.369,0,0,804599.2562225559,1.0004720873268333
11,7.7165,1955500.0,0,2.0072e-05,0.25826,743.81,-2.9827,0,767860.0,9.4754e+18,0,0,0,335.04,0,,0.8041,-7.2959,0,0,804569.8657947403,1.0004693963772409
12,7.7127,1954700.0,0,2.0069e-05,0.26013,748.76,-3.0568,0,767330.0,9.4679e+18,0,0,0,334.98,0,,0.8772,-7.2228,0,0,804556.5414204784,1.0004666769151263
13,7.7089,1953800.0,0,2.0067e-05,0.262,753.7,-3.131,0,766800.0,9.4604e+18,0,0,0,334.92,0,,0.9503,-7.1497,0,0,804546.6345966252,1.0004639588385458
14,7.7044,1952900.0,0,2.0063e-05,0.26411,759.23,-3.2007,0,766190.0,9.4517e+18,0,0,0,334.84,0,,1.0234,-7.0766,0,0,804526.9858268802,1.000460407824454
15,7.6986,1951600.0,0,2.0059e-05,0.26674,766.11,-3.2603,0,765390.0,9.4404e+18,0,0,0,334.75,0,,1.0965,-7.0035,0,0,804466.8282032309,1.000456331991178
16,7.6927,1950300.0,0,2.0055e-05,0.26938,772.98,-3.32,0,764590.0,9.429e+18,0,0,0,334.65,0,,1.1696,-6.9304,0,0,804416.3173880212,1.0004518713562929
17,7.6869,1949100.0,0,2.0051e-05,0.27201,779.85,-3.3796,0,763800.0,9.4177e+18,0,0,0,334.56,0,,1.2427,-6.8573,0,0,804379.9663335129,1.000447809022274
18,7.6798,1947500.0,0,2.0046e-05,0.27474,786.82,-3.3154,0,762860.0,9.4044e+18,0,0,0,334.46,0,,1.3158,-6.7842,0,0,804222.7334055235,1.000443254551545
19,7.6726,1945900.0,0,2.0041e-05,0.27757,794.06,-3.2381,0,761900.0,9.3908e+18,0,0,0,334.35,0,,1.3889,-6.7111,0,0,804082.2318901615,1.0004383022196914
20,7.6664,1944600.0,0,2.0036e-05,0.281,803.08,-3.216,0,761020.0,9.3783e+18,0,0,0,334.23,0,,1.462,-6.638,0,0,804221.5934015686,1.000433022274092
21,7.6586,1943000.0,0,2.003e-05,0.28468,812.61,-3.2556,0,759940.0,9.363e+18,0,0,0,334.1,0,,1.5351,-6.5649,0,0,804240.2229896863,1.0004272181429066
22,7.6482,1940700.0,0,2.0023e-05,0.28874,822.89,-3.3867,0,758570.0,9.3434e+18,0,0,0,333.95,0,,1.6082,-6.4918,0,0,804086.5591000309,1.0004204431284296
23,7.6389,1938700.0,0,2.0017e-05,0.29257,832.61,-3.4735,0,757320.0,9.3258e+18,0,0,0,333.81,0,,1.6813,-6.4187,0,0,804000.4924626508,1.0004141479360027
24,7.6301,1936800.0,0,2.0011e-05,0.29629,842.06,-3.5376,0,756150.0,9.3091e+18,0,0,0,333.67,0,,1.7544,-6.3456,0,0,803976.8057487146,1.0004079144694256
25,7.6207,1934900.0,0,2.0003e-05,0.3009,853.86,-3.534,0,754810.0,9.2901e+18,0,0,0,333.49,0,,1.8275,-6.2725,0,0,804082.5317028849,1.0004000188201692
26,7.6108,1932800.0,0,1.9994e-05,0.30559,865.83,-3.5435,0,753410.0,9.2702e+18,0,0,0,333.3,0,,1.9006,-6.1994,0,0,804171.6347375937,1.0003917028119682
27,7.5987,1930100.0,0,1.9985e-05,0.31034,877.6,-3.6423,0,751750.0,9.2466e+18,0,0,0,333.1,0,,1.9737,-6.1263,0,0,804023.9886681219,1.0003828392050385
28,7.5867,1927400.0,0,1.9975e-05,0.31534,890.05,-3.722,0,750080.0,9.223e+18,0,0,0,332.89,0,,2.0468,-6.0532,0,0,803973.3332186785,1.0003735933632538
29,7.5749,1924900.0,0,1.9966e-05,0.32068,903.4,-3.777,0,748410.0,9.1992e+18,0,0,0,332.67,0,,2.1199,-5.9801,0,0,804066.2922246404,1.0003639711614636
30,7.5617,1922000.0,0,1.9955e-05,0.32597,916.38,-3.8736,0,746600.0,9.1735e+18,0,0,0,332.44,0,,2.193,-5.907,0,0,804016.6480893062,1.0003538869873851
31,7.5478,1919000.0,0,1.9945e-05,0.33124,929.2,-3.9896,0,744720.0,9.1468e+18,0,0,0,332.21,0,,2.2661,-5.8339,0,0,803909.0014806152,1.000343777521411
32,7.5347,1916200.0,0,1.9934e-05,0.33665,942.37,-4.0478,0,742890.0,9.1209e+18,0,0,0,331.97,0,,2.3392,-5.7608,0,0,803931.958765611,1.000333324268089
33,7.5214,1913300.0,0,1.9924e-05,0.34214,955.72,-4.0607,0,741050.0,9.0947e+18,0,0,0,331.74,0,,2.4123,-5.6877,0,0,804000.352242911,1.0003232729865041
