,Density,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient:0,Skin_Friction_Coefficient:1,Skin_Friction_Coefficient:2,Temperature,Y_Plus,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Ptot,Z
740,1.4849,377990.0,0,1.9229e-05,0.54524,293.7,-0.60897,0,139580.0,5.5347e+17,0,0,0,316.49,0,,54.094,45.994,0,0,170879.37708289077,0.9999194340307106
741,1.482,377300.0,0,1.9222e-05,0.54745,294.24,-0.60337,0,139240.0,5.4866e+17,0,0,0,316.34,0,,54.167,46.067,0,0,170735.41770689073,0.999918245640901
742,1.479,376620.0,0,1.9216e-05,0.54966,294.77,-0.59777,0,138900.0,5.4384e+17,0,0,0,316.2,0,,54.24,46.14,0,0,170591.5343338738,0.9999171529248888
743,1.476,375920.0,0,1.9209e-05,0.55189,295.31,-0.60996,0,138550.0,5.3893e+17,0,0,0,316.05,0,,54.313,46.213,0,0,170437.90733444892,0.9999159781819951
744,1.4725,375090.0,0,1.9201e-05,0.55429,295.8,-0.76298,0,138150.0,5.3327e+17,0,0,0,315.89,0,,54.386,46.286,0,0,170243.8698739247,0.9999147454405181
745,1.469,374270.0,0,1.9194e-05,0.55668,296.3,-0.916,0,137750.0,5.2762e+17,0,0,0,315.73,0,,54.46,46.36,0,0,170048.5202409774,0.9999135180345273
746,1.4656,373470.0,0,1.9186e-05,0.55917,296.86,-1.0751,0,137360.0,5.2205e+17,0,0,0,315.56,0,,54.533,46.433,0,0,169877.98835417855,0.9999121983732555
747,1.4627,372820.0,0,1.9177e-05,0.56213,297.73,-1.2668,0,137010.0,5.1697e+17,0,0,0,315.36,0,,54.606,46.506,0,0,169816.15543127854,0.9999105845395151
748,1.4598,372160.0,0,1.9168e-05,0.56509,298.59,-1.4585,0,136650.0,5.1189e+17,0,0,0,315.16,0,,54.679,46.579,0,0,169742.53721947968,0.999908981479939
749,1.4569,371510.0,0,1.9159e-05,0.56804,299.46,-1.6502,0,136290.0,5.0681e+17,0,0,0,314.96,0,,54.752,46.652,0,0,169668.22560918832,0.9999073831014951
750,1.454,370850.0,0,1.915e-05,0.571,300.33,-1.8418,0,135930.0,5.0172e+17,0,0,0,314.77,0,,54.825,46.725,0,0,169595.73821666103,0.9999058809712744
751,1.4511,370200.0,0,1.914e-05,0.57396,301.2,-2.0335,0,135570.0,4.9664e+17,0,0,0,314.57,0,,54.898,46.798,0,0,169523.80871322413,0.9999042920360671
752,1.4482,369560.0,0,1.913e-05,0.57724,302.22,-2.1177,0,135210.0,4.9148e+17,0,0,0,314.35,0,,54.971,46.871,0,0,169493.53783656997,0.999902524728125
753,1.4454,369000.0,0,1.9118e-05,0.58175,303.84,-1.7885,0,134820.0,4.86e+17,0,0,0,314.07,0,,55.044,46.944,0,0,169585.48269335247,0.999900233636076
754,1.4425,368440.0,0,1.9105e-05,0.58627,305.47,-1.4593,0,134440.0,4.8052e+17,0,0,0,313.79,0,,55.117,47.017,0,0,169693.93856844289,0.9998979402847944
755,1.439,367690.0,0,1.9089e-05,0.59114,307.09,-1.2214,0,133970.0,4.7382e+17,0,0,0,313.46,0,,55.19,47.09,0,0,169737.02375427468,0.9998952601764151
756,1.4333,366290.0,0,1.9065e-05,0.59722,308.73,-1.2875,0,133210.0,4.631e+17,0,0,0,312.93,0,,55.264,47.164,0,0,169573.79076097207,0.9998909758395108
757,1.4275,364890.0,0,1.904e-05,0.6033,310.38,-1.3535,0,132460.0,4.5237e+17,0,0,0,312.41,0,,55.337,47.237,0,0,169425.08125279238,0.9998867957349615
758,1.4218,363500.0,0,1.9016e-05,0.60952,312.06,-1.401,0,131700.0,4.4162e+17,0,0,0,311.88,0,,55.41,47.31,0,0,169284.11191326502,0.9998825522467389
759,1.416,362140.0,0,1.8991e-05,0.61612,313.87,-1.3946,0,130940.0,4.3081e+17,0,0,0,311.33,0,,55.483,47.383,0,0,169196.537449991,0.9998781449420788
760,1.4103,360780.0,0,1.8965e-05,0.62273,315.67,-1.3882,0,130180.0,4.2e+17,0,0,0,310.79,0,,55.556,47.456,0,0,169112.90469294673,0.9998738509811451
761,1.4044,359390.0,0,1.894e-05,0.62944,317.47,-1.3857,0,129400.0,4.09e+17,0,0,0,310.24,0,,55.629,47.529,0,0,169019.44426514662,0.9998695053285482
762,1.3981,357930.0,0,1.8913e-05,0.63644,319.25,-1.3947,0,128590.0,3.9744e+17,0,0,0,309.67,0,,55.702,47.602,0,0,168929.29675857638,0.999865027647168
763,1.3919,356470.0,0,1.8886e-05,0.64344,321.03,-1.4036,0,127770.0,3.8589e+17,0,0,0,309.09,0,,55.775,47.675,0,0,168828.38687064973,0.9998604929004452
764,1.3855,355000.0,0,1.8859e-05,0.65065,322.86,-1.4097,0,126950.0,3.7424e+17,0,0,0,308.51,0,,55.848,47.748,0,0,168759.4105957628,0.9998559844388274
765,1.379,353550.0,0,1.8831e-05,0.65842,324.84,-1.4076,0,126110.0,3.6229e+17,0,0,0,307.9,0,,55.922,47.821,0,0,168746.38349285227,0.9998512457905099
766,1.3725,352100.0,0,1.8803e-05,0.6662,326.82,-1.4054,0,125270.0,3.5035e+17,0,0,0,307.3,0,,55.995,47.895,0,0,168738.33549411086,0.9998466286830954
767,1.3658,350580.0,0,1.8773e-05,0.67425,328.81,-1.4085,0,124400.0,3.3795e+17,0,0,0,306.67,0,,56.068,47.968,0,0,168732.43418842755,0.9998417968586285
768,1.3582,348900.0,0,1.8741e-05,0.68308,330.87,-1.4259,0,123440.0,3.2428e+17,0,0,0,305.99,0,,56.141,48.041,0,0,168722.0995019223,0.9998366438339659
