,Density,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient:0,Skin_Friction_Coefficient:1,Skin_Friction_Coefficient:2,Temperature,Y_Plus,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Ptot,Z
0,7.7397,1960900.0,0,2.0089e-05,0.24881,719.16,0.58559,0,771000.0,9.5201e+18,0,0,0,335.41,0,,0.0,-8.1,0,0,805171.8033358254,1.0004860988735087
1,7.7382,1960500.0,0,2.0088e-05,0.24941,720.71,0.22521,0,770790.0,9.5171e+18,0,0,0,335.38,0,,0.0731,-8.0269,0,0,805119.9684023455,1.0004847768378795
2,7.7366,1960200.0,0,2.0086e-05,0.25001,722.26,-0.13518,0,770580.0,9.514e+18,0,0,0,335.36,0,,0.1462,-7.9538,0,0,805068.4608504198,1.0004838423058708
3,7.7351,1959800.0,0,2.0085e-05,0.2506,723.81,-0.49556,0,770370.0,9.511e+18,0,0,0,335.33,0,,0.2193,-7.8807,0,0,805014.4903605379,1.000482520663984
4,7.7335,1959400.0,0,2.0084e-05,0.2512,725.37,-0.85594,0,770150.0,9.508e+18,0,0,0,335.31,0,,0.2924,-7.8076,0,0,804953.1932259264,1.000481578993507
5,7.7319,1959000.0,0,2.0083e-05,0.2518,726.92,-1.2163,0,769940.0,9.505e+18,0,0,0,335.28,0,,0.3655,-7.7345,0,0,804902.694404448,1.0004802577615342
6,7.7304,1958600.0,0,2.0082e-05,0.2524,728.47,-1.5767,0,769730.0,9.5019e+18,0,0,0,335.26,0,,0.4386,-7.6614,0,0,804852.5221228778,1.0004793241312735
7,7.7286,1958200.0,0,2.0081e-05,0.25308,730.26,-1.9095,0,769490.0,9.4985e+18,0,0,0,335.23,0,,0.5117,-7.5883,0,0,804793.9801005559,1.0004779806681652
8,7.7257,1957600.0,0,2.0079e-05,0.25422,733.23,-2.1078,0,769110.0,9.4933e+18,0,0,0,335.19,0,,0.5848,-7.5152,0,0,804720.1866173907,1.0004761446708872
9,7.7229,1956900.0,0,2.0077e-05,0.25536,736.19,-2.306,0,768740.0,9.488e+18,0,0,0,335.15,0,,0.6579,-7.4421,0,0,804658.0896174154,1.0004743168978854
10,7.7201,1956300.0,0,2.0076e-05,0.25649,739.15,-2.5043,0,768370.0,9.4827e+18,0,0,0,335.12,0,,0.731,-7.369,0,0,804594.3452572894,1.0004728772895046
