"Mach","Result","x","Points:0","Points:1","Points:2"
0.86715,0.99871,-0.33522,-2.1789,0,0
0.88253,0.99859,-0.32397,-2.1058,0,0
0.89792,0.99847,-0.31272,-2.0327,0,0
0.91319,0.9984,-0.30148,-1.9596,0,0
0.92845,0.99833,-0.29023,-1.8865,0,0
0.94376,0.99825,-0.27898,-1.8134,0,0
0.95906,0.99817,-0.26774,-1.7403,0,0
0.9744,0.99806,-0.25649,-1.6672,0,0
0.98973,0.99795,-0.24525,-1.5941,0,0
1.0051,0.99781,-0.234,-1.521,0,0
1.0204,0.99767,-0.22275,-1.4479,0,0
1.0361,0.9975,-0.21151,-1.3748,0,0
1.0518,0.99732,-0.20026,-1.3017,0,0
1.0673,0.99716,-0.18902,-1.2286,0,0
1.0828,0.99701,-0.17777,-1.1555,0,0
1.0982,0.99685,-0.16652,-1.0824,0,0
1.1135,0.99669,-0.15528,-1.0093,0,0
1.1288,0.99651,-0.14403,-0.9362,0,0
1.1439,0.99633,-0.13278,-0.8631,0,0
1.1589,0.99615,-0.12154,-0.79,0,0
1.1739,0.99596,-0.11029,-0.7169,0,0
1.1893,0.99575,-0.099046,-0.6438,0,0
1.2047,0.99556,-0.0878,-0.5707,0,0
1.2201,0.99541,-0.076554,-0.4976,0,0
1.2353,0.99528,-0.065308,-0.4245,0,0
1.2504,0.99516,-0.054062,-0.3514,0,0
1.2652,0.99504,-0.042815,-0.2783,0,0
1.2799,0.9949,-0.031569,-0.2052,0,0
1.2942,0.99475,-0.020323,-0.1321,0,0
1.3083,0.9946,-0.009077,-0.059,0,0
1.3223,0.99444,0.0021692,0.0141,0,0
1.3363,0.99427,0.013415,0.0872,0,0
1.3502,0.99409,0.024661,0.1603,0,0
1.3641,0.99392,0.035908,0.2334,0,0
1.3776,0.99376,0.047154,0.3065,0,0
1.3911,0.99359,0.0584,0.3796,0,0
1.4044,0.99343,0.069646,0.4527,0,0
1.4175,0.99328,0.080892,0.5258,0,0
1.4306,0.99312,0.092138,0.5989,0,0
1.4433,0.99295,0.10338,0.672,0,0
1.456,0.99278,0.11463,0.7451,0,0
1.469,0.99261,0.12588,0.8182,0,0
1.482,0.99243,0.13712,0.8913,0,0
1.4949,0.99225,0.14837,0.9644,0,0
1.5077,0.99208,0.15962,1.0375,0,0
1.5204,0.99191,0.17086,1.1106,0,0
1.5331,0.99175,0.18211,1.1837,0,0
1.5458,0.99159,0.19335,1.2568,0,0
1.5584,0.99143,0.2046,1.3299,0,0
1.571,0.99126,0.21585,1.403,0,0
1.5834,0.99108,0.22709,1.4761,0,0
1.5964,0.99091,0.23834,1.5492,0,0
1.6094,0.99073,0.24958,1.6223,0,0
1.6227,0.99055,0.26083,1.6954,0,0
1.636,0.99038,0.27208,1.7685,0,0
1.6494,0.99021,0.28332,1.8416,0,0
1.6629,0.99005,0.29457,1.9147,0,0
1.6765,0.9899,0.30582,1.9878,0,0
1.6902,0.98975,0.31706,2.0609,0,0
1.7039,0.98959,0.32831,2.134,0,0
1.7177,0.98943,0.33955,2.2071,0,0
1.7318,0.98927,0.3508,2.2802,0,0
1.7462,0.98909,0.36205,2.3533,0,0
1.7608,0.98892,0.37329,2.4264,0,0
1.7757,0.98873,0.38454,2.4995,0,0
1.7906,0.98855,0.39578,2.5726,0,0
1.8057,0.98836,0.40703,2.6457,0,0
1.821,0.98816,0.41828,2.7188,0,0
1.8364,0.98796,0.42952,2.7919,0,0
1.8519,0.98775,0.44077,2.865,0,0
1.8675,0.9875,0.45202,2.9381,0,0
1.8834,0.98725,0.46326,3.0112,0,0
1.8999,0.98699,0.47451,3.0843,0,0
1.9165,0.98672,0.48575,3.1574,0,0
1.9332,0.98644,0.497,3.2305,0,0
1.95,0.98615,0.50825,3.3036,0,0
1.967,0.98586,0.51949,3.3767,0,0
1.9841,0.98557,0.53074,3.4498,0,0
2.0012,0.98527,0.54198,3.5229,0,0
2.0185,0.98498,0.55323,3.596,0,0
2.0356,0.98464,0.56448,3.6691,0,0
2.053,0.9843,0.57572,3.7422,0,0
2.0709,0.98395,0.58697,3.8153,0,0
2.0889,0.98358,0.59822,3.8884,0,0
2.107,0.98322,0.60946,3.9615,0,0
2.1251,0.98285,0.62071,4.0346,0,0
2.1432,0.98248,0.63195,4.1077,0,0
2.1614,0.98211,0.6432,4.1808,0,0
2.1796,0.98174,0.65445,4.2539,0,0
2.1978,0.98138,0.66569,4.327,0,0
2.2159,0.98099,0.67694,4.4001,0,0
2.2342,0.98059,0.68818,4.4732,0,0
2.2528,0.98018,0.69943,4.5463,0,0
2.2717,0.97976,0.71068,4.6194,0,0
2.2906,0.97934,0.72192,4.6925,0,0
