,Index,pressure,density,temperature,soundspeed,Mach,Z,g,Ar,x,y
0,0,11857.154308617237,0.13362392787162963,298.9760968745753,352.42335328816466,0.1309217098120894,0.9999773728665824,1.1995335411420232,4.367827293182637,-0.0205197149921864,0.0062698042743489
1,1,11833.346693386771,0.1334321886609001,298.8045890470797,352.3223909973254,0.1415027794627744,0.9999772476243465,1.1995356957368584,4.27838562995104,-0.020392325744522,0.0062052776464522
2,2,11833.346693386771,0.1334321886609001,298.8045890470797,352.3223909973254,0.1415027794627744,0.9999772476243465,1.1995356957368584,4.190697726863049,-0.0202646307951447,0.0061413581186711
3,3,11833.346693386771,0.1334321886609001,298.8045890470797,352.3223909973254,0.1415027794627744,0.9999772476243465,1.1995356957368584,4.104739669672995,-0.0201366330372966,0.0060780471392592
4,4,11833.346693386771,0.1334321886609001,298.8045890470797,352.3223909973254,0.1415027794627744,0.9999772476243465,1.1995356957368584,4.020487690697557,-0.0200083353710808,0.0060153461426819
5,5,11809.539078156313,0.1332403394328078,298.632834026833,352.221253385945,0.1513705360232807,0.9999771224129537,1.199537845659004,3.9379181716848444,-0.0198797407033952,0.0059532565495839
6,6,11809.539078156313,0.1332403394328078,298.632834026833,352.221253385945,0.1513705360232807,0.9999771224129537,1.199537845659004,3.8570076466632806,-0.0197508519478674,0.0058917797667572
7,7,11809.539078156313,0.1332403394328078,298.632834026833,352.221253385945,0.1513705360232807,0.9999771224129537,1.199537845659004,3.7777328047692373,-0.0196216720247881,0.005830917187109
8,8,11785.73146292585,0.1330483799011545,298.4608309604493,352.1199397996496,0.16065657873893235,0.9999769972326229,1.1995399908995221,3.7000704930542,-0.0194922038610449,0.0057706701896303
9,9,11785.73146292585,0.1330483799011545,298.4608309604493,352.1199397996496,0.16065657873893235,0.9999769972326229,1.1995399908995221,3.623997719270149,-0.0193624503900566,0.0057110401393644
10,10,11761.92384769539,0.13285630977842033,298.28857898986246,352.01844958029056,0.16945666886876476,0.9999768720835749,1.1995421314494723,3.549491654634171,-0.0192324145517061,0.0056520283873763
11,11,11761.92384769539,0.13285630977842033,298.28857898986246,352.01844958029056,0.16945666886876476,0.9999768720835749,1.1995421314494723,3.476529636570622,-0.019102099292274,0.0055936362707219
12,12,11761.92384769539,0.13285630977842033,298.28857898986246,352.01844958029056,0.16945666886876476,0.9999768720835749,1.1995421314494723,3.405089171431616,-0.018971507564372,0.0055358651124178
13,13,11738.11623246493,0.13266412877575673,298.1160772522873,351.91678206591234,0.17784305744941087,0.9999767469660316,1.1995442672999106,3.335147937194791,-0.0188406423268759,0.0054787162214111
14,14,11738.11623246493,0.13266412877575673,298.1160772522873,351.91678206591234,0.17784305744941087,0.9999767469660316,1.1995442672999106,3.26668378613913,-0.0187095065448582,0.00542219089255
15,15,11714.308617234468,0.13247183660297696,297.9433248801854,351.81493659072396,0.18587184513151295,0.9999766218802164,1.199546398441892,3.1996747474975313,-0.0185781031895217,0.0053662904065544
16,16,11714.308617234468,0.13247183660297696,297.9433248801854,351.81493659072396,0.18587184513151295,0.9999766218802164,1.199546398441892,3.1340990300865412,-0.0184464352381315,0.005311016029987
17,17,11690.501002004008,0.1322794329685475,297.7703210012288,351.7129124850684,0.19358762148421482,0.9999764968263545,1.1995485248664672,3.0699350249119974,-0.0183145056739477,0.0052563690152241
18,18,11690.501002004008,0.1322794329685475,297.7703210012288,351.7129124850684,0.19358762148421482,0.9999764968263545,1.1995485248664672,3.007161307752388,-0.018182317486158,0.0052023506004278
19,19,11666.693386773548,0.13208691757957858,297.5970647382639,351.61070907539255,0.20102652023266018,0.9999763718046724,1.199550646564686,2.9457566417175087,-0.0180498736698098,0.0051489620095178
20,20,11642.885771543086,0.13189429014181528,297.4235552092754,351.50832568421663,0.20821830515693593,0.9999762468153979,1.199552763527595,2.885699979782912,-0.0179171772257425,0.0050962044521434
21,21,11642.885771543086,0.13189429014181528,297.4235552092754,351.50832568421663,0.20821830515693593,0.9999762468153979,1.199552763527595,2.826970467300702,-0.0177842311605192,0.0050440791236564
22,22,11619.078156312626,0.13170155035962874,297.24979152734767,351.4057616301023,0.21518783791115867,0.999976121858761,1.19955487574624,2.7695474444852746,-0.017651038486359,0.0049925872050839
23,23,11595.270541082164,0.13150869793600642,297.0757728006293,351.3030162276225,0.22195613783755577,0.9999759969349925,1.199556983211664,2.7134104488744626,-0.0175176022210684,0.0049417298631016
24,24,11595.270541082164,0.13150869793600642,297.0757728006293,351.3030162276225,0.22195613783755577,0.9999759969349925,1.199556983211664,2.6585392177652802,-0.017383925387973,0.0048915082500071
25,25,11571.462925851703,0.13131573257254298,296.90149813229436,351.20008878732887,0.22854116435360639,0.9999758720443253,1.199559085914908,2.6049136906252546,-0.0172500110158491,0.0048419235036943
26,26,11547.655310621243,0.13112265396943068,296.7269666205049,351.09697861572073,0.23495840580524527,0.9999757471869936,1.1995611838470124,2.5525140114771174,-0.0171158621388552,0.0047929767476271
27,27,11523.84769539078,0.13092946182545015,296.552177358372,350.99368501521195,0.2412213302541147,0.9999756223632332,1.1995632769990152,2.5013205312586275,-0.0169814817964629,0.0047446690908142
28,28,11500.04008016032,0.13073615583796078,296.3771294339171,350.8902072840988,0.2473417358063075,0.9999754975732819,1.1995653653619545,2.4513138101562766,-0.0168468730333882,0.0046970016277841
29,29,11500.04008016032,0.13073615583796078,296.3771294339171,350.8902072840988,0.2473417358063075,0.9999754975732819,1.1995653653619545,2.402474619912259,-0.0167120388995227,0.0046499754385599
30,30,11476.23246492986,0.13054273570289038,296.20182193003416,350.7865447165274,0.25333002655362624,0.9999753728173784,1.199567448926865,2.354783946105965,-0.016576982449864,0.0046035915886353
31,31,11452.4248496994,0.13034920111472703,296.0262539244471,350.6826966024593,0.2591954325617093,0.9999752480957637,1.1995695276847826,2.3082229904078657,-0.0164417067444473,0.00455785112895
32,32,11428.617234468938,0.13015555176650773,295.85042448967187,350.57866222763863,0.264946187172826,0.9999751234086801,1.1995716016267413,2.262773172807474,-0.016306214848275,0.0045127550958663
33,33,11404.809619238476,0.12996178734980832,295.6743326929782,350.47444087355956,0.27058967132658485,0.9999749987563716,1.1995736707437747,2.2184161338134927,-0.0161705098312484,0.0044683045111453
34,34,11381.002004008016,0.12976790755473505,295.49797759634424,350.3700318174291,0.2761325320987623,0.999974874139084,1.1995757350269156,2.175133736627389,-0.0160345947680972,0.0044245003819241
35,35,11333.386773547094,0.12937980058247783,295.14447372447546,350.16064768620777,0.2869398752519651,0.9999746250105627,1.1995798490556502,2.132908069288747,-0.0158984727383103,0.0043813437006926
36,36,11309.579158316634,0.12918557277806111,294.96732304638107,350.0556711437913,0.2922147879174798,0.9999745004998288,1.1995818987833093,2.091721446793429,-0.015762146826066,0.0043388354452711
37,37,11285.771543086172,0.12899122834078527,294.78990526254074,349.9505039646005,0.29741006483764476,0.9999743760251159,1.1995839436412057,2.051556413183912,-0.015625620120162,0.0042969765787883
