,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum:0,Momentum:1,Momentum:2,Omega,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient:0,Skin_Friction_Coefficient:1,Skin_Friction_Coefficient:2,Temperature,Turb_Kin_Energy,Y_Plus,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Ptot,Z
0,1.2764,8.887e-05,324200.0,0,1.9947e-05,0.32483,154.1,0.14134,0,251570.0,125950.0,-1203700.0,0,0,0,332.25,17.516,0,,0.0,0.013,0.0,0,134455.620493513,1.0000446195734471
1,1.2764,8.8868e-05,324210.0,0,1.9946e-05,0.325,154.18,0.15619,0,251550.0,125950.0,-1203700.0,0,0,0,332.24,17.514,0,,2e-06,0.013,2e-06,0,134469.82881291755,1.000044552509035
2,1.2764,8.8865e-05,324210.0,0,1.9946e-05,0.32517,154.26,0.17103,0,251540.0,125950.0,-1203700.0,0,0,0,332.23,17.513,0,,4e-06,0.013,4e-06,0,134484.03906373592,1.000044485435712
3,1.2764,8.8863e-05,324220.0,0,1.9946e-05,0.32534,154.34,0.18588,0,251520.0,125950.0,-1203700.0,0,0,0,332.22,17.511,0,,6e-06,0.013,6e-06,0,134498.2512360015,1.0000444183534767
4,1.2764,8.886e-05,324220.0,0,1.9945e-05,0.32551,154.42,0.20072,0,251510.0,125940.0,-1203700.0,0,0,0,332.21,17.509,0,,8e-06,0.013,8e-06,0,134501.76220232973,1.0000443475180558
5,1.2765,8.8858e-05,324230.0,0,1.9945e-05,0.32568,154.51,0.21557,0,251490.0,125940.0,-1203700.0,0,0,0,332.21,17.507,0,,1e-05,0.013,1e-05,0,134501.76220232973,1.0000443475180558
6,1.2765,8.8855e-05,324240.0,0,1.9945e-05,0.32585,154.59,0.23042,0,251480.0,125940.0,-1203700.0,0,0,0,332.2,17.506,0,,1.2e-05,0.013,1.2e-05,0,134515.9771010361,1.0000442804233032
7,1.2765,8.8853e-05,324240.0,0,1.9944e-05,0.32602,154.67,0.24526,0,251470.0,125940.0,-1203700.0,0,0,0,332.19,17.504,0,,1.4e-05,0.013,1.4e-05,0,134530.19392452936,1.0000442133196352
8,1.2765,8.885e-05,324250.0,0,1.9944e-05,0.32619,154.75,0.26011,0,251450.0,125940.0,-1203700.0,0,0,0,332.18,17.502,0,,1.6e-05,0.013,1.6e-05,0,134544.41267553272,1.0000441462070506
9,1.2765,8.8848e-05,324260.0,0,1.9943e-05,0.32636,154.83,0.27495,0,251440.0,125940.0,-1203700.0,0,0,0,332.17,17.5,0,,1.8e-05,0.013,1.8e-05,0,134558.63335182343,1.000044079085548
10,1.2766,8.8845e-05,324260.0,0,1.9943e-05,0.32653,154.91,0.2898,0,251420.0,125940.0,-1203700.0,0,0,0,332.16,17.499,0,,2e-05,0.013,2e-05,0,134572.85595909395,1.000044011955126
11,1.2766,8.8843e-05,324270.0,0,1.9943e-05,0.3267,154.99,0.30465,0,251410.0,125940.0,-1203700.0,0,0,0,332.16,17.497,0,,2.2e-05,0.013,2.2e-05,0,134572.85595909395,1.000044011955126
12,1.2766,8.884e-05,324280.0,0,1.9942e-05,0.32687,155.07,0.31816,0,251390.0,125930.0,-1203700.0,0,0,0,332.15,17.495,0,,2.4e-05,0.013,2.4e-05,0,134576.3705669762,1.0000439411034239
13,1.2766,8.8838e-05,324280.0,0,1.9942e-05,0.32703,155.15,0.33146,0,251380.0,125930.0,-1203700.0,0,0,0,332.14,17.493,0,,2.6e-05,0.013,2.6e-05,0,134590.59589806743,1.0000438739604747
14,1.2766,8.8835e-05,324290.0,0,1.9942e-05,0.3272,155.23,0.34475,0,251370.0,125930.0,-1203700.0,0,0,0,332.13,17.492,0,,2.8e-05,0.013,2.8e-05,0,134604.82315853285,1.0000438068086028
15,1.2767,8.8833e-05,324300.0,0,1.9941e-05,0.32736,155.31,0.35805,0,251350.0,125930.0,-1203700.0,0,0,0,332.12,17.49,0,,3e-05,0.013,3e-05,0,134619.0523481309,1.0000437396478072
16,1.2767,8.883e-05,324300.0,0,1.9941e-05,0.32753,155.38,0.37135,0,251340.0,125930.0,-1203700.0,0,0,0,332.12,17.488,0,,3.2e-05,0.013,3.2e-05,0,134619.0523481309,1.0000437396478072
17,1.2767,8.8828e-05,324310.0,0,1.9941e-05,0.32769,155.46,0.38465,0,251330.0,125930.0,-1203700.0,0,0,0,332.11,17.487,0,,3.4e-05,0.013,3.4e-05,0,134633.2834673381,1.0000436724780866
18,1.2767,8.8826e-05,324320.0,0,1.994e-05,0.32786,155.54,0.39795,0,251320.0,125930.0,-1203700.0,0,0,0,332.1,17.485,0,,3.6e-05,0.013,3.6e-05,0,134647.51651673557,1.0000436052994395
19,1.2767,8.8823e-05,324320.0,0,1.994e-05,0.32802,155.62,0.41124,0,251300.0,125930.0,-1203700.0,0,0,0,332.09,17.483,0,,3.8e-05,0.013,3.8e-05,0,134661.75149665156,1.0000435381118646
20,1.2767,8.8821e-05,324330.0,0,1.9939e-05,0.32819,155.7,0.42454,0,251290.0,125930.0,-1203700.0,0,0,0,332.09,17.482,0,,4e-05,0.013,4e-05,0,134661.75149665156,1.0000435381118646
21,1.2768,8.8818e-05,324340.0,0,1.9939e-05,0.32835,155.78,0.43784,0,251280.0,125920.0,-1203700.0,0,0,0,332.08,17.48,0,,4.2e-05,0.013,4.2e-05,0,134665.27054108202,1.0000434672402594
22,1.2768,8.8816e-05,324340.0,0,1.9939e-05,0.32851,155.86,0.45114,0,251260.0,125920.0,-1203700.0,0,0,0,332.07,17.478,0,,4.4e-05,0.013,4.4e-05,0,134679.50824483292,1.0000434000401455
23,1.2768,8.8813e-05,324350.0,0,1.9938e-05,0.32868,155.94,0.46443,0,251250.0,125920.0,-1203700.0,0,0,0,332.06,17.477,0,,4.6e-05,0.013,4.6e-05,0,134693.74788540305,1.0000433328311007
24,1.2768,8.8811e-05,324360.0,0,1.9938e-05,0.32884,156.01,0.47773,0,251240.0,125920.0,-1203700.0,0,0,0,332.05,17.475,0,,4.8e-05,0.013,4.8e-05,0,134707.98945493906,1.0000432656131237
25,1.2768,8.8808e-05,324360.0,0,1.9938e-05,0.32901,156.09,0.49103,0,251220.0,125920.0,-1203700.0,0,0,0,332.05,17.473,0,,5e-05,0.013,5e-05,0,134707.98945493906,1.0000432656131237
26,1.2769,8.8806e-05,324370.0,0,1.9937e-05,0.32917,156.17,0.50433,0,251210.0,125920.0,-1203700.0,0,0,0,332.04,17.472,0,,5.2e-05,0.013,5.2e-05,0,134722.23295629202,1.000043198386213
27,1.2769,8.8803e-05,324380.0,0,1.9937e-05,0.32934,156.25,0.51763,0,251200.0,125920.0,-1203700.0,0,0,0,332.03,17.47,0,,5.4e-05,0.013,5.4e-05,0,134736.47838939808,1.0000431311503677
28,1.2769,8.8801e-05,324380.0,0,1.9937e-05,0.3295,156.33,0.53092,0,251180.0,125920.0,-1203700.0,0,0,0,332.02,17.468,0,,5.6e-05,0.013,5.6e-05,0,134750.7257525576,1.0000430639055862
29,1.2769,8.8798e-05,324390.0,0,1.9936e-05,0.32967,156.41,0.54422,0,251170.0,125920.0,-1203700.0,0,0,0,332.02,17.467,0,,5.8e-05,0.013,5.8e-05,0,134750.7257525576,1.0000430639055862
30,1.2769,8.8796e-05,324400.0,0,1.9936e-05,0.32983,156.49,0.55752,0,251160.0,125910.0,-1203700.0,0,0,0,332.01,17.465,0,,6e-05,0.013,6e-05,0,134754.24924223154,1.0000429930140582
31,1.277,8.8793e-05,324400.0,0,1.9936e-05,0.33,156.56,0.57082,0,251140.0,125910.0,-1203700.0,0,0,0,332.0,17.463,0,,6.2e-05,0.013,6.2e-05,0,134768.49933810724,1.0000429257567258
32,1.277,8.8791e-05,324410.0,0,1.9935e-05,0.33016,156.64,0.58411,0,251130.0,125910.0,-1203700.0,0,0,0,331.99,17.462,0,,6.4e-05,0.013,6.4e-05,0,134782.75136980097,1.0000428584904542
33,1.277,8.8789e-05,324420.0,0,1.9935e-05,0.33033,156.72,0.59741,0,251120.0,125910.0,-1203700.0,0,0,0,331.98,17.46,0,,6.6e-05,0.013,6.6e-05,0,134797.0053298719,1.0000427912152419
34,1.277,8.8786e-05,324420.0,0,1.9935e-05,0.33049,156.8,0.61071,0,251100.0,125910.0,-1203700.0,0,0,0,331.98,17.458,0,,6.8e-05,0.013,6.8e-05,0,134797.0053298719,1.0000427912152419
35,1.277,8.8784e-05,324430.0,0,1.9934e-05,0.33066,156.88,0.62401,0,251090.0,125910.0,-1203700.0,0,0,0,331.97,17.457,0,,7e-05,0.013,7e-05,0,134811.26122936577,1.0000427239310876
36,1.2771,8.8781e-05,324440.0,0,1.9934e-05,0.33082,156.96,0.63731,0,251080.0,125910.0,-1203700.0,0,0,0,331.96,17.455,0,,7.2e-05,0.013,7.2e-05,0,134825.5190547842,1.00004265663799
37,1.2771,8.8779e-05,324440.0,0,1.9933e-05,0.33099,157.04,0.6506,0,251060.0,125910.0,-1203700.0,0,0,0,331.95,17.453,0,,7.4e-05,0.013,7.4e-05,0,134839.77882561792,1.000042589335948
38,1.2771,8.8776e-05,324450.0,0,1.9933e-05,0.33115,157.11,0.6639,0,251050.0,125910.0,-1203700.0,0,0,0,331.94,17.452,0,,7.6e-05,0.013,7.6e-05,0,134854.0405261211,1.00004252202496
39,1.2771,8.8774e-05,324460.0,0,1.9933e-05,0.33132,157.19,0.6772,0,251040.0,125900.0,-1203700.0,0,0,0,331.94,17.45,0,,7.8e-05,0.013,7.8e-05,0,134843.3067662619,1.0000425184244783
40,1.2771,8.8771e-05,324470.0,0,1.9932e-05,0.33148,157.27,0.6905,0,251020.0,125900.0,-1203700.0,0,0,0,331.93,17.448,0,,8e-05,0.013,8e-05,0,134857.56926502645,1.0000424511098733
41,1.2771,8.8769e-05,324470.0,0,1.9932e-05,0.33165,157.35,0.7038,0,251010.0,125900.0,-1203700.0,0,0,0,331.92,17.447,0,,8.2e-05,0.013,8.2e-05,0,134871.83369915877,1.0000423837863208
42,1.2772,8.8766e-05,324480.0,0,1.9932e-05,0.33181,157.43,0.71709,0,251000.0,125900.0,-1203700.0,0,0,0,331.91,17.445,0,,8.4e-05,0.013,8.4e-05,0,134886.10006870507,1.0000423164538192
43,1.2772,8.8764e-05,324490.0,0,1.9931e-05,0.33198,157.51,0.73039,0,250980.0,125900.0,-1203800.0,0,0,0,331.91,17.443,0,,8.6e-05,0.013,8.6e-05,0,134886.10006870507,1.0000423164538192
44,1.2772,8.8761e-05,324490.0,0,1.9931e-05,0.33214,157.59,0.74369,0,250970.0,125900.0,-1203800.0,0,0,0,331.9,17.442,0,,8.8e-05,0.013,8.8e-05,0,134900.36837454885,1.000042249112367
45,1.2772,8.8759e-05,324500.0,0,1.9931e-05,0.33231,157.67,0.75699,0,250960.0,125900.0,-1203800.0,0,0,0,331.89,17.44,0,,9e-05,0.013,9e-05,0,134914.63861644967,1.0000421817619636
46,1.2772,8.8756e-05,324510.0,0,1.993e-05,0.33247,157.74,0.77028,0,250940.0,125900.0,-1203800.0,0,0,0,331.88,17.439,0,,9.2e-05,0.013,9.2e-05,0,134928.9107950113,1.0000421144026068
47,1.2773,8.8754e-05,324510.0,0,1.993e-05,0.33264,157.82,0.78358,0,250930.0,125900.0,-1203800.0,0,0,0,331.87,17.437,0,,9.4e-05,0.013,9.4e-05,0,134943.18490801426,1.0000420470342959
48,1.2773,8.875e-05,324520.0,0,1.993e-05,0.3328,157.9,0.79692,0,250920.0,125890.0,-1203800.0,0,0,0,331.87,17.435,0,,9.6e-05,0.013,9.6e-05,0,134932.44319308543,1.0000420434711763
49,1.2773,8.8741e-05,324530.0,0,1.9929e-05,0.33298,157.99,0.81044,0,250920.0,125900.0,-1203800.0,0,0,0,331.86,17.433,0,,9.8e-05,0.013,9.8e-05,0,134957.46096086624,1.0000419796570295
50,1.2774,8.8731e-05,324550.0,0,1.9929e-05,0.33316,158.08,0.82396,0,250920.0,125900.0,-1203800.0,0,0,0,331.85,17.43,0,,0.0001,0.013,0.0001,0,134971.73895457547,1.000041912270806
51,1.2774,8.8722e-05,324560.0,0,1.9929e-05,0.33333,158.16,0.83748,0,250920.0,125900.0,-1203800.0,0,0,0,331.84,17.428,0,,0.000102,0.013,0.000102,0,134986.01888017467,1.0000418448756243
52,1.2774,8.8713e-05,324570.0,0,1.9928e-05,0.33351,158.25,0.851,0,250920.0,125900.0,-1203800.0,0,0,0,331.84,17.425,0,,0.000104,0.013,0.000104,0,134986.01888017467,1.0000418448756243
53,1.2775,8.8703e-05,324590.0,0,1.9928e-05,0.33369,158.34,0.86452,0,250920.0,125900.0,-1203800.0,0,0,0,331.83,17.423,0,,0.000106,0.013,0.000106,0,135000.30074432897,1.0000417774714834
54,1.2775,8.8694e-05,324600.0,0,1.9928e-05,0.33387,158.43,0.87803,0,250920.0,125900.0,-1203700.0,0,0,0,331.82,17.421,0,,0.000108,0.013,0.000108,0,135014.58455257272,1.0000417100583814
55,1.2776,8.8684e-05,324610.0,0,1.9927e-05,0.33404,158.51,0.89155,0,250920.0,125900.0,-1203700.0,0,0,0,331.81,17.418,0,,0.00011,0.013,0.00011,0,135028.8702995834,1.0000416426363172
56,1.2776,8.8675e-05,324620.0,0,1.9927e-05,0.33422,158.6,0.90507,0,250920.0,125900.0,-1203700.0,0,0,0,331.81,17.416,0,,0.000112,0.013,0.000112,0,135028.8702995834,1.0000416426363172
57,1.2776,8.8666e-05,324640.0,0,1.9927e-05,0.3344,158.69,0.91859,0,250920.0,125900.0,-1203700.0,0,0,0,331.8,17.414,0,,0.000114,0.013,0.000114,0,135043.15798301753,1.0000415752052898
