,Density,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient:0,Skin_Friction_Coefficient:1,Skin_Friction_Coefficient:2,Temperature,Y_Plus,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,pi,s,ht,Z
562,0.0083007,1932.3,0,1.4494e-05,1.2158,3.0643,0.0041098,0,546.68,-1363500.0,0,0,0,221.74,0,,0.055368,0.034848,0,0,1353.3377161785832,1341.4150342605228,3742.617496793113,298639.0096746911,0.999989517642417
563,0.0081501,1901.2,0,1.44e-05,1.2362,3.0473,0.0040773,0,532.59,-1365200.0,0,0,0,220.02,0,,0.055467,0.034947,0,0,1354.4327435952316,1339.3080720743812,3742.278016614203,298610.49296168954,0.9999894825270627
564,0.0079979,1869.5,0,1.4302e-05,1.2573,3.0287,0.0040278,0,518.41,-1366900.0,0,0,0,218.23,0,,0.055565,0.035045,0,0,1355.6809827405007,1336.7788903456049,3741.801128626586,298552.09793773835,0.9999894440047091
565,0.0078484,1838.2,0,1.4204e-05,1.2782,3.0091,0.0039937,0,504.54,-1368500.0,0,0,0,216.44,0,,0.055664,0.035144,0,0,1356.9842768152178,1333.867409654086,3741.2940554464903,298488.43453222635,0.9999894068393326
566,0.0077039,1807.8,0,1.4108e-05,1.2984,2.9884,0.0040681,0,491.28,-1370100.0,0,0,0,214.71,0,,0.055762,0.035242,0,0,1357.9856193950616,1330.350440814347,3740.8619411788723,298427.269030369,0.9999893753018275
567,0.0075657,1778.5,0,1.4019e-05,1.3172,2.9663,0.0043398,0,478.81,-1371600.0,0,0,0,213.08,0,,0.055861,0.035341,0,0,1358.1738881848596,1325.9549660965083,3740.5763093628902,298357.0961738411,0.9999893520339507
568,0.0074321,1750.4,0,1.393e-05,1.3361,2.9444,0.0047526,0,466.84,-1373000.0,0,0,0,211.49,0,,0.055959,0.035439,0,0,1358.8136003082545,1321.5960954259103,3740.30971962481,298320.7235091667,0.9999893317424371
569,0.0072973,1721.8,0,1.384e-05,1.3551,2.9209,0.005058,0,454.87,-1374400.0,0,0,0,209.87,0,,0.056058,0.035538,0,0,1359.2584987334542,1316.6400470586325,3740.031114759183,298268.67532072845,0.9999893128210939
570,0.0071632,1693.3,0,1.375e-05,1.3743,2.8964,0.0052843,0,443.06,-1375800.0,0,0,0,208.25,0,,0.056156,0.035637,0,0,1359.6435310873603,1311.186739055474,3739.789037935113,298223.3549533736,0.9999892972367951
571,0.0070308,1665.0,0,1.366e-05,1.3933,2.8711,0.00545,0,431.5,-1377200.0,0,0,0,206.64,0,,0.056255,0.035735,0,0,1359.965845374261,1305.3616043302036,3739.573335039221,298181.6711380746,0.9999892846501637
572,0.0069011,1637.3,0,1.357e-05,1.4121,2.8454,0.0055751,0,420.27,-1378500.0,0,0,0,205.05,0,,0.056353,0.035834,0,0,1360.364778184363,1299.3171945720806,3739.3758625084615,298150.0150088641,0.9999892747414326
573,0.0067749,1610.3,0,1.3482e-05,1.4308,2.8194,0.0056618,0,409.43,-1379800.0,0,0,0,203.47,0,,0.056452,0.035932,0,0,1360.8377816708182,1293.0319772608761,3739.096070828048,298099.3835079784,0.999989263802155
574,0.0066509,1583.7,0,1.3393e-05,1.4495,2.7931,0.005703,0,398.86,-1381100.0,0,0,0,201.91,0,,0.05655,0.036031,0,0,1361.4052132130516,1286.4991539802713,3738.863712674846,298068.2579889749,0.9999892564667054
575,0.0065293,1557.5,0,1.3305e-05,1.4682,2.7666,0.005711,0,388.55,-1382300.0,0,0,0,200.36,0,,0.056649,0.036129,0,0,1362.08811543655,1279.7459508219374,3738.6310276431395,298044.2464618032,0.9999892509603581
576,0.0064102,1531.9,0,1.3218e-05,1.4866,2.7398,0.00569,0,378.54,-1383500.0,0,0,0,198.82,0,,0.056747,0.036228,0,0,1362.8462307088587,1272.8685312745054,3738.3621295085686,298014.532708143,0.9999892459455265
577,0.006294,1506.8,0,1.3132e-05,1.5049,2.713,0.0056379,0,368.84,-1384700.0,0,0,0,197.31,0,,0.056846,0.036326,0,0,1363.668967712058,1265.792759505123,3738.1469569083656,298004.2319073034,0.9999892445441638
578,0.0061819,1482.5,0,1.3047e-05,1.5228,2.6861,0.0055036,0,359.56,-1385800.0,0,0,0,195.83,0,,0.056944,0.036425,0,0,1364.2327226392183,1258.3688643340022,3737.888514571488,297965.33627245773,0.9999892431380023
579,0.0060728,1458.8,0,1.2963e-05,1.5406,2.6594,0.005348,0,350.58,-1386800.0,0,0,0,194.37,0,,0.057043,0.036523,0,0,1364.9729337956778,1250.888144844467,3737.621308754674,297934.92443422857,0.999989242943193
580,0.0059666,1435.6,0,1.2879e-05,1.5581,2.6329,0.0052042,0,341.88,-1387900.0,0,0,0,192.92,0,,0.057141,0.036622,0,0,1365.9127542224048,1243.478140537316,3737.3009211167514,297901.68897476234,0.9999892423640477
581,0.0058633,1413.0,0,1.2797e-05,1.5756,2.6066,0.005084,0,333.46,-1388900.0,0,0,0,191.48,0,,0.05724,0.03672,0,0,1367.024573659084,1235.9839208893657,3736.919000737723,297861.49344064185,0.9999892410637738
582,0.0057627,1391.0,0,1.2714e-05,1.5928,2.5804,0.0049639,0,325.3,-1389800.0,0,0,0,190.06,0,,0.057338,0.036819,0,0,1368.0967428329443,1228.3729019204093,3736.5396278052517,297819.5108036128,0.9999892412269004
583,0.0056644,1369.4,0,1.2633e-05,1.61,2.5542,0.004848,0,317.41,-1390800.0,0,0,0,188.66,0,,0.057437,0.036917,0,0,1369.2329343453482,1220.6032626787,3736.1466269900693,297777.55617079104,0.9999892422027915
