,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum:0,Momentum:1,Momentum:2,Omega,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient:0,Skin_Friction_Coefficient:1,Skin_Friction_Coefficient:2,Temperature,Turb_Kin_Energy,Y_Plus,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,pi,s,ht,Z
223,0.031672,3.2568e-05,8301.0,0,1.14e-05,1.9836,16.601,0.041402,0,12432.0,1579.8,-1240500.0,0,0,0,167.94,12.782,0,,0.02197,0.0014502,0,0,12048.714418031157,8777.892138481466,3138.5683401673527,311943.10143550904,0.9999224919882094
224,0.031421,3.2071e-05,8240.4,0,1.1367e-05,1.991,16.504,0.040681,0,12507.0,1562.2,-1242600.0,0,0,0,167.4,12.764,0,,0.022068,0.0015487,0,0,12051.684454958104,8738.413078539626,3138.5478534352324,311958.92119496607,0.9999225941918352
225,0.031168,3.158e-05,8179.3,0,1.1333e-05,1.9984,16.406,0.039981,0,12581.0,1544.5,-1244700.0,0,0,0,166.84,12.746,0,,0.022167,0.0016472,0,0,12056.574728426256,8700.282474911226,3138.448875296716,311965.37730246555,0.9999226815786161
226,0.030909,3.1109e-05,8116.4,0,1.1298e-05,2.0061,16.303,0.039342,0,12652.0,1526.5,-1246800.0,0,0,0,166.28,12.732,0,,0.022265,0.0017457,0,0,12055.230113113998,8655.937928965293,3138.435557186668,311951.4395513263,0.9999227929464289
227,0.03065,3.0638e-05,8053.5,0,1.1264e-05,2.0138,16.201,0.038703,0,12724.0,1508.5,-1249000.0,0,0,0,165.71,12.718,0,,0.022364,0.0018443,0,0,12057.620780854322,8614.2630750257,3138.3890195071135,311955.1471077892,0.9999228994355399
228,0.030387,3.0178e-05,7989.8,0,1.1228e-05,2.0217,16.097,0.037746,0,12795.0,1490.3,-1251200.0,0,0,0,165.13,12.706,0,,0.022462,0.0019428,0,0,12060.15608203814,8571.542607880978,3138.349379529097,311961.990179093,0.9999230115691734
229,0.030123,2.9723e-05,7925.6,0,1.1192e-05,2.0297,15.992,0.036669,0,12867.0,1472.1,-1253300.0,0,0,0,164.54,12.695,0,,0.022561,0.0020413,0,0,12063.078511241594,8528.514363580613,3138.278039125648,311962.1763114006,0.9999231194373335
230,0.02986,2.9277e-05,7861.7,0,1.1156e-05,2.0378,15.887,0.035534,0,12937.0,1454.0,-1255500.0,0,0,0,163.95,12.684,0,,0.02266,0.0021398,0,0,12065.901030873676,8484.836389852433,3138.218306216881,311965.1026880387,0.9999232321717867
231,0.0296,2.8867e-05,7798.5,0,1.1118e-05,2.0461,15.783,0.034169,0,12999.0,1436.0,-1257600.0,0,0,0,163.34,12.675,0,,0.022758,0.0022383,0,0,12070.80421722518,8441.476205025547,3138.0431830547454,311948.76009984536,0.9999233214148068
232,0.029341,2.8456e-05,7735.4,0,1.1081e-05,2.0545,15.68,0.032804,0,13061.0,1418.1,-1259700.0,0,0,0,162.73,12.666,0,,0.022857,0.0023369,0,0,12078.072782351086,8399.176812078535,3137.8792866458007,311953.2290040264,0.9999234156128277
233,0.02909,2.8143e-05,7673.5,0,1.1047e-05,2.062,15.576,0.029719,0,13090.0,1401.2,-1261800.0,0,0,0,162.18,12.664,0,,0.022955,0.0024354,0,0,12073.993800066903,8354.068702027951,3137.920714759281,311935.55633660895,0.9999235510220158
234,0.028844,2.7876e-05,7612.2,0,1.1014e-05,2.0691,15.472,0.025813,0,13105.0,1384.9,-1263700.0,0,0,0,161.65,12.665,0,,0.023054,0.0025339,0,0,12066.161848969743,8308.67968938708,3137.99331307316,311899.5134148904,0.9999236913451823
235,0.028605,2.7574e-05,7552.9,0,1.0983e-05,2.076,15.371,0.022981,0,13140.0,1369.0,-1265600.0,0,0,0,161.14,12.666,0,,0.023152,0.0026324,0,0,12057.613110588027,8263.999298453744,3138.1381175561696,311879.8035446445,0.9999238468964363
236,0.028408,2.7068e-05,7504.7,0,1.0956e-05,2.0821,15.29,0.026162,0,13295.0,1355.9,-1267200.0,0,0,0,160.7,12.664,0,,0.023251,0.0027309,0,0,12058.871396407658,8230.583302036086,3138.1515203347603,311893.1235814029,0.9999239535119222
