"Density","Eddy_Viscosity","Energy","Entropy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Omega","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Turb_Kin_Energy","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7.7749,0.00018509,1.9543e+06,3704.2,0,1.9995e-05,0.23622,683.73,0.91341,0,87148,7.6971e+05,9.5672e+06,0,0,0,333.33,2.0746,0,,0,-8.1,0,0
7.7727,0.00018286,1.9537e+06,3704.1,0,1.9993e-05,0.23706,685.9,0.35853,0,75728,7.6937e+05,9.5624e+06,0,0,0,333.28,1.8002,0,,0.0731,-8.0269,0,0
7.7704,0.00018062,1.9531e+06,3704.1,0,1.9991e-05,0.23789,688.07,-0.19636,0,64308,7.6904e+05,9.5577e+06,0,0,0,333.23,1.5258,0,,0.1462,-7.9538,0,0
7.7681,0.00017839,1.9524e+06,3704.1,0,1.9989e-05,0.23873,690.24,-0.75123,0,52888,7.687e+05,9.5529e+06,0,0,0,333.19,1.2513,0,,0.2193,-7.8807,0,0
7.7658,0.00017616,1.9518e+06,3704.1,0,1.9987e-05,0.23957,692.41,-1.3061,0,41468,7.6837e+05,9.5481e+06,0,0,0,333.14,0.97691,0,,0.2924,-7.8076,0,0
7.7636,0.00017393,1.9512e+06,3704.1,0,1.9985e-05,0.24041,694.58,-1.861,0,30048,7.6803e+05,9.5433e+06,0,0,0,333.09,0.70247,0,,0.3655,-7.7345,0,0
7.7613,0.00017169,1.9505e+06,3704,0,1.9983e-05,0.24125,696.75,-2.4159,0,18628,7.677e+05,9.5385e+06,0,0,0,333.04,0.42804,0,,0.4386,-7.6614,0,0
7.7587,0.00016959,1.9498e+06,3704,0,1.998e-05,0.24224,699.34,-2.9687,0,9005.3,7.6733e+05,9.5332e+06,0,0,0,332.99,0.19701,0,,0.5117,-7.5883,0,0
7.7547,0.00016809,1.9489e+06,3704,0,1.9977e-05,0.24399,703.94,-3.5116,0,8144.3,7.6677e+05,9.5253e+06,0,0,0,332.92,0.17758,0,,0.5848,-7.5152,0,0
7.7507,0.0001666,1.948e+06,3704,0,1.9974e-05,0.24574,708.54,-4.0545,0,7283.3,7.6622e+05,9.5174e+06,0,0,0,332.86,0.15814,0,,0.6579,-7.4421,0,0
7.7466,0.00016511,1.947e+06,3704,0,1.9971e-05,0.24749,713.14,-4.5974,0,6422.3,7.6567e+05,9.5095e+06,0,0,0,332.79,0.13871,0,,0.731,-7.369,0,0
7.7426,0.00016361,1.9461e+06,3704,0,1.9968e-05,0.24925,717.74,-5.1403,0,5561.2,7.6511e+05,9.5016e+06,0,0,0,332.72,0.11927,0,,0.8041,-7.2959,0,0
7.7386,0.00016212,1.9451e+06,3704.1,0,1.9965e-05,0.251,722.34,-5.6832,0,4700.2,7.6456e+05,9.4937e+06,0,0,0,332.66,0.099836,0,,0.8772,-7.2228,0,0
7.7345,0.00016063,1.9442e+06,3704.1,0,1.9962e-05,0.25275,726.94,-6.2261,0,3839.2,7.6401e+05,9.4858e+06,0,0,0,332.59,0.080401,0,,0.9503,-7.1497,0,0
7.7296,0.00015926,1.9431e+06,3704.1,0,1.9958e-05,0.25485,732.42,-6.7667,0,3175.5,7.6334e+05,9.4762e+06,0,0,0,332.51,0.065481,0,,1.0234,-7.0766,0,0
7.7225,0.0001582,1.9415e+06,3704.1,0,1.9954e-05,0.25776,739.92,-7.3019,0,2962.1,7.624e+05,9.4629e+06,0,0,0,332.4,0.060865,0,,1.0965,-7.0035,0,0
7.7155,0.00015714,1.9399e+06,3704.1,0,1.9949e-05,0.26066,747.42,-7.8371,0,2748.8,7.6146e+05,9.4495e+06,0,0,0,332.3,0.05625,0,,1.1696,-6.9304,0,0
7.7084,0.00015607,1.9383e+06,3704.2,0,1.9944e-05,0.26356,754.92,-8.3723,0,2535.4,7.6053e+05,9.4361e+06,0,0,0,332.19,0.051634,0,,1.2427,-6.8573,0,0
7.7014,0.00015501,1.9368e+06,3704.2,0,1.994e-05,0.26647,762.42,-8.9075,0,2322,7.5959e+05,9.4227e+06,0,0,0,332.09,0.047018,0,,1.3158,-6.7842,0,0
7.6944,0.00015394,1.9352e+06,3704.2,0,1.9935e-05,0.26937,769.92,-9.4428,0,2108.6,7.5865e+05,9.4093e+06,0,0,0,331.98,0.042403,0,,1.3889,-6.7111,0,0
7.6873,0.00015288,1.9336e+06,3704.3,0,1.993e-05,0.27227,777.42,-9.978,0,1895.2,7.5772e+05,9.396e+06,0,0,0,331.88,0.037787,0,,1.462,-6.638,0,0
7.6788,0.00015191,1.9318e+06,3704.3,0,1.9924e-05,0.27568,786.12,-10.501,0,1734,7.566e+05,9.38e+06,0,0,0,331.75,0.034322,0,,1.5351,-6.5649,0,0
7.6683,0.00015109,1.9295e+06,3704.4,0,1.9917e-05,0.27985,796.61,-11.006,0,1650.1,7.552e+05,9.36e+06,0,0,0,331.59,0.032564,0,,1.6082,-6.4918,0,0
7.6577,0.00015026,1.9272e+06,3704.5,0,1.991e-05,0.28401,807.09,-11.51,0,1566.3,7.5381e+05,9.3401e+06,0,0,0,331.44,0.030807,0,,1.6813,-6.4187,0,0
7.6471,0.00014944,1.9249e+06,3704.5,0,1.9903e-05,0.28818,817.58,-12.015,0,1482.4,7.5241e+05,9.3202e+06,0,0,0,331.28,0.02905,0,,1.7544,-6.3456,0,0
7.6365,0.00014862,1.9225e+06,3704.6,0,1.9896e-05,0.29234,828.06,-12.52,0,1398.5,7.5102e+05,9.3003e+06,0,0,0,331.13,0.027292,0,,1.8275,-6.2725,0,0
7.6259,0.00014779,1.9202e+06,3704.6,0,1.9889e-05,0.2965,838.54,-13.025,0,1314.7,7.4962e+05,9.2803e+06,0,0,0,330.97,0.025535,0,,1.9006,-6.1994,0,0
7.6153,0.00014697,1.9179e+06,3704.7,0,1.9882e-05,0.30067,849.03,-13.529,0,1230.8,7.4823e+05,9.2604e+06,0,0,0,330.82,0.023777,0,,1.9737,-6.1263,0,0
7.6029,0.00014619,1.9152e+06,3704.8,0,1.9874e-05,0.30544,860.79,-14.008,0,1165.2,7.4658e+05,9.2368e+06,0,0,0,330.63,0.02241,0,,2.0468,-6.0532,0,0
7.5879,0.00014547,1.912e+06,3704.8,0,1.9863e-05,0.31099,874.22,-14.452,0,1123.1,7.4459e+05,9.2084e+06,0,0,0,330.39,0.02155,0,,2.1199,-5.9801,0,0
7.573,0.00014475,1.9087e+06,3704.9,0,1.9853e-05,0.31654,887.65,-14.896,0,1081.1,7.426e+05,9.18e+06,0,0,0,330.16,0.02069,0,,2.193,-5.907,0,0
7.558,0.00014403,1.9055e+06,3705,0,1.9842e-05,0.32209,901.07,-15.34,0,1039,7.4062e+05,9.1516e+06,0,0,0,329.93,0.019829,0,,2.2661,-5.8339,0,0
7.5431,0.00014331,1.9022e+06,3705,0,1.9832e-05,0.32764,914.5,-15.784,0,996.99,7.3863e+05,9.1233e+06,0,0,0,329.7,0.018969,0,,2.3392,-5.7608,0,0
7.5282,0.0001426,1.8989e+06,3705.1,0,1.9821e-05,0.33319,927.93,-16.228,0,954.95,7.3664e+05,9.0949e+06,0,0,0,329.46,0.018108,0,,2.4123,-5.6877,0,0
7.5132,0.00014188,1.8957e+06,3705.1,0,1.9811e-05,0.33874,941.35,-16.672,0,912.91,7.3466e+05,9.0665e+06,0,0,0,329.23,0.017248,0,,2.4854,-5.6146,0,0
7.496,0.00014117,1.8919e+06,3705.2,0,1.9798e-05,0.34492,955.89,-17.054,0,878.45,7.3236e+05,9.0337e+06,0,0,0,328.95,0.016546,0,,2.5585,-5.5415,0,0
7.4756,0.00014047,1.8875e+06,3705.3,0,1.9783e-05,0.35195,971.93,-17.353,0,854.16,7.2965e+05,8.995e+06,0,0,0,328.62,0.016058,0,,2.6316,-5.4684,0,0
7.4553,0.00013978,1.8831e+06,3705.3,0,1.9768e-05,0.35898,987.96,-17.651,0,829.88,7.2694e+05,8.9563e+06,0,0,0,328.29,0.01557,0,,2.7047,-5.3953,0,0
7.4349,0.00013909,1.8787e+06,3705.4,0,1.9753e-05,0.36601,1004,-17.95,0,805.6,7.2423e+05,8.9175e+06,0,0,0,327.96,0.015082,0,,2.7778,-5.3222,0,0
