"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,          55,      -4.780085019,      -1.873983277,      -1.930737199,      0.8613028063,      -1.519035968,      0.8126114782
          0,           0,          56,        -4.9263879,      -1.869696468,      -2.096017922,      0.7710494626,      -1.517123114,      0.7988752097
          0,           0,          57,      -4.888576061,      -1.832172864,      -1.922805437,      0.7644715341,      -1.512062313,      0.7983808942
          0,           0,          58,      -4.921100497,      -1.870561597,      -2.146065826,      0.7452557069,      -1.516948242,      0.7875467757
          0,           0,          59,      -4.908602116,      -1.892529675,      -2.189809339,      0.7736833667,       -1.51811738,       0.781182851
          0,           0,          60,      -4.893291616,      -1.868399803,       -2.25033666,      0.7961577125,      -1.520219768,      0.7833894393
          0,           0,          61,       -4.91297158,       -1.86390761,      -2.206817034,      0.7510694705,      -1.523385551,       0.763783182
          0,           0,          62,      -4.906818789,      -1.871585104,      -2.039470565,      0.7476474331,      -1.534642416,      0.7678777053
          0,           0,          63,      -4.795983911,      -1.848338733,      -1.743342364,      0.8408927559,      -1.547136178,      0.7922242901
          0,           0,          64,      -4.796622274,      -1.866623393,      -1.971665626,       0.845015765,      -1.560970775,      0.7827146922
          0,           0,          65,      -4.909449131,      -1.886704089,      -2.077378219,      0.7834723178,      -1.569668786,      0.7901924753
          0,           0,          66,      -4.907306955,         -1.872958,      -1.953289707,      0.7889680453,       -1.58302798,       0.847652785
          0,           0,          67,      -4.916495981,      -1.801405613,      -2.180822066,      0.8015920218,      -1.595223676,       1.100598468
          0,           0,          68,      -4.978109418,      -1.867347193,      -2.309309124,      0.7840120826,      -1.615101138,      0.7722271956
          0,           0,          69,      -4.944358009,      -1.903102561,      -2.271693358,      0.7556365744,       -1.62098418,      0.7665236555
          0,           0,          70,      -4.924662767,        -1.8777276,      -2.290981856,      0.7326597763,      -1.621071298,      0.7775492855
          0,           0,          71,       -4.94144273,      -1.876974918,       -2.32337025,      0.7534679111,      -1.629865006,      0.7784029714
          0,           0,          72,      -4.954346278,      -1.875216104,      -2.210093664,      0.7435952842,      -1.638697527,      0.7975425943
          0,           0,          73,      -4.900608777,      -1.826437636,      -2.002160509,      0.7783642065,      -1.644174249,      0.7940223412
          0,           0,          74,      -4.816103878,      -1.871340383,      -1.742435777,      0.8268934157,      -1.648496342,      0.7996628666
          0,           0,          75,      -4.806591443,      -1.899575128,       -1.96581614,      0.8477594096,      -1.647541188,      0.7520503393
          0,           0,          76,       -4.91360366,      -1.875996172,      -2.092222955,      0.7873190421,      -1.634684547,      0.7579737766
          0,           0,          77,      -4.929777533,      -1.874760123,      -2.240490931,      0.7644538354,      -1.630350069,      0.7626668294
          0,           0,          78,      -4.963189681,      -1.885361897,      -2.278700787,      0.7365815304,      -1.632374017,      0.7887753343
          0,           0,          79,      -4.965403664,      -1.880589498,       -2.30416469,      0.7378693674,      -1.636919793,      0.7371867572
          0,           0,          80,      -4.960169285,       -1.87396742,       -2.32187633,      0.7321074239,      -1.637376071,      0.7803261693
