,Density,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient:0,Skin_Friction_Coefficient:1,Skin_Friction_Coefficient:2,Temperature,Y_Plus,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Ptot,Z
0,7.7429,1961400.0,0,2.0089e-05,0.24776,716.42,0.54688,0,771320.0,9.5245e+18,0,0,0,335.41,0,,0.0,-8.1,0,0,805213.7676299595,1.0004863432412887
1,7.7411,1961000.0,0,2.0088e-05,0.24841,718.11,0.14961,0,771090.0,9.5213e+18,0,0,0,335.38,0,,0.0731,-8.0269,0,0,805154.3654753221,1.0004850054668024
2,7.7394,1960600.0,0,2.0087e-05,0.24906,719.8,-0.24766,0,770860.0,9.5181e+18,0,0,0,335.36,0,,0.1462,-7.9538,0,0,805095.348268301,1.000484055395804
3,7.7376,1960200.0,0,2.0086e-05,0.24971,721.49,-0.64493,0,770630.0,9.5148e+18,0,0,0,335.34,0,,0.2193,-7.8807,0,0,805036.724707119,1.000483105589647
4,7.7358,1959800.0,0,2.0085e-05,0.25036,723.18,-1.0422,0,770410.0,9.5116e+18,0,0,0,335.32,0,,0.2924,-7.8076,0,0,804988.9469668313,1.0004821636380214
5,7.734,1959400.0,0,2.0084e-05,0.25101,724.86,-1.4395,0,770180.0,9.5084e+18,0,0,0,335.3,0,,0.3655,-7.7345,0,0,804931.112432366,1.0004812143512876
6,7.7322,1959000.0,0,2.0083e-05,0.25166,726.55,-1.8367,0,769950.0,9.5052e+18,0,0,0,335.28,0,,0.4386,-7.6614,0,0,804873.6708905094,1.0004802653297853
7,7.7302,1958600.0,0,2.0082e-05,0.25243,728.55,-2.1957,0,769700.0,9.5015e+18,0,0,0,335.25,0,,0.5117,-7.5883,0,0,804829.6335901944,1.000478914043348
8,7.7271,1957900.0,0,2.008e-05,0.25377,732.08,-2.3677,0,769300.0,9.4958e+18,0,0,0,335.21,0,,0.5848,-7.5152,0,0,804791.0251801632,1.0004770625790285
9,7.7241,1957300.0,0,2.0078e-05,0.25511,735.61,-2.5397,0,768900.0,9.4902e+18,0,0,0,335.17,0,,0.6579,-7.4421,0,0,804754.1571759149,1.0004752119230582
10,7.721,1956600.0,0,2.0076e-05,0.25646,739.14,-2.7117,0,768500.0,9.4845e+18,0,0,0,335.13,0,,0.731,-7.369,0,0,804721.8992535834,1.000473362076281
