,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,pi,s,Z
0,7.8142,1976000.0,0.20056,586.34,-10.031,0,781590.0,9.6704e+18,336.77,,0.0,-8.1,2.275,0,804426.4573038771,804426.4573038771,6352.274925555591,1.0005470995007726
1,7.8134,1975900.0,0.20129,588.17,-15.441,0,781470.0,9.6687e+18,336.76,,0.0731,-8.0269,2.275,0,804426.4573038771,804426.4573038771,6352.274925555591,1.0005466140885733
2,7.8125,1975700.0,0.20202,590.0,-20.851,0,781350.0,9.667e+18,336.74,,0.1462,-7.9538,2.275,0,804426.4573038771,804426.4573038771,6352.274925555591,1.0005457433121594
3,7.8116,1975600.0,0.20275,591.83,-26.261,0,781230.0,9.6653e+18,336.73,,0.2193,-7.8807,2.275,0,804426.4573038771,804426.4573038771,6352.274925555591,1.0005452580458147
4,7.8107,1975400.0,0.20348,593.65,-31.671,0,781110.0,9.6636e+18,336.72,,0.2924,-7.8076,2.275,0,804426.4573038771,804426.4573038771,6352.274925555591,1.0005447728490846
5,7.8099,1975300.0,0.20417,595.35,-37.245,0,781000.0,9.6621e+18,336.7,,0.3655,-7.7345,2.275,0,804426.4573038771,804426.4573038771,6352.274925555591,1.0005439105566032
6,7.8091,1975200.0,0.20494,597.18,-43.226,0,780890.0,9.6604e+18,336.69,,0.4386,-7.6614,2.275,0,804426.4573038771,804426.4573038771,6352.274925555591,1.0005434337950108
7,7.8076,1975000.0,0.20635,600.52,-49.655,0,780680.0,9.6575e+18,336.66,,0.5117,-7.5883,2.275,0,804426.4573038771,804426.4573038771,6352.274925555591,1.0005421032131947
8,7.8062,1974800.0,0.2077,603.76,-55.657,0,780480.0,9.6546e+18,336.64,,0.5848,-7.5152,2.275,0,804426.4573038771,804426.4573038771,6352.274925555591,1.0005411666355941
9,7.8049,1974600.0,0.20904,606.96,-61.51,0,780280.0,9.6517e+18,336.61,,0.6579,-7.4421,2.275,0,804426.4573038771,804426.4573038771,6352.274925555591,1.0005398446702236
10,7.8035,1974400.0,0.21037,610.16,-67.363,0,780080.0,9.6489e+18,336.58,,0.731,-7.369,2.275,0,804426.4573038771,804426.4573038771,6352.274925555591,1.000538522837527
