,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,pi,s,Z
0,7.7527,1963600.0,0.24138,699.1,0.599,0,772830.0,9.546e+18,335.64,,0.0,-8.1,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0004964107514143
1,7.7507,1963100.0,0.24215,701.1,0.15923,0,772560.0,9.5422e+18,335.61,,0.0731,-8.0269,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0004950406321504
2,7.7488,1962600.0,0.24291,703.09,-0.28054,0,772290.0,9.5384e+18,335.57,,0.1462,-7.9538,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0004932838307374
3,7.7469,1962100.0,0.24367,705.09,-0.7203,0,772020.0,9.5345e+18,335.54,,0.2193,-7.8807,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0004919144020528
4,7.745,1961700.0,0.24444,707.09,-1.1601,0,771750.0,9.5307e+18,335.51,,0.2924,-7.8076,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0004905453301995
5,7.743,1961200.0,0.2452,709.09,-1.5998,0,771480.0,9.5269e+18,335.47,,0.3655,-7.7345,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0004887894593137
6,7.7411,1960700.0,0.24597,711.09,-2.0396,0,771210.0,9.523e+18,335.44,,0.4386,-7.6614,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0004874210800179
7,7.739,1960200.0,0.24686,713.44,-2.4697,0,770920.0,9.5188e+18,335.4,,0.5117,-7.5883,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0004856505452102
8,7.7359,1959500.0,0.2484,717.52,-2.8525,0,770490.0,9.5128e+18,335.35,,0.5848,-7.5152,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.000483386530202
9,7.7329,1958800.0,0.24993,721.6,-3.2353,0,770070.0,9.5068e+18,335.3,,0.6579,-7.4421,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0004811309852142
10,7.7298,1958200.0,0.25147,725.69,-3.6182,0,769640.0,9.5007e+18,335.25,,0.731,-7.369,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0004788687283201
11,7.7267,1957500.0,0.253,729.77,-4.001,0,769210.0,9.4947e+18,335.19,,0.8041,-7.2959,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.000476219882192
12,7.7237,1956800.0,0.25454,733.85,-4.3838,0,768790.0,9.4886e+18,335.14,,0.8772,-7.2228,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0004739668637899
13,7.7206,1956200.0,0.25607,737.93,-4.7667,0,768360.0,9.4826e+18,335.09,,0.9503,-7.1497,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0004717072207159
14,7.7162,1955200.0,0.25793,742.8,-5.0995,0,767770.0,9.4742e+18,335.02,,1.0234,-7.0766,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0004685541479323
15,7.7087,1953500.0,0.26054,749.45,-5.3182,0,766810.0,9.4605e+18,334.93,,1.0965,-7.0035,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0004643539094984
16,7.7012,1951700.0,0.26314,756.1,-5.5369,0,765840.0,9.4468e+18,334.83,,1.1696,-6.9304,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.000459763353026
17,7.6937,1950000.0,0.26575,762.75,-5.7556,0,764880.0,9.4331e+18,334.73,,1.2427,-6.8573,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0004551848567977
18,7.6859,1948300.0,0.26892,770.92,-5.9442,0,763840.0,9.4183e+18,334.62,,1.3158,-6.7842,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0004501654786033
19,7.6779,1946500.0,0.27219,779.35,-6.1276,0,762780.0,9.4034e+18,334.5,,1.3889,-6.7111,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0004447494183497
20,7.67,1944800.0,0.27547,787.79,-6.311,0,761730.0,9.3884e+18,334.39,,1.462,-6.638,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.0004397340295323
21,7.6617,1943000.0,0.27899,796.85,-6.4906,0,760610.0,9.3725e+18,334.26,,1.5351,-6.5649,0,0,804803.6975130122,804803.6975130122,6352.135676436638,1.000433899029361
