,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,Z
44,7.3075,1866000.0,0.41276,1114.0,-9.9724,0,712400.0,8.6879e+18,328.24,,3.2164,-4.8836,0,0,801630.1772983838,1.0001722864153115
45,7.2844,1861100.0,0.42079,1131.6,-9.8926,0,709260.0,8.6432e+18,327.83,,3.2895,-4.8105,0,0,801738.0393351319,1.0001549741288396
46,7.2598,1855800.0,0.42927,1149.7,-8.7619,0,705900.0,8.5956e+18,327.39,,3.3626,-4.7374,0,0,801855.6658927941,1.0001364596064901
47,7.2345,1850500.0,0.43793,1168.1,-7.4644,0,702460.0,8.5467e+18,326.93,,3.4357,-4.6643,0,0,802021.9186389572,1.0001171933254875
48,7.2021,1843400.0,0.44804,1188.6,-7.1604,0,698120.0,8.4851e+18,326.37,,3.5088,-4.5912,0,0,801914.3544985428,1.000093788917889
49,7.1695,1836400.0,0.45837,1209.5,-6.7851,0,693730.0,8.4227e+18,325.79,,3.5819,-4.5181,0,0,801929.1170213186,1.0000696894609202
50,7.1361,1829200.0,0.46927,1231.3,-6.2217,0,689190.0,8.3583e+18,325.18,,3.655,-4.445,0,0,802131.9906670315,1.0000444809041065
51,7.1008,1821600.0,0.4804,1252.9,-6.1524,0,684420.0,8.2905e+18,324.53,,3.7281,-4.3719,0,0,802266.6890774748,1.0000177643345658
52,7.0633,1813400.0,0.49176,1274.5,-6.6063,0,679370.0,8.2189e+18,323.85,,3.8012,-4.2988,0,0,802274.6395860133,0.999989953687475
53,7.0266,1805400.0,0.50244,1294.1,-6.4595,0,674480.0,8.1493e+18,323.19,,3.8743,-4.2257,0,0,802186.7804147811,0.9999631119515088
54,6.9902,1797400.0,0.51283,1312.8,-6.0515,0,669640.0,8.0807e+18,322.55,,3.9474,-4.1526,0,0,802067.2906508176,0.9999372233757976
55,6.9534,1789400.0,0.52399,1332.7,-5.9419,0,664650.0,8.0098e+18,321.84,,4.0205,-4.0795,0,0,802259.8549809541,0.9999086765035121
56,6.9158,1781200.0,0.53533,1352.7,-5.8629,0,659540.0,7.9373e+18,321.1,,4.0936,-4.0064,0,0,802482.7414840042,0.9998790847551878
57,6.8725,1771600.0,0.54748,1372.9,-5.7861,0,653770.0,7.8552e+18,320.29,,4.1667,-3.9333,0,0,802440.6662364573,0.9998469023141084
