,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,pi,s,Z
0,7.7578,1964700.0,0.23876,692.04,0.67764,0,773520.0,9.5558e+18,335.72,,0.0,-8.1,0,0,804852.9327284397,804852.9327284397,6352.117507255548,1.0005000427511292
1,7.7557,1964100.0,0.23954,694.08,0.21721,0,773230.0,9.5517e+18,335.69,,0.0731,-8.0269,0,0,804801.5839786261,804801.5839786261,6352.13645641518,1.0004986561679172
2,7.7535,1963600.0,0.24033,696.13,-0.24322,0,772940.0,9.5476e+18,335.65,,0.1462,-7.9538,0,0,804834.925065744,804834.925065744,6352.124152462077,1.0004968830580059
3,7.7514,1963100.0,0.24112,698.18,-0.70364,0,772650.0,9.5434e+18,335.62,,0.2193,-7.8807,0,0,804783.4009487404,804783.4009487404,6352.143166764375,1.0004954972990088
4,7.7493,1962500.0,0.2419,700.23,-1.1641,0,772360.0,9.5393e+18,335.58,,0.2924,-7.8076,0,0,804816.5818925888,804816.5818925888,6352.130921629658,1.000493724937719
5,7.7471,1962000.0,0.24269,702.27,-1.6245,0,772070.0,9.5352e+18,335.55,,0.3655,-7.7345,0,0,804764.8821206058,804764.8821206058,6352.150001192737,1.0004923400044659
6,7.745,1961500.0,0.24348,704.32,-2.0849,0,771780.0,9.531e+18,335.52,,0.4386,-7.6614,0,0,804713.0934378644,804713.0934378644,6352.169114791642,1.0004909554907846
7,7.7426,1960900.0,0.24441,706.75,-2.5473,0,771450.0,9.5264e+18,335.48,,0.5117,-7.5883,0,0,804703.7688784477,804703.7688784477,6352.172556328685,1.0004891535995204
8,7.7386,1960000.0,0.24605,711.07,-3.0189,0,770920.0,9.5189e+18,335.42,,0.5848,-7.5152,0,0,804652.5793005195,804652.5793005195,6352.191450245222,1.000486424977348
9,7.7346,1959100.0,0.2477,715.38,-3.4906,0,770400.0,9.5115e+18,335.37,,0.6579,-7.4421,0,0,804526.849656194,804526.849656194,6352.237861771147,1.0004840925260505
10,7.7306,1958200.0,0.24934,719.69,-3.9623,0,769880.0,9.5041e+18,335.31,,0.731,-7.369,0,0,804485.6575756386,804485.6575756386,6352.2530688872785,1.0004813742448513
11,7.7267,1957300.0,0.25098,724.0,-4.434,0,769360.0,9.4967e+18,335.26,,0.8041,-7.2959,0,0,804359.3506712174,804359.3506712174,6352.299703184029,1.0004790445220608
