"Mach","p","tp","Points:0","Points:1","Points:2"
1.0136,0.41856,0.71958,0,0,0
1.0196,0.41564,0.71811,0.01,0,0
1.0257,0.41272,0.71664,0.02,0,0
1.032,0.40969,0.71512,0.03,0,0
1.0384,0.40665,0.71361,0.04,0,0
1.0463,0.40284,0.71152,0.05,0,0
1.0542,0.39902,0.70944,0.06,0,0
1.0624,0.39508,0.70718,0.07,0,0
1.0705,0.39114,0.70492,0.08,0,0
1.0789,0.38725,0.70274,0.09,0,0
1.0872,0.38336,0.70056,0.1,0,0
1.0981,0.37821,0.69738,0.11,0,0
1.1089,0.37306,0.69419,0.12,0,0
1.1195,0.36822,0.6912,0.13,0,0
1.1301,0.36337,0.68822,0.14,0,0
1.1412,0.3583,0.68489,0.15,0,0
1.1524,0.35322,0.68157,0.16,0,0
1.164,0.34801,0.67804,0.17,0,0
1.1757,0.34281,0.67452,0.18,0,0
1.1906,0.33621,0.66974,0.19,0,0
1.2055,0.32962,0.66495,0.2,0,0
1.2198,0.32354,0.66044,0.21,0,0
1.2341,0.31747,0.65593,0.22,0,0
1.2485,0.31143,0.65115,0.23,0,0
1.263,0.30539,0.64637,0.24,0,0
1.2747,0.30074,0.64272,0.25,0,0
1.2863,0.2961,0.63906,0.26,0,0
1.3021,0.28986,0.63375,0.27,0,0
1.3179,0.28362,0.62844,0.28,0,0
1.3349,0.27699,0.62237,0.29,0,0
1.352,0.27037,0.6163,0.3,0,0
1.3695,0.26388,0.61017,0.31,0,0
1.3871,0.25739,0.60404,0.32,0,0
1.4072,0.25017,0.59671,0.33,0,0
1.4272,0.24295,0.58938,0.34,0,0
1.4472,0.23625,0.58238,0.35,0,0
1.4671,0.22954,0.57538,0.36,0,0
1.4853,0.22366,0.56891,0.37,0,0
1.5036,0.21778,0.56243,0.38,0,0
1.5189,0.21297,0.55677,0.39,0,0
1.5342,0.20815,0.55112,0.4,0,0
1.5529,0.20262,0.54449,0.41,0,0
1.5716,0.1971,0.53786,0.42,0,0
1.5885,0.19228,0.53174,0.43,0,0
1.6054,0.18745,0.52563,0.44,0,0
1.6234,0.18252,0.51906,0.45,0,0
1.6414,0.17759,0.51249,0.46,0,0
1.6615,0.17231,0.50509,0.47,0,0
1.6817,0.16703,0.49769,0.48,0,0
1.7002,0.16241,0.49086,0.49,0,0
1.7187,0.15779,0.48404,0.5,0,0
1.7352,0.15388,0.47809,0.51,0,0
1.7517,0.14998,0.47214,0.52,0,0
1.7683,0.14626,0.46628,0.53,0,0
1.7848,0.14255,0.46042,0.54,0,0
1.8018,0.1389,0.45444,0.55,0,0
1.8188,0.13525,0.44845,0.56,0,0
1.8361,0.13172,0.44243,0.57,0,0
1.8534,0.12818,0.4364,0.58,0,0
1.8706,0.12482,0.43043,0.59,0,0
1.8879,0.12145,0.42447,0.6,0,0
1.9051,0.11828,0.41865,0.61,0,0
1.9222,0.11511,0.41282,0.62,0,0
1.9393,0.11211,0.40714,0.63,0,0
1.9563,0.10912,0.40145,0.64,0,0
1.9733,0.10628,0.39586,0.65,0,0
1.9904,0.10343,0.39027,0.66,0,0
2.0076,0.10071,0.38474,0.67,0,0
2.0247,0.097993,0.3792,0.68,0,0
2.0421,0.095387,0.37371,0.69,0,0
2.0594,0.092782,0.36823,0.7,0,0
2.0769,0.090288,0.36279,0.71,0,0
2.0943,0.087795,0.35736,0.72,0,0
2.1119,0.085417,0.352,0.73,0,0
2.1295,0.08304,0.34664,0.74,0,0
2.1471,0.080785,0.34138,0.75,0,0
2.1647,0.07853,0.33612,0.76,0,0
2.1822,0.076406,0.33101,0.77,0,0
2.1998,0.074282,0.32589,0.78,0,0
2.2171,0.07229,0.32094,0.79,0,0
2.2345,0.070298,0.31599,0.8,0,0
2.2516,0.068436,0.31121,0.81,0,0
2.2687,0.066573,0.30643,0.82,0,0
2.2856,0.064835,0.30184,0.83,0,0
2.3025,0.063096,0.29724,0.84,0,0
2.3191,0.061474,0.29283,0.85,0,0
2.3357,0.059851,0.28841,0.86,0,0
2.352,0.058337,0.28417,0.87,0,0
2.3684,0.056823,0.27994,0.88,0,0
2.3844,0.05541,0.27587,0.89,0,0
2.4005,0.053996,0.2718,0.9,0,0
2.4163,0.052675,0.2679,0.91,0,0
2.4322,0.051353,0.264,0.92,0,0
