,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,Z
0,7.7588,1965100.0,0.23908,693.08,0.25921,0,773660.0,9.5578e+18,335.74,1,0.0,-8.1,0,0,805283.4229365198,1.000500925733329
1,7.7569,1964700.0,0.23973,694.77,-0.095804,0,773420.0,9.5544e+18,335.71,1,0.0731,-8.0269,0,0,805208.1581513283,1.0004995779130696
2,7.755,1964200.0,0.24038,696.46,-0.45081,0,773170.0,9.5509e+18,335.69,1,0.1462,-7.9538,0,0,805122.8602887926,1.00049860948143
3,7.7531,1963800.0,0.24104,698.16,-0.80582,0,772930.0,9.5474e+18,335.67,1,0.2193,-7.8807,0,0,805051.0720284578,1.000497649125763
4,7.7505,1963100.0,0.24183,700.19,-1.2575,0,772610.0,9.5428e+18,335.64,1,0.2924,-7.8076,0,0,804931.5743139726,1.0004962401435373
5,7.7475,1962400.0,0.24272,702.46,-1.7777,0,772220.0,9.5374e+18,335.6,1,0.3655,-7.7345,0,0,804766.8820477874,1.0004943906553811
6,7.7445,1961700.0,0.24361,704.73,-2.2979,0,771840.0,9.532e+18,335.57,1,0.4386,-7.6614,0,0,804613.3028521733,1.0004929365079822
7,7.7416,1961000.0,0.24462,707.35,-2.7402,0,771470.0,9.5267e+18,335.53,1,0.5117,-7.5883,0,0,804503.7471747224,1.0004911039258966
8,7.7392,1960600.0,0.24621,711.67,-2.8028,0,771150.0,9.5222e+18,335.49,1,0.5848,-7.5152,0,0,804607.1228789994,1.0004893103993515
9,7.7369,1960200.0,0.24779,716.0,-2.8655,0,770830.0,9.5176e+18,335.46,1,0.6579,-7.4421,0,0,804710.3495496473,1.0004879042814252
10,7.7346,1959800.0,0.24938,720.32,-2.9281,0,770510.0,9.5131e+18,335.42,1,0.731,-7.369,0,0,804818.9797396758,1.0004861117422827
11,7.7293,1958600.0,0.25125,725.16,-3.4894,0,769830.0,9.5034e+18,335.35,1,0.8041,-7.2959,0,0,804632.6496305441,1.0004828846994982
12,7.723,1957000.0,0.25323,730.18,-4.2283,0,769010.0,9.4918e+18,335.26,1,0.8772,-7.2228,0,0,804334.2596522681,1.0004787800703878
13,7.7167,1955500.0,0.25521,735.19,-4.9672,0,768190.0,9.4802e+18,335.18,1,0.9503,-7.1497,0,0,804039.3227825385,1.0004750658578034
14,7.7108,1954200.0,0.25741,740.88,-5.4788,0,767420.0,9.4692e+18,335.1,1,1.0234,-7.0766,0,0,803863.5221913864,1.0004713924069026
15,7.7059,1953200.0,0.26013,748.11,-5.4719,0,766750.0,9.4597e+18,335.02,1,1.0965,-7.0035,0,0,803948.1425348719,1.0004677962345325
16,7.7009,1952300.0,0.26284,755.34,-5.465,0,766080.0,9.4501e+18,334.95,1,1.1696,-6.9304,0,0,804037.2482321248,1.0004645894454847
17,7.696,1951300.0,0.26555,762.56,-5.4581,0,765410.0,9.4406e+18,334.87,1,1.2427,-6.8573,0,0,804133.7316179378,1.0004609976728613
18,7.6873,1949300.0,0.26862,770.35,-6.1253,0,764270.0,9.4244e+18,334.74,1,1.3158,-6.7842,0,0,803851.0838620447,1.0004551283483634
19,7.6781,1947100.0,0.27176,778.24,-6.908,0,763050.0,9.4071e+18,334.61,1,1.3889,-6.7111,0,0,803513.9002461325,1.0004492077683673
20,7.6689,1944900.0,0.27489,786.12,-7.6908,0,761830.0,9.3897e+18,334.48,1,1.462,-6.638,0,0,803182.3926435143,1.000443294758752
21,7.6605,1943000.0,0.27832,794.9,-8.0968,0,760690.0,9.3736e+18,334.35,1,1.5351,-6.5649,0,0,803037.0085613368,1.0004374459414394
22,7.6534,1941600.0,0.28219,805.03,-7.9431,0,759690.0,9.3594e+18,334.21,1,1.6082,-6.4918,0,0,803188.8154999459,1.0004313139049654
23,7.6463,1940200.0,0.28606,815.15,-7.7895,0,758680.0,9.3451e+18,334.08,1,1.6813,-6.4187,0,0,803344.7922458731,1.0004255671959121
24,7.6391,1938800.0,0.28993,825.27,-7.6358,0,757680.0,9.3309e+18,333.95,1,1.7544,-6.3456,0,0,803526.1033626411,1.0004198321206035
25,7.6275,1936100.0,0.29426,836.04,-8.246,0,756090.0,9.3084e+18,333.76,1,1.8275,-6.2725,0,0,803245.7431810101,1.0004113715835432
26,7.6155,1933300.0,0.29864,846.88,-8.9236,0,754460.0,9.2851e+18,333.56,1,1.9006,-6.1994,0,0,802956.0445401205,1.0004025084371504
27,7.6035,1930400.0,0.30302,857.71,-9.6012,0,752820.0,9.2619e+18,333.37,1,1.9737,-6.1263,0,0,802672.5441079763,1.0003940406083578
28,7.5921,1927900.0,0.30755,869.0,-9.9139,0,751260.0,9.2397e+18,333.17,1,2.0468,-6.0532,0,0,802542.5117453834,1.0003852491877272
29,7.5816,1925700.0,0.31229,880.89,-9.7534,0,749790.0,9.2188e+18,332.98,1,2.1199,-5.9801,0,0,802599.9984498697,1.0003769158349785
30,7.5711,1923500.0,0.31703,892.77,-9.5928,0,748320.0,9.198e+18,332.79,1,2.193,-5.907,0,0,802678.3188126662,1.0003685929027173
31,7.5606,1921300.0,0.32177,904.66,-9.4322,0,746860.0,9.1772e+18,332.6,1,2.2661,-5.8339,0,0,802788.1770681426,1.000360286592518
32,7.5455,1918000.0,0.32746,918.38,-9.3435,0,744820.0,9.1483e+18,332.36,1,2.3392,-5.7608,0,0,802637.6469753193,1.0003496914989605
33,7.53,1914600.0,0.33321,932.24,-9.2601,0,742740.0,9.1188e+18,332.11,1,2.4123,-5.6877,0,0,802494.2465415891,1.0003387044757057
34,7.5146,1911300.0,0.33897,946.09,-9.1767,0,740670.0,9.0893e+18,331.86,1,2.4854,-5.6146,0,0,802394.038980925,1.0003277456931072
35,7.4982,1907700.0,0.34514,960.84,-9.1198,0,738450.0,9.0578e+18,331.59,1,2.5585,-5.5415,0,0,802315.5986467794,1.000315944081561
36,7.4807,1904000.0,0.35188,976.77,-9.0985,0,736060.0,9.0238e+18,331.29,1,2.6316,-5.4684,0,0,802305.5630472006,1.0003029031103
37,7.4631,1900200.0,0.35861,992.71,-9.0772,0,733660.0,8.9898e+18,330.99,1,2.7047,-5.3953,0,0,802319.7116633969,1.0002898865350318
38,7.4456,1896500.0,0.36535,1008.6,-9.0558,0,731270.0,8.9558e+18,330.69,1,2.7778,-5.3222,0,0,802387.5337921238,1.0002769053046716
39,7.4233,1891700.0,0.37335,1026.9,-9.0211,0,728230.0,8.9127e+18,330.3,1,2.8509,-5.2491,0,0,802294.2778180205,1.000260107551644
40,7.4005,1886700.0,0.38148,1045.3,-8.9849,0,725130.0,8.8686e+18,329.91,1,2.924,-5.176,0,0,802241.3830168545,1.000243330504441
41,7.3777,1881800.0,0.38961,1063.8,-8.9487,0,722020.0,8.8245e+18,329.51,1,2.9971,-5.1029,0,0,802230.95259128,1.0002262079803925
42,7.3539,1876600.0,0.39795,1082.4,-8.9227,0,718770.0,8.7784e+18,329.09,1,3.0702,-5.0298,0,0,802208.7735777543,1.0002082918723738
43,7.3284,1871100.0,0.40663,1101.2,-8.9133,0,715300.0,8.729e+18,328.63,1,3.1433,-4.9567,0,0,802145.740633272,1.000188770572345
44,7.303,1865600.0,0.41532,1120.1,-8.904,0,711820.0,8.6796e+18,328.18,1,3.2164,-4.8836,0,0,802133.8719634793,1.0001697051243696
45,7.2775,1860000.0,0.424,1139.0,-8.8946,0,708340.0,8.6302e+18,327.72,1,3.2895,-4.8105,0,0,802174.8694398686,1.0001503122122015
46,7.2488,1853800.0,0.43335,1158.4,-8.8312,0,704450.0,8.575e+18,327.2,1,3.3626,-4.7374,0,0,802121.4538421778,1.0001284846706606
47,7.2195,1847400.0,0.44284,1177.9,-8.7564,0,700470.0,8.5185e+18,326.68,1,3.4357,-4.6643,0,0,802095.6736724882,1.000106716580823
48,7.1902,1841000.0,0.45233,1197.4,-8.6816,0,696500.0,8.462e+18,326.15,1,3.5088,-4.5912,0,0,802145.6095002958,1.0000846458148533
