,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,Z
23,7.6518,1940800.0,0.28196,804.13,-9.3825,0,759420.0,9.3556e+18,334.16,,1.6813,-6.4187,0,0,802831.0356707064,1.0004291856947436
24,7.6423,1938700.0,0.28556,813.24,-9.5031,0,758170.0,9.3379e+18,334.03,,1.7544,-6.3456,0,0,802645.53182537,1.0004232742603762
25,7.6312,1936300.0,0.29027,825.2,-9.5386,0,756660.0,9.3164e+18,333.85,,1.8275,-6.2725,0,0,802553.7192513885,1.0004152529067127
26,7.62,1933900.0,0.29509,837.4,-9.5666,0,755120.0,9.2946e+18,333.66,,1.9006,-6.1994,0,0,802486.7107645633,1.0004068343873214
27,7.6087,1931400.0,0.2999,849.6,-9.5946,0,753590.0,9.2728e+18,333.48,,1.9737,-6.1263,0,0,802448.5612337032,1.0003988226808005
28,7.5961,1928700.0,0.30504,862.46,-9.6461,0,751880.0,9.2485e+18,333.27,,2.0468,-6.0532,0,0,802351.3916556694,1.0003895394261901
29,7.5817,1925500.0,0.3106,876.17,-9.7282,0,749940.0,9.221e+18,333.05,,2.1199,-5.9801,0,0,802176.7327189407,1.0003797348898469
30,7.5673,1922400.0,0.31617,889.89,-9.8102,0,748010.0,9.1935e+18,332.82,,2.193,-5.907,0,0,802043.8804808763,1.0003695670714705
31,7.5529,1919200.0,0.32173,903.6,-9.8923,0,746070.0,9.1661e+18,332.59,,2.2661,-5.8339,0,0,801924.3310516332,1.00035941221528
32,7.5376,1915900.0,0.32776,918.23,-9.9688,0,743980.0,9.1364e+18,332.33,,2.3392,-5.7608,0,0,801840.677244876,1.0003480180118591
33,7.5223,1912600.0,0.33383,932.93,-10.045,0,741880.0,9.1066e+18,332.07,,2.4123,-5.6877,0,0,801793.0602632257,1.0003366401070004
34,7.5069,1909300.0,0.3399,947.63,-10.121,0,739780.0,9.0767e+18,331.81,,2.4854,-5.6146,0,0,801777.8503191114,1.000325284804488
35,7.4906,1905800.0,0.34625,962.82,-10.148,0,737550.0,9.0449e+18,331.52,,2.5585,-5.5415,0,0,801760.466137076,1.000312708491791
36,7.4729,1902000.0,0.35298,978.68,-10.111,0,735120.0,9.0105e+18,331.22,,2.6316,-5.4684,0,0,801707.5417281155,1.0002996585104666
37,7.4552,1898100.0,0.3597,994.53,-10.073,0,732700.0,8.9761e+18,330.91,,2.7047,-5.3953,0,0,801700.2006234422,1.0002862536284691
38,7.4375,1894300.0,0.36643,1010.4,-10.035,0,730270.0,8.9416e+18,330.6,,2.7778,-5.3222,0,0,801724.2143705286,1.0002728740463331
39,7.417,1889900.0,0.37378,1027.1,-9.9512,0,727480.0,8.902e+18,330.24,,2.8509,-5.2491,0,0,801643.9702254042,1.0002573908193697
40,7.3962,1885400.0,0.3812,1043.9,-9.8619,0,724640.0,8.8618e+18,329.88,,2.924,-5.176,0,0,801581.7890042668,1.0002419253014363
41,7.3754,1880900.0,0.38862,1060.8,-9.7726,0,721810.0,8.8215e+18,329.52,,2.9971,-5.1029,0,0,801575.2005814658,1.0002265076080552
42,7.3538,1876200.0,0.39626,1077.9,-9.6952,0,718860.0,8.7796e+18,329.14,,3.0702,-5.0298,0,0,801574.4128300854,1.00021029623901
43,7.3308,1871200.0,0.40426,1095.4,-9.6372,0,715720.0,8.735e+18,328.72,,3.1433,-4.9567,0,0,801566.0654427859,1.000192481572555
44,7.3078,1866300.0,0.41227,1112.9,-9.5792,0,712580.0,8.6904e+18,328.31,,3.2164,-4.8836,0,0,801612.0456891537,1.0001751138799169
45,7.2848,1861300.0,0.42027,1130.4,-9.5212,0,709430.0,8.6457e+18,327.89,,3.2895,-4.8105,0,0,801691.7730139164,1.000157402423479
46,7.26,1856000.0,0.4289,1148.8,-8.5115,0,706040.0,8.5975e+18,327.44,,3.3626,-4.7374,0,0,801841.8224106177,1.000138481584116
47,7.2343,1850600.0,0.43773,1167.6,-7.3522,0,702540.0,8.5479e+18,326.98,,3.4357,-4.6643,0,0,802017.9879892962,1.0001191963916547
48,7.2015,1843400.0,0.44801,1188.4,-7.1217,0,698130.0,8.4852e+18,326.4,,3.5088,-4.5912,0,0,801911.1915971645,1.0000949809487472
49,7.1686,1836300.0,0.45847,1209.6,-6.8013,0,693680.0,8.422e+18,325.81,,3.5819,-4.5181,0,0,801920.8770695438,1.0000704722020135
50,7.1355,1829200.0,0.46942,1231.5,-6.2438,0,689140.0,8.3576e+18,325.18,,3.655,-4.445,0,0,802149.8758059602,1.0000444712508751
51,7.1004,1821600.0,0.48057,1253.3,-6.1915,0,684360.0,8.2897e+18,324.52,,3.7281,-4.3719,0,0,802284.476740575,1.000017356423357
52,7.0631,1813400.0,0.49195,1274.9,-6.6737,0,679320.0,8.2182e+18,323.83,,3.8012,-4.2988,0,0,802316.2367940143,0.9999891491231577
53,7.0264,1805300.0,0.50263,1294.5,-6.6306,0,674410.0,8.1484e+18,323.17,,3.8743,-4.2257,0,0,802206.0970888069,0.9999623065023379
54,6.9899,1797200.0,0.51302,1313.1,-6.3592,0,669550.0,8.0794e+18,322.52,,3.9474,-4.1526,0,0,802063.9466202187,0.9999360178935243
55,6.953,1789200.0,0.52417,1333.0,-6.2936,0,664550.0,8.0084e+18,321.81,,4.0205,-4.0795,0,0,802240.033868417,0.9999074723710215
56,6.9153,1781000.0,0.5355,1353.0,-6.2429,0,659450.0,7.9359e+18,321.08,,4.0936,-4.0064,0,0,802470.3531947202,0.9998782844757016
57,6.8719,1771400.0,0.54763,1373.1,-6.1486,0,653660.0,7.8537e+18,320.27,,4.1667,-3.9333,0,0,802393.0110613729,0.9998461069237274
