,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,pi,s
14,0.13187,29464.0,0.20089,9.3181,-0.048029,0,11654.0,-4.1206e+16,297.55,,0.0013793,-0.01914,0,0,11986.567845427446,11986.567845427446,3139.6265680076554
15,0.13183,29455.0,0.20213,9.3721,-0.050655,0,11649.0,-4.1805e+16,297.52,,0.0014778,-0.019042,0,0,11985.569998999528,11985.569998999528,3139.649208211946
16,0.13178,29447.0,0.20372,9.442,-0.05157,0,11643.0,-4.2442e+16,297.49,,0.0015763,-0.018943,0,0,11984.78226410892,11984.78226410892,3139.6974003578966
17,0.13174,29439.0,0.20538,9.5149,-0.052179,0,11638.0,-4.3086e+16,297.45,,0.0016748,-0.018845,0,0,11985.247180364227,11985.247180364227,3139.6851933981206
18,0.13169,29431.0,0.20704,9.5878,-0.052788,0,11633.0,-4.373e+16,297.41,,0.0017734,-0.018746,0,0,11985.812734756926,11985.812734756926,3139.6730224602306
19,0.13165,29423.0,0.20869,9.6606,-0.053396,0,11627.0,-4.4374e+16,297.38,,0.0018719,-0.018648,0,0,11985.321097331309,11985.321097331309,3139.7213863441307
20,0.1316,29415.0,0.21035,9.7335,-0.054005,0,11622.0,-4.5018e+16,297.34,,0.0019704,-0.018549,0,0,11985.98180323946,11985.98180323946,3139.709303267411
21,0.13154,29402.0,0.21253,9.8282,-0.054859,0,11614.0,-4.5973e+16,297.29,,0.0020689,-0.018451,0,0,11985.328976599905,11985.328976599905,3139.7389989272215
22,0.13146,29388.0,0.21484,9.9283,-0.055775,0,11605.0,-4.7007e+16,297.23,,0.0021674,-0.018352,0,0,11984.269117305183,11984.269117305183,3139.7594250894645
23,0.13139,29374.0,0.21715,10.028,-0.05669,0,11596.0,-4.8041e+16,297.17,,0.002266,-0.018254,0,0,11983.210627815368,11983.210627815368,3139.7799875218257
24,0.13132,29360.0,0.21945,10.129,-0.057606,0,11588.0,-4.9075e+16,297.11,,0.0023645,-0.018155,0,0,11983.378245320178,11983.378245320178,3139.7750554166055
25,0.13125,29346.0,0.22176,10.229,-0.058521,0,11579.0,-5.0109e+16,297.05,,0.002463,-0.018057,0,0,11982.52441010603,11982.52441010603,3139.795871247576
26,0.13116,29330.0,0.22434,10.34,-0.059775,0,11569.0,-5.1302e+16,296.98,,0.0025615,-0.017958,0,0,11981.755375323333,11981.755375323333,3139.8074932778195
27,0.13108,29314.0,0.22702,10.455,-0.061143,0,11559.0,-5.2548e+16,296.91,,0.00266,-0.01786,0,0,11981.36399344787,11981.36399344787,3139.8192794600927
28,0.13099,29297.0,0.22969,10.569,-0.06251,0,11548.0,-5.3793e+16,296.84,,0.0027586,-0.017761,0,0,11980.04003430753,11980.04003430753,3139.856947776961
29,0.1309,29280.0,0.23236,10.684,-0.063878,0,11538.0,-5.5039e+16,296.77,,0.0028571,-0.017663,0,0,11979.958861747406,11979.958861747406,3139.8690856234552
30,0.13081,29264.0,0.23504,10.799,-0.065246,0,11527.0,-5.6285e+16,296.7,,0.0029556,-0.017564,0,0,11978.963397425103,11978.963397425103,3139.9071532104995
31,0.13071,29245.0,0.23791,10.921,-0.066927,0,11515.0,-5.7706e+16,296.62,,0.0030541,-0.017466,0,0,11977.740395237559,11977.740395237559,3139.936180477542
32,0.13061,29224.0,0.24088,11.046,-0.068745,0,11503.0,-5.9203e+16,296.53,,0.0031526,-0.017367,0,0,11976.935810014467,11976.935810014467,3139.9303997921534
33,0.1305,29204.0,0.24384,11.171,-0.070563,0,11490.0,-6.07e+16,296.45,,0.0032512,-0.017269,0,0,11975.296879369966,11975.296879369966,3139.985759534125
34,0.1304,29184.0,0.2468,11.296,-0.072381,0,11478.0,-6.2197e+16,296.37,,0.0033497,-0.01717,0,0,11974.774406122102,11974.774406122102,3140.0155470521236
35,0.13029,29163.0,0.24977,11.422,-0.074199,0,11465.0,-6.3693e+16,296.28,,0.0034482,-0.017072,0,0,11973.54421227786,11973.54421227786,3140.0364027925957
36,0.13018,29144.0,0.253,11.558,-0.074548,0,11452.0,-6.5223e+16,296.19,,0.0035467,-0.016973,0,0,11973.384265035495,11973.384265035495,3140.057544466235
37,0.13008,29125.0,0.25639,11.701,-0.074094,0,11439.0,-6.677e+16,296.09,,0.0036452,-0.016874,0,0,11973.988533353724,11973.988533353724,3140.0438659063643
38,0.12998,29106.0,0.25977,11.844,-0.073641,0,11426.0,-6.8317e+16,295.99,,0.0037437,-0.016776,0,0,11974.78737453167,11974.78737453167,3140.030452365923
39,0.12987,29087.0,0.26316,11.987,-0.073187,0,11413.0,-6.9864e+16,295.89,,0.0038423,-0.016677,0,0,11975.869856216563,11975.869856216563,3140.017304638137
40,0.12977,29067.0,0.26654,12.13,-0.072733,0,11400.0,-7.1411e+16,295.79,,0.0039408,-0.016579,0,0,11977.062889894443,11977.062889894443,3140.004423519143
41,0.12964,29043.0,0.2703,12.286,-0.072549,0,11384.0,-7.3293e+16,295.67,,0.0040393,-0.01648,0,0,11976.893774619271,11976.893774619271,3139.9997547411176
42,0.1295,29016.0,0.27432,12.451,-0.072547,0,11367.0,-7.5403e+16,295.54,,0.0041378,-0.016382,0,0,11976.928915005356,11976.928915005356,3139.9864562318185
43,0.12935,28988.0,0.27833,12.616,-0.072545,0,11349.0,-7.7512e+16,295.4,,0.0042363,-0.016283,0,0,11976.304409000235,11976.304409000235,3139.964600465685
44,0.12921,28961.0,0.28235,12.782,-0.072544,0,11331.0,-7.9622e+16,295.27,,0.0043349,-0.016185,0,0,11975.939467529715,11975.939467529715,3139.978463990813
45,0.12907,28933.0,0.28636,12.947,-0.072542,0,11313.0,-8.1732e+16,295.13,,0.0044334,-0.016086,0,0,11975.771416066216,11975.771416066216,3139.957654336562
46,0.12891,28903.0,0.2905,13.115,-0.072952,0,11294.0,-8.4007e+16,294.99,,0.0045319,-0.015988,0,0,11975.35558572884,11975.35558572884,3139.963658630717
47,0.12875,28871.0,0.29474,13.285,-0.073704,0,11274.0,-8.6421e+16,294.84,,0.0046304,-0.015889,0,0,11974.416307613574,11974.416307613574,3139.9613561692404
48,0.12858,28839.0,0.29898,13.455,-0.074457,0,11254.0,-8.8834e+16,294.69,,0.0047289,-0.015791,0,0,11973.89668407634,11973.89668407634,3139.959719332919
