,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,Z
0,1.4111,357030.0,0.085542,45.389,0.51399,0,142520.0,5.9524e+17,340.05,,0.0,13,0.0,0,143251.82735115458,1.0001071181082035
1,1.4111,357030.0,0.08586,45.556,0.56233,0,142510.0,5.9521e+17,340.04,,0.002,13,0.002,0,143247.23691742434,1.0001070419371139
2,1.4112,357030.0,0.086178,45.722,0.61066,0,142510.0,5.9517e+17,340.03,,0.004,13,0.004,0,143252.7183187549,1.0001069735111243
3,1.4112,357030.0,0.086497,45.888,0.659,0,142510.0,5.9514e+17,340.02,,0.006,13,0.006,0,143258.23746934225,1.0001069050761264
4,1.4112,357030.0,0.086815,46.054,0.70734,0,142510.0,5.951e+17,340.01,,0.008,13,0.008,0,143263.75976835474,1.0001068366321189
5,1.4112,357030.0,0.087134,46.221,0.75568,0,142500.0,5.9507e+17,340.0,,0.01,13,0.01,0,143259.26659132203,1.000106760448949
6,1.4112,357030.0,0.087452,46.387,0.80402,0,142500.0,5.9503e+17,339.99,,0.012,13,0.012,0,143264.82940385188,1.0001066919917045
7,1.4112,357030.0,0.087771,46.553,0.85236,0,142500.0,5.95e+17,339.98,,0.014,13,0.014,0,143270.43022654185,1.0001066235254472
8,1.4113,357030.0,0.088089,46.719,0.90069,0,142500.0,5.9496e+17,339.97,,0.016,13,0.016,0,143276.0339472997,1.0001065550501758
9,1.4113,357030.0,0.088408,46.885,0.94903,0,142490.0,5.9493e+17,339.96,,0.018,13,0.018,0,143271.6208786686,1.0001064788549205
10,1.4113,357030.0,0.088726,47.052,0.99737,0,142490.0,5.9489e+17,339.95,,0.02,13,0.02,0,143277.2651178401,1.0001064103664057
11,1.4113,357030.0,0.089044,47.218,1.0457,0,142490.0,5.9486e+17,339.94,,0.022,13,0.022,0,143282.92978329334,1.0001063418688731
12,1.4113,357030.0,0.089363,47.384,1.094,0,142490.0,5.9482e+17,339.93,,0.024,13,0.024,0,143288.6327866699,1.000106273362322
13,1.4114,357030.0,0.089681,47.55,1.1424,0,142480.0,5.9479e+17,339.92,,0.026,13,0.026,0,143284.28184697643,1.000106197154976
14,1.4114,357040.0,0.09,47.716,1.1907,0,142480.0,5.9475e+17,339.91,,0.028,13,0.028,0,143290.0255014314,1.0001061286351751
15,1.4114,357040.0,0.090318,47.883,1.2391,0,142480.0,5.9471e+17,339.9,,0.03,13,0.03,0,143295.77161532998,1.0001060601063523
16,1.4114,357040.0,0.090637,48.049,1.2874,0,142480.0,5.9468e+17,339.89,,0.032,13,0.032,0,143301.55632869617,1.000105991568506
17,1.4114,357040.0,0.090955,48.215,1.3357,0,142470.0,5.9464e+17,339.88,,0.034,13,0.034,0,143297.28522715194,1.0001059153490637
18,1.4114,357040.0,0.091274,48.381,1.3841,0,142470.0,5.9461e+17,339.87,,0.036,13,0.036,0,143303.11059734286,1.000105846797961
19,1.4115,357040.0,0.091592,48.548,1.4324,0,142470.0,5.9457e+17,339.86,,0.038,13,0.038,0,143308.9381758698,1.000105778237832
20,1.4115,357040.0,0.09191,48.714,1.4807,0,142470.0,5.9454e+17,339.85,,0.04,13,0.04,0,143314.78619448724,1.0001057096686752
21,1.4115,357040.0,0.092229,48.88,1.5291,0,142460.0,5.945e+17,339.84,,0.042,13,0.042,0,143310.61334710906,1.000105633437131
22,1.4115,357040.0,0.092547,49.046,1.5774,0,142460.0,5.9447e+17,339.83,,0.044,13,0.044,0,143316.50190043953,1.0001055648547112
23,1.4115,357040.0,0.092866,49.212,1.6258,0,142460.0,5.9443e+17,339.82,,0.046,13,0.046,0,143322.42951047223,1.0001054962632605
24,1.4116,357040.0,0.093184,49.379,1.6741,0,142460.0,5.944e+17,339.81,,0.048,13,0.048,0,143328.3590164794,1.0001054276627772
25,1.4116,357040.0,0.093503,49.545,1.7224,0,142450.0,5.9436e+17,339.8,,0.05,13,0.05,0,143324.26625215128,1.000105351419126
26,1.4116,357040.0,0.093821,49.711,1.7708,0,142450.0,5.9433e+17,339.79,,0.052,13,0.052,0,143330.23629869695,1.0001052828053734
27,1.4116,357040.0,0.094139,49.877,1.8191,0,142450.0,5.9429e+17,339.78,,0.054,13,0.054,0,143336.22679435235,1.0001052141825852
28,1.4116,357040.0,0.094458,50.044,1.8675,0,142450.0,5.9426e+17,339.77,,0.056,13,0.056,0,143342.25667554213,1.0001051455507601
29,1.4116,357040.0,0.094776,50.21,1.9158,0,142440.0,5.9422e+17,339.76,,0.058,13,0.058,0,143338.22499122107,1.0001050692949962
30,1.4117,357040.0,0.095095,50.376,1.9641,0,142440.0,5.9418e+17,339.74,,0.06,13,0.06,0,143344.29569176413,1.000104931995754
31,1.4117,357040.0,0.095413,50.542,2.0125,0,142440.0,5.9415e+17,339.73,,0.062,13,0.062,0,143350.36770535805,1.0001048633325713
32,1.4117,357040.0,0.095732,50.708,2.0608,0,142440.0,5.9411e+17,339.72,,0.064,13,0.064,0,143356.47936709106,1.000104794660346
33,1.4117,357040.0,0.09605,50.875,2.1091,0,142440.0,5.9408e+17,339.71,,0.066,13,0.066,0,143362.59236108523,1.000104725979077
34,1.4117,357040.0,0.096369,51.041,2.1575,0,142430.0,5.9404e+17,339.7,,0.068,13,0.068,0,143358.67984126802,1.0001046497027144
35,1.4118,357050.0,0.096687,51.207,2.2058,0,142430.0,5.9401e+17,339.69,,0.07,13,0.07,0,143364.8333906412,1.0001045810081588
36,1.4118,357050.0,0.097005,51.373,2.2542,0,142430.0,5.9397e+17,339.68,,0.072,13,0.072,0,143371.0074027896,1.0001045123045558
37,1.4118,357050.0,0.097324,51.539,2.3025,0,142430.0,5.9394e+17,339.67,,0.074,13,0.074,0,143377.2213913274,1.0001044435919044
38,1.4118,357050.0,0.097642,51.706,2.3508,0,142420.0,5.939e+17,339.66,,0.076,13,0.076,0,143373.36936507432,1.0001043673034145
39,1.4118,357050.0,0.097961,51.872,2.3992,0,142420.0,5.9387e+17,339.65,,0.078,13,0.078,0,143379.6240428478,1.00010429857747
40,1.4118,357050.0,0.098279,52.038,2.4475,0,142420.0,5.9383e+17,339.64,,0.08,13,0.08,0,143385.87961505778,1.0001042298424738
41,1.4119,357050.0,0.098598,52.204,2.4958,0,142420.0,5.938e+17,339.63,,0.082,13,0.082,0,143392.17542631712,1.0001041610984245
42,1.4119,357050.0,0.098916,52.371,2.5442,0,142410.0,5.9376e+17,339.62,,0.084,13,0.084,0,143388.40320745183,1.0001040847978013
43,1.4119,357050.0,0.099235,52.537,2.5925,0,142410.0,5.9373e+17,339.61,,0.086,13,0.086,0,143394.73971462087,1.0001040160404526
44,1.4119,357050.0,0.099553,52.703,2.6409,0,142410.0,5.9369e+17,339.6,,0.088,13,0.088,0,143401.07686611763,1.0001039472740474
45,1.4119,357050.0,0.099871,52.869,2.6892,0,142410.0,5.9365e+17,339.59,,0.09,13,0.09,0,143407.43449499397,1.0001038784985845
46,1.412,357050.0,0.10019,53.035,2.7375,0,142400.0,5.9362e+17,339.58,,0.092,13,0.092,0,143403.76210402805,1.000103802185823
47,1.412,357050.0,0.10051,53.202,2.7859,0,142400.0,5.9358e+17,339.57,,0.094,13,0.094,0,143410.20061186605,1.0001037333970542
48,1.412,357050.0,0.10083,53.368,2.8342,0,142400.0,5.9355e+17,339.56,,0.096,13,0.096,0,143416.65986007312,1.0001036645992243
49,1.412,357050.0,0.10115,53.534,2.8826,0,142400.0,5.9351e+17,339.55,,0.098,13,0.098,0,143423.13985064262,1.0001035957923323
50,1.412,357050.0,0.10146,53.7,2.9309,0,142390.0,5.9348e+17,339.54,,0.1,13,0.1,0,143419.3647350136,1.0001035194674266
51,1.412,357050.0,0.10178,53.866,2.9792,0,142390.0,5.9344e+17,339.53,,0.102,13,0.102,0,143425.88510883984,1.0001034506472222
52,1.4121,357050.0,0.1021,54.033,3.0276,0,142390.0,5.9341e+17,339.52,,0.104,13,0.104,0,143432.42622967367,1.000103381817952
53,1.4121,357050.0,0.10242,54.199,3.0759,0,142390.0,5.9337e+17,339.51,,0.106,13,0.106,0,143438.98809908886,1.0001033129796153
54,1.4121,357050.0,0.10274,54.365,3.1242,0,142380.0,5.9334e+17,339.5,,0.108,13,0.108,0,143435.49648279964,1.0001032366425602
55,1.4121,357050.0,0.10306,54.531,3.1726,0,142380.0,5.933e+17,339.49,,0.11,13,0.11,0,143442.09939135457,1.000103167790904
56,1.4121,357060.0,0.10337,54.698,3.2209,0,142380.0,5.9327e+17,339.48,,0.112,13,0.112,0,143448.5157550345,1.0001030989301782
57,1.4122,357060.0,0.10369,54.864,3.2693,0,142380.0,5.9323e+17,339.47,,0.114,13,0.114,0,143455.1595234659,1.0001030300603808
58,1.4122,357060.0,0.10401,55.03,3.3176,0,142370.0,5.932e+17,339.46,,0.116,13,0.116,0,143451.74796158276,1.0001029537111708
