"Mach","P","tp","Points:0","Points:1","Points:2"
1.7211,0.19622,0.60258,0.19335,0,0
1.7439,0.18947,0.59251,0.2046,0,0
1.7649,0.18348,0.58329,0.21585,0,0
1.7845,0.1781,0.57476,0.22709,0,0
1.8042,0.17273,0.56623,0.23834,0,0
1.8202,0.16857,0.55931,0.24958,0,0
1.8357,0.16457,0.55258,0.26083,0,0
1.8506,0.16077,0.54614,0.27208,0,0
1.8634,0.15765,0.5407,0.28332,0,0
1.8762,0.15454,0.53526,0.29457,0,0
1.8883,0.15168,0.53019,0.30582,0,0
1.8998,0.14901,0.52539,0.31706,0,0
1.9114,0.14635,0.52059,0.32831,0,0
1.9219,0.14399,0.51619,0.33955,0,0
1.9323,0.14166,0.51183,0.3508,0,0
1.9419,0.13954,0.50788,0.36205,0,0
1.9491,0.13807,0.50519,0.37329,0,0
1.9563,0.1366,0.50251,0.38454,0,0
1.96,0.13576,0.50084,0.39578,0,0
1.9612,0.13539,0.49989,0.40703,0,0
1.9623,0.13501,0.49894,0.41828,0,0
1.9603,0.13544,0.49973,0.42952,0,0
1.9579,0.13593,0.50068,0.44077,0,0
1.9543,0.1367,0.50213,0.45202,0,0
1.9469,0.13826,0.50505,0.46326,0,0
1.9395,0.13982,0.50797,0.47451,0,0
1.9287,0.14218,0.5123,0.48575,0,0
1.9155,0.14508,0.51756,0.497,0,0
1.9023,0.14798,0.52283,0.50825,0,0
1.8871,0.15152,0.52906,0.51949,0,0
1.8718,0.15511,0.53535,0.53074,0,0
1.8572,0.15857,0.54136,0.54198,0,0
1.8446,0.16168,0.54662,0.55323,0,0
1.832,0.16479,0.55188,0.56448,0,0
1.8268,0.16623,0.55457,0.57572,0,0
1.8264,0.16661,0.55563,0.58697,0,0
1.8259,0.16699,0.55668,0.59822,0,0
1.8294,0.1661,0.5552,0.60946,0,0
1.8331,0.16514,0.55358,0.62071,0,0
1.8389,0.16368,0.55108,0.63195,0,0
1.85,0.16094,0.54638,0.6432,0,0
1.8611,0.1582,0.54169,0.65445,0,0
1.8764,0.15455,0.53523,0.66569,0,0
1.8943,0.15035,0.5277,0.67694,0,0
1.9121,0.14615,0.52018,0.68818,0,0
1.9345,0.14128,0.51097,0.69943,0,0
1.9571,0.13638,0.50169,0.71068,0,0
1.9802,0.13149,0.49224,0.72192,0,0
2.0046,0.12665,0.4824,0.73317,0,0
2.029,0.1218,0.47256,0.74442,0,0
2.0535,0.11723,0.46293,0.75566,0,0
2.0779,0.11283,0.45343,0.76691,0,0
2.1024,0.10843,0.44392,0.77815,0,0
2.126,0.10459,0.43511,0.7894,0,0
2.1495,0.10076,0.42633,0.80065,0,0
2.1727,0.097088,0.41778,0.81189,0,0
