,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum:0,Momentum:1,Momentum:2,Omega,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient:0,Skin_Friction_Coefficient:1,Skin_Friction_Coefficient:2,Temperature,Turb_Kin_Energy,Y_Plus,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,pi,s,ht,Z
0,7.7671,0.00018503,1952600.0,0,1.9988e-05,0.24085,696.25,0.90619,0,89681.0,768530.0,-56193.0,0,0,0,333.15,2.1365,0,,0.0,-8.1,0,0,800417.8161053937,800417.8161053937,6345.994182774314,348618.0025965096,1.000395640352038
1,7.7648,0.0001828,1951900.0,0,1.9986e-05,0.24166,698.33,0.38666,0,77923.0,768200.0,-56780.0,0,0,0,333.11,1.8537,0,,0.0731,-8.0269,0,0,800291.9244869499,800291.9244869499,6345.997294473578,348603.30715257995,1.0003938347432588
2,7.7624,0.00018057,1951300.0,0,1.9984e-05,0.24247,700.42,-0.13287,0,66165.0,767870.0,-57367.0,0,0,0,333.07,1.571,0,,0.1462,-7.9538,0,0,800166.6181288833,800166.6181288833,6346.000446628034,348588.6967030302,1.0003920296622677
3,7.7601,0.00017833,1950700.0,0,1.9982e-05,0.24328,702.5,-0.6524,0,54407.0,767550.0,-57955.0,0,0,0,333.03,1.2882,0,,0.2193,-7.8807,0,0,800052.3232828403,800052.3232828403,6345.99971959298,348574.15459675965,1.0003902315430193
4,7.7577,0.0001761,1950000.0,0,1.998e-05,0.24409,704.59,-1.1719,0,42648.0,767220.0,-58542.0,0,0,0,332.99,1.0055,0,,0.2924,-7.8076,0,0,799928.1886472021,799928.1886472021,6346.002951110584,348559.71403175837,1.0003884274979693
5,7.7554,0.00017386,1949400.0,0,1.9978e-05,0.2449,706.67,-1.6915,0,30890.0,766890.0,-59130.0,0,0,0,332.94,0.72271,0,,0.3655,-7.7345,0,0,799804.6460454166,799804.6460454166,6345.9746809057815,348534.7303756128,1.000386225863659
6,7.7531,0.00017163,1948800.0,0,1.9976e-05,0.24571,708.76,-2.211,0,19132.0,766560.0,-59717.0,0,0,0,332.9,0.43996,0,,0.4386,-7.6614,0,0,799681.6780200391,799681.6780200391,6345.97798992832,348520.4587523691,1.0003844228335912
7,7.7504,0.00016952,1948100.0,0,1.9974e-05,0.24668,711.25,-2.7271,0,9224.9,766190.0,-60369.0,0,0,0,332.86,0.20195,0,,0.5117,-7.5883,0,0,799561.4703489142,799561.4703489142,6345.9970455882285,348511.8366011995,1.000382594966002
8,7.7463,0.00016802,1947200.0,0,1.9971e-05,0.24839,715.71,-3.2263,0,8342.2,765650.0,-61333.0,0,0,0,332.8,0.18202,0,,0.5848,-7.5152,0,0,799468.8888336914,799468.8888336914,6346.019838148083,348507.92934271815,1.0003798639501467
9,7.7422,0.00016653,1946300.0,0,1.9969e-05,0.25009,720.17,-3.7256,0,7459.6,765110.0,-62297.0,0,0,0,332.74,0.16208,0,,0.6579,-7.4421,0,0,799376.3068237911,799376.3068237911,6346.042746285519,348504.05967056536,1.0003771344244432
