,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum:0,Momentum:1,Momentum:2,Omega,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient:0,Skin_Friction_Coefficient:1,Skin_Friction_Coefficient:2,Temperature,Turb_Kin_Energy,Y_Plus,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,pi,s,ht,Z
319,1.4547,0.3992,360840.0,0,1.9904e-05,0.16714,90.259,-3.9274,0,336.86,143150.0,-1172900.0,0,0,0,331.31,98.248,0,,23.319,15.219,0,0,145971.13090263872,145971.13090263872,6842.3382024257035,345654.2927465718,1.0000439422341727
320,1.4707,0.44957,365080.0,0,1.9914e-05,0.1683,91.862,-4.32,0,351.95,144820.0,-1170000.0,0,0,0,331.52,111.33,0,,23.392,15.292,0,0,147714.11639006305,147714.11639006305,6839.547166090614,345898.3223559866,1.0000461345310574
321,1.4867,0.49994,369330.0,0,1.9924e-05,0.16946,93.466,-4.7127,0,367.05,146480.0,-1167000.0,0,0,0,331.74,124.41,0,,23.465,15.365,0,0,149448.11181247534,149448.11181247534,6836.846948377381,346153.0827440522,1.000048435739461
322,1.4954,0.55297,371750.0,0,1.9927e-05,0.17318,96.122,-5.0396,0,376.88,147370.0,-1165400.0,0,0,0,331.81,140.55,0,,23.538,15.438,0,0,150489.70610007897,150489.70610007897,6835.264190978575,346312.87189780694,1.0000493057700934
323,1.501,0.60717,373360.0,0,1.9927e-05,0.17804,99.244,-5.3375,0,384.37,147920.0,-1164400.0,0,0,0,331.81,158.03,0,,23.611,15.511,0,0,151230.99573779633,151230.99573779633,6834.155596262286,346429.6968362137,1.0000495042275517
324,1.5065,0.66137,374970.0,0,1.9928e-05,0.1829,102.37,-5.6353,0,391.86,148470.0,-1163400.0,0,0,0,331.82,175.52,0,,23.684,15.584,0,0,151978.7719035533,151978.7719035533,6833.082519316645,346560.27573426685,1.0000497822573906
325,1.5121,0.71556,376580.0,0,1.9928e-05,0.18777,105.49,-5.9332,0,399.35,149020.0,-1162500.0,0,0,0,331.83,193.0,0,,23.757,15.657,0,0,152733.50458002888,152733.50458002888,6832.013514931775,346694.38223163737,1.0000500609706255
326,1.5176,0.76976,378190.0,0,1.9928e-05,0.19263,108.61,-6.231,0,406.85,149570.0,-1161500.0,0,0,0,331.84,210.49,0,,23.831,15.731,0,0,153494.47905369214,153494.47905369214,6830.948553097432,346831.5051394733,1.0000503403671168
327,1.5232,0.82396,379800.0,0,1.9929e-05,0.19749,111.73,-6.5289,0,414.34,150120.0,-1160500.0,0,0,0,331.84,227.97,0,,23.904,15.804,0,0,154262.15447270128,154262.15447270128,6829.856191980624,346961.39232275286,1.0000505401338982
328,1.5287,0.87816,381410.0,0,1.9929e-05,0.20235,114.86,-6.8267,0,421.83,150670.0,-1159500.0,0,0,0,331.85,245.46,0,,23.977,15.877,0,0,155036.60189745104,155036.60189745104,6828.799227264009,347105.04982025776,1.0000508206140388
