,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum:0,Momentum:1,Momentum:2,Omega,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient:0,Skin_Friction_Coefficient:1,Skin_Friction_Coefficient:2,Temperature,Turb_Kin_Energy,Y_Plus,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,pi,s,ht,Z
0,7.7752,0.0001851,1954300.0,0,1.9994e-05,0.23633,684.06,0.92759,0,87184.0,769670.0,-54155.0,0,0,0,333.3,2.0755,0,,0.0,-8.1,0,0,800188.6779558591,800188.6779558591,6346.02098293946,348598.377346829,1.0004023519398653
1,7.7729,0.00018286,1953700.0,0,1.9992e-05,0.23714,686.16,0.39641,0,75757.0,769340.0,-54742.0,0,0,0,333.26,1.8009,0,,0.0731,-8.0269,0,0,800058.0347437145,800058.0347437145,6346.023959595351,348583.0383134864,1.0004005445662563
2,7.7705,0.00018063,1953000.0,0,1.999e-05,0.23796,688.25,-0.13478,0,64330.0,769020.0,-55330.0,0,0,0,333.22,1.5263,0,,0.1462,-7.9538,0,0,799941.0136279461,799941.0136279461,6346.0230643327795,348568.0967321773,1.000398744253179
3,7.7682,0.00017839,1952400.0,0,1.9988e-05,0.23877,690.35,-0.66596,0,52903.0,768690.0,-55918.0,0,0,0,333.18,1.2517,0,,0.2193,-7.8807,0,0,799811.5511645492,799811.5511645492,6346.0261199709175,348552.92835019284,1.0003969379098994
4,7.7658,0.00017616,1951800.0,0,1.9987e-05,0.23958,692.44,-1.1971,0,41476.0,768360.0,-56506.0,0,0,0,333.13,0.97711,0,,0.2924,-7.8076,0,0,799682.6851891845,799682.6851891845,6345.997691337733,348527.2234058062,1.0003947342382113
5,7.7635,0.00017392,1951100.0,0,1.9985e-05,0.24039,694.53,-1.7283,0,30048.0,768030.0,-57093.0,0,0,0,333.09,0.70251,0,,0.3655,-7.7345,0,0,799554.390185876,799554.390185876,6346.000824096659,348512.2236850271,1.0003929289039837
6,7.7611,0.00017168,1950500.0,0,1.9983e-05,0.2412,696.63,-2.2595,0,18621.0,767700.0,-57681.0,0,0,0,333.05,0.4279,0,,0.4386,-7.6614,0,0,799426.6780308106,799426.6780308106,6346.0039973333805,348497.30863387446,1.0003911240978607
7,7.7585,0.00016957,1949800.0,0,1.9981e-05,0.24217,699.13,-2.7884,0,8992.6,767330.0,-58331.0,0,0,0,333.01,0.19673,0,,0.5117,-7.5883,0,0,799300.7286712745,799300.7286712745,6346.0228938071095,348487.9098875063,1.000389294130546
8,7.7544,0.00016808,1948900.0,0,1.9978e-05,0.24388,703.62,-3.3058,0,8131.7,766800.0,-59286.0,0,0,0,332.95,0.17729,0,,0.5848,-7.5152,0,0,799208.1849598817,799208.1849598817,6346.04153245528,348482.6043181641,1.0003865664709242
9,7.7503,0.00016658,1948000.0,0,1.9976e-05,0.24559,708.1,-3.8233,0,7270.8,766270.0,-60241.0,0,0,0,332.89,0.15786,0,,0.6579,-7.4421,0,0,799118.4284496029,799118.4284496029,6346.06028081895,348477.68343410204,1.0003838402309948
