X/D, Pi/P0
0.03507040609514078, 0.9314487632508832
0.1173081208416904, 0.87208480565371
0.2109530024724373, 0.7773851590106005
0.272604760237269, 0.7349823321554768
0.3187639936756548, 0.7053003533568902
0.39458186101295656, 0.6855123674911658
0.453686902450154, 0.7109540636042402
0.5278600154925246, 0.7349823321554768
0.6642154522013182, 0.7024734982332154
0.6658602064962493, 0.6586572438162542
0.7276180774413992, 0.6134275618374556
0.7892167786160722, 0.5724381625441695
0.9113530491622366, 0.5187279151943461
0.9878606521716065, 0.48056537102473484
1.0947696813421195, 0.43250883392226136
1.1567928352380652, 0.3802120141342755
1.2940502339795632, 0.32367491166077733
1.4158151083946144, 0.2798586572438162
1.5820414053629603, 0.251590106007067
1.943250671165866, 0.22897526501766774
2.423784208236505, 0.22756183745583036
2.9642716921868875, 0.22897526501766774
3.4458133044705477, 0.20070671378091864
3.926665181082142, 0.19081272084805634
4.407145661562623, 0.19081272084805634
4.932458960727512, 0.19646643109540618
5.262789291057843, 0.19646643109540618
5.773140631797877, 0.20070671378091864
6.043941467969737, 0.1865724381625441
6.629314827194686, 0.19222614840989383
7.094674179479834, 0.1950530035335688
7.6199344220545635, 0.20212014134275602
8.190611105805452, 0.19929328621908116
8.626099597831047, 0.19787985865724367
9.076125595560224, 0.20918727915194335
9.706809282781013, 0.20777385159010597
10.2923948683666, 0.20777385159010597
10.74284531881705, 0.20777385159010597
11.25335582932756, 0.20777385159010597
11.883880346777872, 0.21060070671378084
12.379375842273369, 0.21060070671378084
12.920075552584386, 0.20636042402826849
13.490752236335279, 0.2035335689045935
13.956429928161377, 0.19787985865724367
14.37679729199164, 0.19929328621908116
14.70712762232197, 0.19929328621908116
14.91733783253218, 0.19929328621908116
