,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,pi,s,ht,Z
0,7.7527,1963600.0,0.24138,699.1,0.599,0,772830.0,9.546e+18,335.64,,0.0,-8.1,0,0,805038.894355908,805038.894355908,6352.135676436638,351274.205975056,1.0004964107514143
1,7.7507,1963100.0,0.24215,701.1,0.15923,0,772560.0,9.5422e+18,335.61,,0.0731,-8.0269,0,0,804966.3319056601,804966.3319056601,6352.146916654938,351268.9316624007,1.0004950406321504
2,7.7488,1962600.0,0.24291,703.09,-0.28054,0,772290.0,9.5384e+18,335.57,,0.1462,-7.9538,0,0,804891.6107542863,804891.6107542863,6352.126890914022,351252.7690496269,1.0004932838307374
3,7.7469,1962100.0,0.24367,705.09,-0.7203,0,772020.0,9.5345e+18,335.54,,0.2193,-7.8807,0,0,804817.4209311194,804817.4209311194,6352.138185168958,351247.3078259289,1.0004919144020528
4,7.745,1961700.0,0.24444,707.09,-1.1601,0,771750.0,9.5307e+18,335.51,,0.2924,-7.8076,0,0,804746.5105120145,804746.5105120145,6352.149507842286,351242.2664559206,1.0004905453301995
5,7.743,1961200.0,0.2452,709.09,-1.5998,0,771480.0,9.5269e+18,335.47,,0.3655,-7.7345,0,0,804673.4161557109,804673.4161557109,6352.129555496277,351226.3313187941,1.0004887894593137
6,7.7411,1960700.0,0.24597,711.09,-2.0396,0,771210.0,9.523e+18,335.44,,0.4386,-7.6614,0,0,804603.6080111046,804603.6080111046,6352.140932347961,351221.4452139433,1.0004874210800179
7,7.739,1960200.0,0.24686,713.44,-2.4697,0,770920.0,9.5188e+18,335.4,,0.5117,-7.5883,0,0,804546.6649651164,804546.6649651164,6352.128831469242,351210.199553976,1.0004856505452102
8,7.7359,1959500.0,0.2484,717.52,-2.8525,0,770490.0,9.5128e+18,335.35,,0.5848,-7.5152,0,0,804524.8940069055,804524.8940069055,6352.14009554961,351211.2952335287,1.000483386530202
9,7.7329,1958800.0,0.24993,721.6,-3.2353,0,770070.0,9.5068e+18,335.3,,0.6579,-7.4421,0,0,804513.1122411017,804513.1122411017,6352.147523887203,351212.3405969513,1.0004811309852142
10,7.7298,1958200.0,0.25147,725.69,-3.6182,0,769640.0,9.5007e+18,335.25,,0.731,-7.369,0,0,804496.0035581677,804496.0035581677,6352.158926777615,351214.067706364,1.0004788687283201
11,7.7267,1957500.0,0.253,729.77,-4.001,0,769210.0,9.4947e+18,335.19,,0.8041,-7.2959,0,0,804478.4057953057,804478.4057953057,6352.13907124371,351205.12039809517,1.000476219882192
12,7.7237,1956800.0,0.25454,733.85,-4.3838,0,768790.0,9.4886e+18,335.14,,0.8772,-7.2228,0,0,804476.4150508656,804476.4150508656,6352.146698271194,351207.46041319263,1.0004739668637899
13,7.7206,1956200.0,0.25607,737.93,-4.7667,0,768360.0,9.4826e+18,335.09,,0.9503,-7.1497,0,0,804463.4271854694,804463.4271854694,6352.1583066097455,351209.7737068267,1.0004717072207159
14,7.7162,1955200.0,0.25793,742.8,-5.0995,0,767770.0,9.4742e+18,335.02,,1.0234,-7.0766,0,0,804380.2516387998,804380.2516387998,6352.169976045985,351203.30914272554,1.0004685541479323
15,7.7087,1953500.0,0.26054,749.45,-5.3182,0,766810.0,9.4605e+18,334.93,,1.0965,-7.0035,0,0,804130.5085139935,804130.5085139935,6352.264177464164,351203.9792578266,1.0004643539094984
16,7.7012,1951700.0,0.26314,756.1,-5.5369,0,765840.0,9.4468e+18,334.83,,1.1696,-6.9304,0,0,803873.546296085,803873.546296085,6352.331339625084,351194.55385079276,1.000459763353026
17,7.6937,1950000.0,0.26575,762.75,-5.7556,0,764880.0,9.4331e+18,334.73,,1.2427,-6.8573,0,0,803636.1851484252,803636.1851484252,6352.394957944828,351186.37468021084,1.0004551848567977
18,7.6859,1948300.0,0.26892,770.92,-5.9442,0,763840.0,9.4183e+18,334.62,,1.3158,-6.7842,0,0,803488.7644864342,803488.7644864342,6352.459076400652,351189.64429692307,1.0004501654786033
19,7.6779,1946500.0,0.27219,779.35,-6.1276,0,762780.0,9.4034e+18,334.5,,1.3889,-6.7111,0,0,803360.0550232003,803360.0550232003,6352.500133408199,351187.4296289324,1.0004447494183497
20,7.67,1944800.0,0.27547,787.79,-6.311,0,761730.0,9.3884e+18,334.39,,1.462,-6.638,0,0,803254.9812925546,803254.9812925546,6352.569090776538,351197.65185218316,1.0004397340295323
21,7.6617,1943000.0,0.27899,796.85,-6.4906,0,760610.0,9.3725e+18,334.26,,1.5351,-6.5649,0,0,803160.6816607112,803160.6816607112,6352.603359004384,351197.44777794497,1.000433899029361
22,7.6527,1941000.0,0.28289,806.84,-6.6645,0,759380.0,9.3551e+18,334.11,,1.6082,-6.4918,0,0,803081.326572619,803081.326572619,6352.61883287826,351192.73791135853,1.0004272174065765
23,7.6436,1939100.0,0.28679,816.82,-6.8385,0,758160.0,9.3377e+18,333.97,,1.6813,-6.4187,0,0,803026.8307061425,803026.8307061425,6352.662359708191,351200.67296322697,1.0004209383636407
24,7.6346,1937100.0,0.2907,826.81,-7.0124,0,756930.0,9.3203e+18,333.82,,1.7544,-6.3456,0,0,802979.242501882,802979.242501882,6352.679000530761,351200.34688550583,1.00041427157875
25,7.624,1934800.0,0.29518,838.14,-7.1595,0,755480.0,9.2997e+18,333.65,,1.8275,-6.2725,0,0,802899.0181960389,802899.0181960389,6352.720859425927,351204.4836658629,1.0004066873203958
26,7.6132,1932500.0,0.29972,849.59,-7.3043,0,754010.0,9.2788e+18,333.47,,1.9006,-6.1994,0,0,802836.0394760219,802836.0394760219,6352.740045737638,351203.0878101232,1.000398711639841
27,7.6024,1930100.0,0.30426,861.03,-7.449,0,752540.0,9.2579e+18,333.29,,1.9737,-6.1263,0,0,802792.0602108202,802792.0602108202,6352.760070878646,351204.36266321974,1.0003907466489799
28,7.5908,1927600.0,0.30907,873.05,-7.5655,0,750960.0,9.2354e+18,333.1,,2.0468,-6.0532,0,0,802741.9879211192,802741.9879211192,6352.793470601516,351209.412783061,1.0003823326541357
29,7.5783,1924900.0,0.31423,885.83,-7.6453,0,749240.0,9.2111e+18,332.89,,2.1199,-5.9801,0,0,802684.9125840699,802684.9125840699,6352.820975633858,351211.5813942528,1.0003730642322748
30,7.5657,1922200.0,0.31939,898.6,-7.7251,0,747530.0,9.1867e+18,332.67,,2.193,-5.907,0,0,802662.6827856678,802662.6827856678,6352.8140655862135,351206.442562332,1.0003634272420792
31,7.5532,1919500.0,0.32454,911.38,-7.8049,0,745810.0,9.1623e+18,332.46,,2.2661,-5.8339,0,0,802650.1348455069,802650.1348455069,6352.84388698918,351214.99122283014,1.0003541884073568
32,7.5394,1916600.0,0.33023,925.24,-7.7803,0,743900.0,9.1352e+18,332.21,,2.3392,-5.7608,0,0,802653.5742623556,802653.5742623556,6352.825287718889,351209.10840197373,1.000343291096931
33,7.5255,1913600.0,0.33596,939.19,-7.7479,0,741980.0,9.1079e+18,331.97,,2.4123,-5.6877,0,0,802689.9552891896,802689.9552891896,6352.843760771705,351219.9511259179,1.0003327963178772
34,7.5117,1910600.0,0.34169,953.14,-7.7156,0,740050.0,9.0805e+18,331.72,,2.4854,-5.6146,0,0,802744.7390519045,802744.7390519045,6352.836116150977,351224.2378371741,1.0003219238888392
35,7.4964,1907300.0,0.34767,967.48,-7.4401,0,737950.0,9.0507e+18,331.45,,2.5585,-5.5415,0,0,802739.5509183567,802739.5509183567,6352.835849562409,351223.4955663384,1.0003101939867185
36,7.4791,1903600.0,0.35397,982.32,-6.8377,0,735620.0,9.0176e+18,331.17,,2.6316,-5.4684,0,0,802639.196516077,802639.196516077,6352.899639870985,351232.5470899839,1.0002979716447626
37,7.4609,1899700.0,0.36099,998.87,-6.5227,0,733130.0,8.9822e+18,330.85,,2.7047,-5.3953,0,0,802683.2439969758,802683.2439969758,6352.904407296328,351239.7000285095,1.000284128362845
38,7.4423,1895800.0,0.36837,1016.3,-6.3528,0,730550.0,8.9456e+18,330.51,,2.7778,-5.3222,0,0,802816.430724333,802816.430724333,6352.885188413279,351249.9064026105,1.0002694877821137
39,7.4184,1890500.0,0.37664,1035.1,-6.3596,0,727320.0,8.8998e+18,330.11,,2.8509,-5.2491,0,0,802646.8895980635,802646.8895980635,6352.946462515352,351249.41246420116,1.0002522142196344
40,7.3944,1885300.0,0.38496,1053.9,-6.3675,0,724070.0,8.8537e+18,329.7,,2.924,-5.176,0,0,802531.2964997903,802531.2964997903,6352.988599315482,351249.19540746167,1.000234594991776
41,7.3731,1880700.0,0.39292,1071.9,-6.2658,0,721120.0,8.8117e+18,329.3,,2.9971,-5.1029,0,0,802649.920594654,802649.920594654,6352.94192776647,351248.2534793386,1.0002175559591853
42,7.3506,1875900.0,0.40106,1090.1,-6.2096,0,718010.0,8.7676e+18,328.89,,3.0702,-5.0298,0,0,802720.2914464424,802720.2914464424,6352.933835484267,351254.34721875493,1.0002001024647467
43,7.3261,1870500.0,0.40948,1108.6,-6.2278,0,714650.0,8.7199e+18,328.45,,3.1433,-4.9567,0,0,802687.8340865166,802687.8340865166,6352.939064986193,351252.0450196189,1.0001814211049551
44,7.3006,1865000.0,0.4181,1127.2,-6.199,0,711190.0,8.6706e+18,327.99,,3.2164,-4.8836,0,0,802688.245357258,802688.245357258,6352.927341946872,351248.1159955341,1.000161975515447
45,7.2747,1859400.0,0.42684,1145.9,-6.1393,0,707650.0,8.6204e+18,327.53,,3.2895,-4.8105,0,0,802710.0442753694,802710.0442753694,6352.954673964569,351260.1358583277,1.0001425690913257
46,7.2473,1853400.0,0.43583,1164.6,-6.0901,0,703930.0,8.5676e+18,327.04,,3.3626,-4.7374,0,0,802702.1279987121,802702.1279987121,6352.968070085674,351263.69019492465,1.0001219903609146
47,7.2196,1847400.0,0.44488,1183.5,-6.0439,0,700170.0,8.5142e+18,326.54,,3.4357,-4.6643,0,0,802736.1279166123,802736.1279166123,6352.972553779458,351269.48460088304,1.000101082533089
48,7.1911,1841300.0,0.45425,1202.6,-6.0155,0,696280.0,8.4589e+18,326.01,,3.5088,-4.5912,0,0,802836.643284125,802836.643284125,6352.94281601025,351272.0143261754,1.0000790318450983
49,7.1615,1834900.0,0.46382,1221.9,-5.7386,0,692250.0,8.4017e+18,325.46,,3.5819,-4.5181,0,0,802937.4776231355,802937.4776231355,6352.916012316372,351275.57892950485,1.0000562418738688
50,7.1283,1827600.0,0.47397,1241.7,-5.1919,0,687790.0,8.3384e+18,324.87,,3.655,-4.445,0,0,802896.6592615948,802896.6592615948,6352.95511755414,351283.73122631613,1.0000318752331618
51,7.0949,1820400.0,0.48418,1261.4,-5.0908,0,683300.0,8.2747e+18,324.27,,3.7281,-4.3719,0,0,802919.4870332903,802919.4870332903,6352.984254776036,351296.49389852065,1.000007225005262
52,7.0603,1813000.0,0.49509,1282.2,-4.924,0,678610.0,8.208e+18,323.62,,3.8012,-4.2988,0,0,803145.9467580557,803145.9467580557,6352.949266097795,351313.0562909132,0.9999806767588233
53,7.0239,1805000.0,0.50585,1302.0,-4.6422,0,673740.0,8.1389e+18,322.97,,3.8743,-4.2257,0,0,803153.3210784674,803153.3210784674,6353.0047325505775,351332.8206513227,0.9999542509795593
54,6.9866,1796900.0,0.51682,1321.8,-4.5175,0,668740.0,8.0679e+18,322.28,,3.9474,-4.1526,0,0,803190.6805980704,803190.6805980704,6352.999876933332,351335.86369757546,0.9999263664338407
55,6.9481,1788500.0,0.52788,1341.2,-3.8632,0,663610.0,7.995e+18,321.58,,4.0205,-4.0795,0,0,803191.8250651343,803191.8250651343,6353.033293015185,351347.3572012525,0.9998982409159514
56,6.9093,1779900.0,0.53887,1359.9,-3.7239,0,658440.0,7.9217e+18,320.87,,4.0936,-4.0064,0,0,803172.2366069818,803172.2366069818,6353.065281999545,351355.76222398615,0.9998698861941872
57,6.8704,1771500.0,0.55017,1379.0,-3.1737,0,653220.0,7.8475e+18,320.13,,4.1667,-3.9333,0,0,803337.4334700066,803337.4334700066,6353.035375575921,351366.3515354577,0.9998405018249595
58,6.8276,1762100.0,0.56244,1399.2,-3.0079,0,647490.0,7.7661e+18,319.31,,4.2398,-3.8602,0,0,803517.4299988562,803517.4299988562,6352.992927276347,351374.53488047177,0.9998081422965972
59,6.7826,1752200.0,0.5748,1418.6,-2.8752,0,641520.0,7.6814e+18,318.46,,4.3129,-3.7871,0,0,803528.523210525,803528.523210525,6352.980732579784,351371.78539812745,0.9997748391503568
