"Mach","Pressure","Temperature","p","u","x","Points:0","Points:1","Points:2"
0.63879,6.0832e+05,311.49,0.75715,229.89,-0.5264,-3.4216,0,0
0.65249,6.0146e+05,310.48,0.74861,234.43,-0.51515,-3.3485,0,0
0.66618,5.946e+05,309.46,0.74008,238.96,-0.50391,-3.2754,0,0
0.68023,5.8744e+05,308.39,0.73117,243.57,-0.49266,-3.2023,0,0
0.69431,5.8026e+05,307.31,0.72223,248.19,-0.48142,-3.1292,0,0
0.70868,5.7287e+05,306.19,0.71303,252.85,-0.47017,-3.0561,0,0
0.72317,5.6541e+05,305.04,0.70374,257.54,-0.45892,-2.983,0,0
0.73787,5.5779e+05,303.86,0.69426,262.27,-0.44768,-2.9099,0,0
0.75278,5.5004e+05,302.64,0.68461,267.03,-0.43643,-2.8368,0,0
0.7678,5.4222e+05,301.4,0.67488,271.8,-0.42518,-2.7637,0,0
0.78299,5.3432e+05,300.14,0.66504,276.59,-0.41394,-2.6906,0,0
0.79827,5.2637e+05,298.86,0.65515,281.39,-0.40269,-2.6175,0,0
0.81375,5.1832e+05,297.53,0.64513,286.21,-0.39145,-2.5444,0,0
0.82928,5.1025e+05,296.2,0.63509,291.03,-0.3802,-2.4713,0,0
0.84503,5.021e+05,294.84,0.62495,295.86,-0.36895,-2.3982,0,0
0.86078,4.9395e+05,293.46,0.6148,300.69,-0.35771,-2.3251,0,0
0.87673,4.8575e+05,292.05,0.6046,305.5,-0.34646,-2.252,0,0
0.89267,4.7755e+05,290.64,0.59439,310.32,-0.33522,-2.1789,0,0
0.90892,4.6927e+05,289.17,0.58408,315.16,-0.32397,-2.1058,0,0
0.92518,4.6097e+05,287.71,0.57376,319.99,-0.31272,-2.0327,0,0
0.94157,4.5269e+05,286.21,0.56345,324.8,-0.30148,-1.9596,0,0
0.95798,4.4441e+05,284.71,0.55314,329.6,-0.29023,-1.8865,0,0
0.97457,4.3615e+05,283.17,0.54286,334.39,-0.27898,-1.8134,0,0
0.99118,4.2788e+05,281.63,0.53257,339.18,-0.26774,-1.7403,0,0
1.008,4.1965e+05,280.06,0.52232,343.95,-0.25649,-1.6672,0,0
1.0248,4.1142e+05,278.49,0.51208,348.71,-0.24525,-1.5941,0,0
1.0417,4.0327e+05,276.89,0.50194,353.44,-0.234,-1.521,0,0
1.0586,3.9513e+05,275.29,0.49181,358.16,-0.22275,-1.4479,0,0
1.0757,3.8705e+05,273.66,0.48175,362.85,-0.21151,-1.3748,0,0
1.0929,3.7898e+05,272.02,0.47171,367.54,-0.20026,-1.3017,0,0
1.1101,3.7104e+05,270.36,0.46182,372.18,-0.18902,-1.2286,0,0
1.1273,3.631e+05,268.7,0.45194,376.81,-0.17777,-1.1555,0,0
1.1446,3.5532e+05,267.03,0.44225,381.38,-0.16652,-1.0824,0,0
1.1619,3.4755e+05,265.36,0.43258,385.95,-0.15528,-1.0093,0,0
1.1793,3.3993e+05,263.67,0.4231,390.45,-0.14403,-0.9362,0,0
1.1967,3.3234e+05,261.97,0.41365,394.95,-0.13278,-0.8631,0,0
1.2139,3.2501e+05,260.3,0.40453,399.34,-0.12154,-0.79,0,0
1.2312,3.1769e+05,258.62,0.39542,403.72,-0.11029,-0.7169,0,0
1.2486,3.1045e+05,256.9,0.38641,408.07,-0.099046,-0.6438,0,0
1.266,3.0332e+05,255.21,0.37753,412.39,-0.0878,-0.5707,0,0
1.2831,2.9647e+05,253.55,0.36901,416.59,-0.076554,-0.4976,0,0
1.3003,2.8963e+05,251.87,0.3605,420.79,-0.065308,-0.4245,0,0
1.3177,2.828e+05,250.15,0.352,424.96,-0.054062,-0.3514,0,0
1.3349,2.7617e+05,248.46,0.34374,429.05,-0.042815,-0.2783,0,0
1.352,2.697e+05,246.78,0.33569,433.08,-0.031569,-0.2052,0,0
1.3689,2.6347e+05,245.12,0.32793,437.02,-0.020323,-0.1321,0,0
1.3858,2.5735e+05,243.48,0.32031,440.92,-0.009077,-0.059,0,0
1.4024,2.5147e+05,241.86,0.313,444.71,0.0021692,0.0141,0,0
1.419,2.4565e+05,240.25,0.30575,448.49,0.013415,0.0872,0,0
1.435,2.4022e+05,238.72,0.29899,452.1,0.024661,0.1603,0,0
1.4511,2.3479e+05,237.18,0.29224,455.69,0.035908,0.2334,0,0
1.4672,2.294e+05,235.6,0.28552,459.22,0.047154,0.3065,0,0
1.483,2.2423e+05,234.08,0.27909,462.65,0.0584,0.3796,0,0
1.4983,2.1936e+05,232.62,0.27303,465.97,0.069646,0.4527,0,0
