"Pressure","Points:0","Points:1","Points:2"
0.25826,8.1282,0,0
0.25185,8.2013,0,0
0.24544,8.2744,0,0
0.23903,8.3475,0,0
0.23261,8.4206,0,0
0.22687,8.4937,0,0
0.22125,8.5668,0,0
0.21562,8.6399,0,0
0.21,8.713,0,0
0.20524,8.7861,0,0
0.2009,8.8592,0,0
0.19656,8.9323,0,0
0.19221,9.0054,0,0
0.18837,9.0785,0,0
0.18504,9.1516,0,0
0.18171,9.2247,0,0
0.17837,9.2978,0,0
0.17504,9.3709,0,0
0.1717,9.444,0,0
0.16837,9.5171,0,0
0.16504,9.5902,0,0
0.16174,9.6633,0,0
0.15881,9.7364,0,0
0.15588,9.8095,0,0
0.15295,9.8826,0,0
0.15002,9.9557,0,0
0.14709,10.029,0,0
0.14416,10.102,0,0
0.14123,10.175,0,0
0.1383,10.248,0,0
0.13502,10.321,0,0
0.13152,10.394,0,0
0.12801,10.467,0,0
0.12451,10.54,0,0
0.1211,10.614,0,0
0.11786,10.687,0,0
0.11462,10.76,0,0
0.11138,10.833,0,0
0.10814,10.906,0,0
0.10496,10.979,0,0
0.10177,11.052,0,0
0.098576,11.125,0,0
0.095386,11.198,0,0
0.091192,11.271,0,0
0.085738,11.345,0,0
1.305,11.418,0,0
1.3117,11.491,0,0
1.3185,11.564,0,0
1.3224,11.637,0,0
1.3262,11.71,0,0
1.3296,11.783,0,0
1.3328,11.856,0,0
1.3346,11.929,0,0
1.3364,12.002,0,0
1.3381,12.076,0,0
1.3399,12.149,0,0
1.3412,12.222,0,0
1.3424,12.295,0,0
1.3436,12.368,0,0
1.3448,12.441,0,0
1.3456,12.514,0,0
1.3461,12.587,0,0
1.3465,12.66,0,0
1.347,12.733,0,0
1.3474,12.807,0,0
1.3475,12.88,0,0
1.3476,12.953,0,0
1.3477,13.026,0,0
1.3478,13.099,0,0
1.3486,13.172,0,0
1.3497,13.245,0,0
1.3507,13.318,0,0
1.3518,13.391,0,0
1.3536,13.464,0,0
1.3568,13.538,0,0
1.3599,13.611,0,0
1.3631,13.684,0,0
1.3663,13.757,0,0
1.3668,13.83,0,0
1.3672,13.903,0,0
1.3676,13.976,0,0
1.368,14.049,0,0
1.3714,14.122,0,0
1.3775,14.195,0,0
1.3836,14.269,0,0
1.3897,14.342,0,0
1.3958,14.415,0,0
1.4019,14.488,0,0
1.408,14.561,0,0
1.414,14.634,0,0
1.4201,14.707,0,0
1.4328,14.78,0,0
1.449,14.853,0,0
1.4653,14.926,0,0
1.4815,15,0,0
1.4978,15.073,0,0
1.514,15.146,0,0
1.5303,15.219,0,0
1.5465,15.292,0,0
1.5628,15.365,0,0
1.5718,15.438,0,0
1.5775,15.511,0,0
1.5833,15.584,0,0
1.589,15.657,0,0
1.5948,15.731,0,0
1.6005,15.804,0,0
1.6063,15.877,0,0
1.612,15.95,0,0
1.6178,16.023,0,0
1.6161,16.096,0,0
1.6111,16.169,0,0
1.606,16.242,0,0
1.6009,16.315,0,0
