"Mach","p","tp","x","Points:0","Points:1","Points:2"
1.2447,0.38848,1.0029,-0.0878,-0.5707,0,0
1.2636,0.37885,1.0029,-0.076554,-0.4976,0,0
1.2826,0.36931,1.003,-0.065308,-0.4245,0,0
1.3017,0.35989,1.0031,-0.054062,-0.3514,0,0
1.3211,0.3505,1.0031,-0.042815,-0.2783,0,0
1.3407,0.34113,1.003,-0.031569,-0.2052,0,0
1.3603,0.33203,1.003,-0.020323,-0.1321,0,0
1.3799,0.32306,1.0031,-0.009077,-0.059,0,0
1.4,0.31415,1.0031,0.0021692,0.0141,0,0
1.4202,0.30525,1.0032,0.013415,0.0872,0,0
1.4404,0.29679,1.0036,0.024661,0.1603,0,0
1.4608,0.28828,1.0038,0.035908,0.2334,0,0
1.482,0.27959,1.0035,0.047154,0.3065,0,0
1.5027,0.27126,1.0033,0.0584,0.3796,0,0
1.523,0.26341,1.0034,0.069646,0.4527,0,0
1.5438,0.25557,1.0034,0.080892,0.5258,0,0
1.5647,0.24775,1.0033,0.092138,0.5989,0,0
1.585,0.24059,1.0036,0.10338,0.672,0,0
1.6053,0.2335,1.0039,0.11463,0.7451,0,0
1.6266,0.22617,1.0035,0.12588,0.8182,0,0
1.6479,0.21903,1.0032,0.13712,0.8913,0,0
1.6689,0.21221,1.0031,0.14837,0.9644,0,0
1.6895,0.2057,1.0029,0.15962,1.0375,0,0
1.7101,0.19932,1.0026,0.17086,1.1106,0,0
1.7303,0.19334,1.0024,0.18211,1.1837,0,0
1.7501,0.18758,1.0024,0.19335,1.2568,0,0
1.769,0.18233,1.0027,0.2046,1.3299,0,0
1.7884,0.17703,1.0027,0.21585,1.403,0,0
1.8081,0.17169,1.0025,0.22709,1.4761,0,0
1.8272,0.16676,1.0025,0.23834,1.5492,0,0
1.8462,0.16196,1.0025,0.24958,1.6223,0,0
1.8647,0.15738,1.0023,0.26083,1.6954,0,0
1.8825,0.15311,1.0021,0.27208,1.7685,0,0
1.8999,0.14902,1.002,0.28332,1.8416,0,0
1.9162,0.14532,1.002,0.29457,1.9147,0,0
1.9319,0.14182,1.0019,0.30582,1.9878,0,0
1.9468,0.13857,1.0019,0.31706,2.0609,0,0
1.9602,0.13572,1.0019,0.32831,2.134,0,0
1.973,0.13305,1.0019,0.33955,2.2071,0,0
1.9841,0.13076,1.0018,0.3508,2.2802,0,0
1.9937,0.12883,1.0018,0.36205,2.3533,0,0
2.002,0.12717,1.0018,0.37329,2.4264,0,0
2.0077,0.12603,1.0018,0.38454,2.4995,0,0
2.01,0.12555,1.0015,0.39578,2.5726,0,0
2.0099,0.12553,1.0012,0.40703,2.6457,0,0
2.0076,0.12598,1.0012,0.41828,2.7188,0,0
2.0027,0.12694,1.0012,0.42952,2.7919,0,0
1.9955,0.12837,1.0012,0.44077,2.865,0,0
1.9818,0.13114,1.001,0.45202,2.9381,0,0
1.9642,0.13477,1.0008,0.46326,3.0112,0,0
1.9422,0.13938,1.0006,0.47451,3.0843,0,0
1.9126,0.1459,1.0002,0.48575,3.1574,0,0
1.8805,0.15331,0.99982,0.497,3.2305,0,0
1.8465,0.16141,0.99951,0.50825,3.3036,0,0
1.8125,0.17001,0.99904,0.51949,3.3767,0,0
1.7831,0.17779,0.99887,0.53074,3.4498,0,0
1.7583,0.18456,0.99874,0.54198,3.5229,0,0
1.7409,0.18942,0.99834,0.55323,3.596,0,0
1.7335,0.19176,0.99949,0.56448,3.6691,0,0
1.7309,0.19271,1.0005,0.57572,3.7422,0,0
