"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
0, 0.000000000000000e+00, 3.250000000000000e+00, 1.241031866620048e+00, -3.778736189280322e-01, -1.168866079696742e+01, 9.147381405147688e+01, 1.454857995641028e+01, 1.172297049553882e+01, 2.326086140760607e+00, 1.935511422344326e+19
1, 0.000000000000000e+00, 3.350426440379675e+00, 2.488088752611970e+00, -5.539007281620885e-02, -1.579808010325694e+01, 1.697742242488006e+02, 4.784751123043785e+01, 1.923062880301517e+01, 1.223715194440299e+00, 6.692501604348264e+19
2, 0.000000000000000e+00, 3.452243950850212e+00, 2.406158723433818e+00, -7.857676565231533e-02, -1.593898576594260e+01, 1.659397540259012e+02, 4.525863789199224e+01, 1.880949808140830e+01, 1.290889494594037e+00, 6.322662555998891e+19
3, 0.000000000000000e+00, 3.555504044358736e+00, 2.472089350670551e+00, -1.065840297184237e-01, -1.621797693686159e+01, 1.703978565498970e+02, 4.687883282786995e+01, 1.896324370927536e+01, 1.273273094781926e+00, 6.554118975409993e+19
4, 0.000000000000000e+00, 3.660256251562773e+00, 2.530134884604020e+00, -5.806144319183550e-02, -1.669065712933735e+01, 1.754671750380328e+02, 4.816579847191596e+01, 1.903685007665280e+01, 1.277823368561877e+00, 6.737971210273708e+19
5, 0.000000000000000e+00, 3.766709458913581e+00, 2.594995902523098e+00, -3.939777875613261e-02, -1.717796337003993e+01, 1.808128100012879e+02, 4.958258498991432e+01, 1.910699933734211e+01, 1.279899519448901e+00, 6.940369284273474e+19
6, 0.000000000000000e+00, 3.875010342875223e+00, 2.662373499289768e+00, -3.246100082908498e-02, -1.767450912694219e+01, 1.863520669833880e+02, 5.107384692157743e+01, 1.918357696063389e+01, 1.281003450333922e+00, 7.153406703082491e+19
7, 0.000000000000000e+00, 3.984896887708720e+00, 2.732747169595016e+00, -3.180424024690198e-02, -1.816607661036879e+01, 1.920410291637561e+02, 5.266435291706053e+01, 1.927157898213658e+01, 1.279792870110084e+00, 7.380621845294362e+19
8, 0.000000000000000e+00, 4.096413317332088e+00, 2.826459949223744e+00, -2.806133358728140e-02, -1.867084511886355e+01, 1.989465484548779e+02, 5.491163303482300e+01, 1.942770604264316e+01, 1.266621487434877e+00, 7.701661862117571e+19
9, 0.000000000000000e+00, 4.209602275756904e+00, 2.940568670485036e+00, -6.209309472693131e-03, -1.925212446652885e+01, 2.072465271172506e+02, 5.768958656867403e+01, 1.961851363911810e+01, 1.249252678523856e+00, 8.098512366953433e+19
