,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum:0,Momentum:1,Momentum:2,Omega,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient:0,Skin_Friction_Coefficient:1,Skin_Friction_Coefficient:2,Temperature,Turb_Kin_Energy,Y_Plus,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,pi,s,ht,Z
0,7.7601,0.00019824,1964300.0,0,2.0103e-05,0.23403,678.55,0.15936,0,929340.0,773780.0,-46820.0,0,0,0,335.73,23.741,0,,0.0,-0.0081,0,0,804068.2976377232,804068.2976377232,6352.047695634327,351122.6869982387,1.000500632477663
1,7.7591,0.00019764,1964200.0,0,2.0103e-05,0.23479,680.65,-0.16473,0,897050.0,773660.0,-47030.0,0,0,0,335.73,22.864,0,,7.31e-05,-0.0080269,0,0,804143.2778679164,804143.2778679164,6352.094349438697,351147.92489858804,1.000500538847918
2,7.7581,0.00019704,1964100.0,0,2.0102e-05,0.23555,682.75,-0.48883,0,864770.0,773550.0,-47240.0,0,0,0,335.72,21.986,0,,0.0001462,-0.0079538,0,0,804229.286284575,804229.286284575,6352.105841040709,351162.6092968965,1.0005000661419525
3,7.7571,0.00019645,1964000.0,0,2.0102e-05,0.23631,684.85,-0.81292,0,832490.0,773430.0,-47450.0,0,0,0,335.71,21.109,0,,0.0002193,-0.0078807,0,0,804305.5180130847,804305.5180130847,6352.121227022453,351177.3896420754,1.0004995857047305
4,7.7561,0.00019585,1963900.0,0,2.0102e-05,0.23706,686.95,-1.137,0,800200.0,773310.0,-47661.0,0,0,0,335.7,20.232,0,,0.0002924,-0.0078076,0,0,804379.7122094958,804379.7122094958,6352.13661929633,351191.9164199439,1.0004991053385588
5,7.7552,0.00019525,1963700.0,0,2.0101e-05,0.23782,689.05,-1.4611,0,767920.0,773190.0,-47871.0,0,0,0,335.69,19.355,0,,0.0003655,-0.0077345,0,0,804457.1763599328,804457.1763599328,6352.15201786451,351206.8549730839,1.0004986250434547
6,7.7542,0.00019465,1963600.0,0,2.0101e-05,0.23858,691.15,-1.7852,0,735630.0,773070.0,-48081.0,0,0,0,335.68,18.477,0,,0.0004386,-0.0076614,0,0,804535.261055821,804535.261055821,6352.167422729162,351221.8731477579,1.0004981448194357
7,7.7526,0.00019404,1963400.0,0,2.01e-05,0.23951,693.68,-2.0674,0,704890.0,772870.0,-48439.0,0,0,0,335.67,17.644,0,,0.0005117,-0.0075883,0,0,804576.2985597396,804576.2985597396,6352.213968771196,351242.82160311996,1.0004976025043208
8,7.749,0.00019336,1962600.0,0,2.0098e-05,0.24096,697.52,-2.219,0,678950.0,772420.0,-49255.0,0,0,0,335.62,16.947,0,,0.0005848,-0.0075152,0,0,804498.1398572148,804498.1398572148,6352.232722843386,351239.3923884526,1.000495319176623
9,7.7453,0.00019268,1961800.0,0,2.0096e-05,0.24242,701.36,-2.3707,0,653010.0,771960.0,-50071.0,0,0,0,335.58,16.25,0,,0.0006579,-0.0074421,0,0,804414.2987306506,804414.2987306506,6352.286746568286,351247.2258890496,1.0004934159968417
10,7.7417,0.000192,1961000.0,0,2.0094e-05,0.24387,705.2,-2.5224,0,627070.0,771500.0,-50887.0,0,0,0,335.54,15.553,0,,0.000731,-0.007369,0,0,804329.777254022,804329.777254022,6352.340861969592,351255.0042836789,1.0004915138723238
11,7.7367,0.00019141,1959800.0,0,2.0092e-05,0.24552,709.43,-3.0028,0,606420.0,770870.0,-52025.0,0,0,0,335.48,15.006,0,,0.0008041,-0.0072959,0,0,804124.8811773114,804124.8811773114,6352.398793772796,351248.98137054144,1.0004887086854262
12,7.7315,0.00019084,1958600.0,0,2.0089e-05,0.2472,713.71,-3.5345,0,586590.0,770200.0,-53214.0,0,0,0,335.42,14.482,0,,0.0008772,-0.0072228,0,0,803889.0076777693,803889.0076777693,6352.472514134667,351244.4270283342,1.00048587494452
13,7.7262,0.00019027,1957300.0,0,2.0086e-05,0.24887,718.0,-4.0663,0,566760.0,769530.0,-54402.0,0,0,0,335.35,13.959,0,,0.0009503,-0.0071497,0,0,803652.8950720427,803652.8950720427,6352.515114059993,351229.2671764669,1.0004826566443445
