,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum:0,Momentum:1,Momentum:2,Omega,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient:0,Skin_Friction_Coefficient:1,Skin_Friction_Coefficient:2,Temperature,Turb_Kin_Energy,Y_Plus,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Ptot,Z
0,7.7575,0.00019762,1964400.0,0,2.0102e-05,0.23773,689.02,2.3307,0,903970.0,773460.0,-47386.0,0,0,0,335.71,23.029,0,,0.0,-0.0081,0,0,804874.4707845115,1.0004996090799199
1,7.7551,0.00019697,1963800.0,0,2.01e-05,0.23874,691.67,1.3883,0,868790.0,773130.0,-47979.0,0,0,0,335.67,22.082,0,,7.31e-05,-0.0080269,0,0,804865.7106053476,1.0004978045395232
2,7.7526,0.00019632,1963300.0,0,2.0099e-05,0.23975,694.33,0.44592,0,833610.0,772800.0,-48572.0,0,0,0,335.63,21.135,0,,0.0001462,-0.0079538,0,0,804856.8421918568,1.0004960005064463
3,7.7501,0.00019567,1962700.0,0,2.0097e-05,0.24075,696.98,-0.49648,0,798430.0,772470.0,-49164.0,0,0,0,335.59,20.188,0,,0.0002193,-0.0078807,0,0,804847.8654142339,1.0004941969812875
4,7.7477,0.00019502,1962100.0,0,2.0095e-05,0.24176,699.63,-1.4389,0,763260.0,772140.0,-49757.0,0,0,0,335.56,19.241,0,,0.0002924,-0.0078076,0,0,804753.9765583721,1.000492781032478
5,7.7452,0.00019436,1961500.0,0,2.0094e-05,0.24277,702.28,-2.3813,0,728080.0,771800.0,-50350.0,0,0,0,335.52,18.294,0,,0.0003655,-0.0077345,0,0,804734.2136839433,1.0004909708763245
6,7.7427,0.00019371,1960900.0,0,2.0092e-05,0.24377,704.94,-3.3237,0,692900.0,771470.0,-50943.0,0,0,0,335.48,17.347,0,,0.0004386,-0.0076614,0,0,804724.897878335,1.000489168943455
7,7.7402,0.0001931,1960300.0,0,2.009e-05,0.24497,708.13,-4.112,0,661360.0,771130.0,-51561.0,0,0,0,335.44,16.501,0,,0.0005117,-0.0075883,0,0,804704.9043866562,1.0004873598696866
8,7.7376,0.00019259,1959800.0,0,2.0088e-05,0.24678,713.02,-4.421,0,641160.0,770730.0,-52260.0,0,0,0,335.38,15.967,0,,0.0005848,-0.0075152,0,0,804791.0235448909,1.0004847311158225
9,7.735,0.00019209,1959300.0,0,2.0085e-05,0.24858,717.92,-4.73,0,620950.0,770340.0,-52959.0,0,0,0,335.33,15.432,0,,0.0006579,-0.0074421,0,0,804802.7388450152,1.0004824978810405
10,7.7323,0.00019159,1958800.0,0,2.0082e-05,0.25038,722.81,-5.039,0,600750.0,769950.0,-53657.0,0,0,0,335.27,14.898,0,,0.000731,-0.007369,0,0,804899.1875856736,1.0004798778946287
11,7.7297,0.00019109,1958300.0,0,2.008e-05,0.25218,727.7,-5.3481,0,580550.0,769560.0,-54356.0,0,0,0,335.21,14.364,0,,0.0008041,-0.0072959,0,0,804995.5289129834,1.0004772584093895
12,7.7271,0.00019059,1957800.0,0,2.0077e-05,0.25398,732.59,-5.6571,0,560350.0,769170.0,-55055.0,0,0,0,335.16,13.83,0,,0.0008772,-0.0072228,0,0,805006.8329961019,1.0004750270967535
13,7.7245,0.00019008,1957300.0,0,2.0075e-05,0.25578,737.48,-5.9661,0,540150.0,768780.0,-55754.0,0,0,0,335.1,13.296,0,,0.0009503,-0.0071497,0,0,805102.9337385275,1.0004724087350347
14,7.7196,0.00018962,1956200.0,0,2.0071e-05,0.25811,743.62,-6.292,0,523650.0,768110.0,-56941.0,0,0,0,335.02,12.864,0,,0.0010234,-0.0070766,0,0,805071.672506836,1.0004688068657501
15,7.7124,0.00018918,1954600.0,0,2.0067e-05,0.261,751.06,-6.6358,0,511060.0,767160.0,-58644.0,0,0,0,334.92,12.539,0,,0.0010965,-0.0070035,0,0,804912.4083700818,1.0004642245195823
