,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum:0,Momentum:1,Momentum:2,Omega,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient:0,Skin_Friction_Coefficient:1,Skin_Friction_Coefficient:2,Temperature,Turb_Kin_Energy,Y_Plus,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,pi,s,ht,Z
0,7.7613,0.00019833,1964900.0,0,2.0105e-05,0.23407,678.8,0.10107,0,934590.0,774010.0,-46406.0,0,0,0,335.78,23.882,0,,0.0,-0.0081,0,0,804317.8310724072,804317.8310724072,6352.1146858099755,351176.7125390365,1.000502746717504
1,7.7605,0.00019774,1964800.0,0,2.0105e-05,0.23477,680.76,-0.16567,0,902490.0,773890.0,-46620.0,0,0,0,335.76,23.01,0,,7.31e-05,-0.0080269,0,0,804377.1219882081,804377.1219882081,6352.098772619787,351178.7426681236,1.000501879148954
2,7.7597,0.00019715,1964600.0,0,2.0104e-05,0.23548,682.72,-0.43241,0,870390.0,773770.0,-46834.0,0,0,0,335.75,22.137,0,,0.0001462,-0.0079538,0,0,804439.5676274424,804439.5676274424,6352.114141832878,351191.78819233016,1.0005013985020685
3,7.7589,0.00019656,1964500.0,0,2.0103e-05,0.23618,684.67,-0.69914,0,838290.0,773650.0,-47049.0,0,0,0,335.73,21.264,0,,0.0002193,-0.0078807,0,0,804499.9104626317,804499.9104626317,6352.098237578065,351193.95217028767,1.000500531045663
4,7.7581,0.00019598,1964400.0,0,2.0102e-05,0.23689,686.63,-0.96588,0,806200.0,773530.0,-47263.0,0,0,0,335.71,20.391,0,,0.0002924,-0.0078076,0,0,804563.4320027606,804563.4320027606,6352.08233687409,351196.515192465,1.0004996636232333
5,7.7573,0.00019539,1964200.0,0,2.0102e-05,0.2376,688.59,-1.2326,0,774100.0,773410.0,-47478.0,0,0,0,335.7,19.518,0,,0.0003655,-0.0077345,0,0,804627.4832051271,804627.4832051271,6352.097723156152,351209.7665855925,1.0004991832039085
6,7.7565,0.0001948,1964100.0,0,2.0101e-05,0.2383,690.55,-1.4993,0,742000.0,773290.0,-47692.0,0,0,0,335.68,18.645,0,,0.0004386,-0.0076614,0,0,804689.4079043613,804689.4079043613,6352.081831399288,351212.1313922997,1.0004983158938292
7,7.7551,0.00019419,1963800.0,0,2.01e-05,0.23914,692.84,-1.7487,0,711350.0,773100.0,-48029.0,0,0,0,335.66,17.814,0,,0.0005117,-0.0075883,0,0,804716.5071830823,804716.5071830823,6352.093178419354,351219.3800540359,1.0004973942548219
8,7.7521,0.00019354,1963100.0,0,2.0098e-05,0.24041,696.18,-1.9439,0,685170.0,772700.0,-48748.0,0,0,0,335.61,17.111,0,,0.0005848,-0.0075152,0,0,804641.4360346053,804641.4360346053,6352.092410822358,351209.7115439145,1.0004951489903378
9,7.7491,0.00019289,1962400.0,0,2.0096e-05,0.24167,699.51,-2.1392,0,658990.0,772300.0,-49466.0,0,0,0,335.57,16.409,0,,0.0006579,-0.0074421,0,0,804565.2026742945,804565.2026742945,6352.122995958983,351210.5417059791,1.0004932915498135
10,7.746,0.00019224,1961800.0,0,2.0094e-05,0.24293,702.85,-2.3344,0,632810.0,771900.0,-50185.0,0,0,0,335.52,15.706,0,,0.000731,-0.007369,0,0,804490.5046576896,804490.5046576896,6352.122347919726,351200.95903883723,1.0004910478060922
11,7.742,0.00019165,1960900.0,0,2.0091e-05,0.24474,707.64,-2.5552,0,611990.0,771360.0,-51140.0,0,0,0,335.46,15.152,0,,0.0008041,-0.0072959,0,0,804421.9576493108,804421.9576493108,6352.145043355638,351200.0722232736,1.0004883103076356
12,7.7379,0.00019106,1960000.0,0,2.0088e-05,0.24663,712.66,-2.7799,0,592010.0,770810.0,-52131.0,0,0,0,335.4,14.621,0,,0.0008772,-0.0072228,0,0,804368.2580507648,804368.2580507648,6352.171755097081,351202.40961573727,1.0004855666091323
13,7.7337,0.00019048,1959000.0,0,2.0086e-05,0.24852,717.69,-3.0047,0,572020.0,770250.0,-53123.0,0,0,0,335.34,14.09,0,,0.0009503,-0.0071497,0,0,804307.6051151849,804307.6051151849,6352.202491653057,351205.24132241687,1.0004828168073021
14,7.7293,0.00018989,1958100.0,0,2.0082e-05,0.25067,723.39,-2.9755,0,553310.0,769640.0,-54208.0,0,0,0,335.27,13.594,0,,0.0010234,-0.0070766,0,0,804271.0979454479,804271.0979454479,6352.221572931599,351207.14268344967,1.000479643447779
15,7.7245,0.0001893,1957000.0,0,2.0079e-05,0.25308,729.81,-2.6784,0,535950.0,768980.0,-55393.0,0,0,0,335.19,13.134,0,,0.0010965,-0.0070035,0,0,804260.4337168756,804260.4337168756,6352.229026264724,351208.33617452835,1.0004760469013585
16,7.7186,0.00018874,1955800.0,0,2.0075e-05,0.25575,736.85,-2.66,0,519450.0,768190.0,-56801.0,0,0,0,335.1,12.703,0,,0.0011696,-0.0069304,0,0,804193.7406152547,804193.7406152547,6352.256203897635,351209.2011646111,1.0004719677494096
17,7.7126,0.00018821,1954400.0,0,2.007e-05,0.25854,744.19,-2.7076,0,503590.0,767370.0,-58270.0,0,0,0,335.0,12.289,0,,0.0012427,-0.0068573,0,0,804137.2108369877,804137.2108369877,6352.264037078077,351204.77206894744,1.0004674818250345
18,7.7067,0.00018776,1953200.0,0,2.0065e-05,0.26176,752.78,-2.7158,0,491250.0,766530.0,-59765.0,0,0,0,334.89,11.969,0,,0.0013158,-0.0067842,0,0,804192.9914204853,804192.9914204853,6352.24861237505,351206.5297173839,1.0004625966387517
19,7.6998,0.00018728,1951700.0,0,2.006e-05,0.2651,761.54,-2.756,0,478350.0,765580.0,-61469.0,0,0,0,334.77,11.635,0,,0.0013889,-0.0067111,0,0,804179.0450890817,804179.0450890817,6352.245284512685,351203.6510691368,1.000457246380113
20,7.6914,0.00018677,1949800.0,0,2.0055e-05,0.26857,770.55,-2.8405,0,464670.0,764460.0,-63465.0,0,0,0,334.65,11.284,0,,0.001462,-0.006638,0,0,804036.0919467907,804036.0919467907,6352.309168172312,351207.4139044468,1.0004517772693722
