"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,          55,      -4.151343352,      -1.474674011,       -1.39070546,       1.393314472,     -0.5950980201,       2.186964282
          0,           0,          56,      -4.150284667,       -1.44479537,       -1.41934115,       1.397372247,     -0.6068320845,       2.156643842
          0,           0,          57,      -4.176370598,      -1.417073352,       -1.52494502,       1.371202582,     -0.6183591106,       2.151276672
          0,           0,          58,      -4.196745742,      -1.390775972,      -1.598817012,        1.35463707,     -0.6298873246,       2.168388674
          0,           0,          59,      -4.217527205,      -1.376596753,      -1.618945298,       1.335200889,     -0.6411492018,       2.205276438
          0,           0,          60,       -4.25231047,      -1.381328145,       -1.61424528,       1.301641192,     -0.6546063287,       2.248454771
          0,           0,          61,      -4.242438073,       -1.37310174,      -1.445009489,       1.313854858,     -0.6669999474,       2.291816951
          0,           0,          62,      -4.218780649,      -1.351716428,      -1.457100094,       1.339246111,       -0.67597379,         2.3303236
          0,           0,          63,      -4.236260832,       -1.35215521,      -1.529174716,       1.322144081,     -0.6846413204,       2.362373711
          0,           0,          64,       -4.26266429,      -1.368040392,      -1.655738153,       1.295721923,      -0.696886712,       2.386200086
          0,           0,          65,      -4.282931564,      -1.378767775,      -1.699382539,       1.274297771,     -0.7086729479,        2.40378167
          0,           0,          66,      -4.268070155,      -1.377877234,      -1.758691338,       1.288875082,     -0.7162516433,       2.414037615
          0,           0,          67,      -4.270367228,      -1.392539977,      -1.762471853,       1.286500978,     -0.7242408949,       2.417605514
          0,           0,          68,      -4.290695656,      -1.438353848,       -1.81990561,       1.269065825,     -0.7363933175,       2.414363409
          0,           0,          69,      -4.255702006,      -1.463332759,      -1.363411785,       1.302062564,     -0.7463282766,       2.405688805
          0,           0,          70,      -4.221914945,      -1.436794604,      -1.564431147,       1.329484154,       -0.74995976,       2.390813824
          0,           0,          71,      -4.267112353,      -1.465771831,      -1.688214387,       1.287207698,     -0.7537236936,       2.369716659
          0,           0,          72,      -4.291868758,       -1.49477386,      -1.763905031,       1.259816206,     -0.7597751797,       2.342320688
          0,           0,          73,      -4.301835001,      -1.507503844,      -1.802372369,       1.249053026,     -0.7655749618,       2.309202371
          0,           0,          74,      -4.302849557,      -1.526411247,      -1.749557442,       1.249368579,     -0.7714082953,       2.270187706
          0,           0,          75,      -4.319280383,      -1.554656591,      -1.790542016,        1.23487804,     -0.7776571718,       2.226503435
          0,           0,          76,       -4.33427441,      -1.551728399,      -1.762183192,       1.218259848,     -0.7819916951,       2.179569373
          0,           0,          77,      -4.338362778,      -1.524701418,      -1.766923557,       1.213256244,     -0.7832961139,       2.131768171
          0,           0,          78,      -4.343676738,      -1.543227676,      -1.745872402,       1.211041249,     -0.7828022436,       2.087341057
          0,           0,          79,      -4.360429409,      -1.534457676,      -1.753396339,       1.193052827,     -0.7835149798,       2.052392185
          0,           0,          80,      -4.369768961,      -1.530978837,      -1.745749217,       1.183711803,     -0.7859982932,       2.029390818
          0,           0,          81,      -4.370511653,      -1.538202291,      -1.718770892,       1.190702283,     -0.7896660311,       2.020554119
          0,           0,          82,      -4.381362515,      -1.546263002,      -1.753211904,       1.180023628,     -0.7920440654,       2.021113904
          0,           0,          83,      -4.393300709,      -1.544903917,      -1.766484479,       1.168828209,     -0.7931110978,       2.031175394
          0,           0,          84,      -4.399953405,      -1.550150674,      -1.775354719,       1.160463766,     -0.7928154071,       2.046150612
          0,           0,          85,      -4.387307522,      -1.509115959,      -1.801532268,       1.174457823,     -0.7903240708,       2.063605788
          0,           0,          86,      -4.379308687,      -1.508931202,      -1.771877439,        1.18021085,      -0.788821021,       2.079257011
          0,           0,          87,      -4.403037417,      -1.541935071,      -1.780258252,       1.165689169,      -0.791590454,       2.093601941
          0,           0,          88,      -4.404876051,       -1.55812491,      -1.793564544,       1.159236737,     -0.7939132317,       2.100761251
          0,           0,          89,      -4.403828216,      -1.540122379,      -1.861640176,       1.160891404,     -0.7911479267,       2.104921332
          0,           0,          90,      -4.407517125,      -1.541910229,      -1.795874204,       1.153104933,     -0.7905152296,       2.104838608
          0,           0,          91,      -4.424587344,      -1.578001823,      -1.811810773,       1.139306584,     -0.7934909904,       2.099491146
          0,           0,          92,      -4.418423184,      -1.575817261,      -1.826869822,       1.145553444,     -0.7954246776,       2.091748246
          0,           0,          93,      -4.416290892,      -1.549838969,       -1.88397978,       1.142582999,     -0.7935256889,       2.080034375
          0,           0,          94,      -4.431922256,       -1.56853322,      -1.908704761,       1.124156699,     -0.7928073716,       2.066467355
          0,           0,          95,      -4.422505299,      -1.608279661,      -1.468775247,       1.137101571,     -0.7951867012,       2.048891696
