,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,Z
0,7.7541,1963500.0,0.23933,693.29,-0.13833,0,773010.0,9.6144e+18,335.66,,0.0,-8.1,0,0,804673.7682284797,1.000497324361999
1,7.7533,1963400.0,0.23992,694.92,-0.33879,0,772910.0,9.6129e+18,335.65,,0.0731,-8.0269,0,0,804728.1779213417,1.0004968597764583
2,7.7525,1963300.0,0.24051,696.54,-0.53925,0,772800.0,9.6115e+18,335.64,,0.1462,-7.9538,0,0,804772.5418507289,1.000496387485722
3,7.7517,1963200.0,0.24109,698.16,-0.73972,0,772700.0,9.61e+18,335.63,,0.2193,-7.8807,0,0,804824.988328273,1.0004959230054475
4,7.7499,1962800.0,0.24194,700.41,-1.0079,0,772460.0,9.6066e+18,335.6,,0.2924,-7.8076,0,0,804805.1173133757,1.0004945762704769
5,7.7473,1962200.0,0.24296,703.09,-1.3241,0,772130.0,9.6018e+18,335.57,,0.3655,-7.7345,0,0,804738.4201887466,1.0004931603302065
6,7.7447,1961600.0,0.24398,705.77,-1.6403,0,771790.0,9.597e+18,335.54,,0.4386,-7.6614,0,0,804662.2892687921,1.0004917372331763
7,7.7419,1961000.0,0.24508,708.67,-1.9412,0,771440.0,9.5919e+18,335.5,,0.5117,-7.5883,0,0,804598.6893833408,1.0004899200458117
8,7.7387,1960300.0,0.24655,712.57,-2.1676,0,771000.0,9.5858e+18,335.45,,0.5848,-7.5152,0,0,804544.4488921805,1.0004876474824431
9,7.7355,1959600.0,0.24802,716.48,-2.3939,0,770570.0,9.5796e+18,335.4,,0.6579,-7.4421,0,0,804502.7526301984,1.000485383490365
10,7.7322,1958900.0,0.2495,720.38,-2.6203,0,770140.0,9.5734e+18,335.36,,0.731,-7.369,0,0,804465.950846379,1.00048350750494
11,7.728,1958000.0,0.25137,725.32,-2.8646,0,769570.0,9.5653e+18,335.29,,0.8041,-7.2959,0,0,804394.621722622,1.0004803649566574
12,7.7234,1957000.0,0.25339,730.62,-3.1152,0,768960.0,9.5565e+18,335.23,,0.8772,-7.2228,0,0,804327.3362584037,1.0004775809899078
13,7.7188,1955900.0,0.2554,735.92,-3.3659,0,768340.0,9.5477e+18,335.16,,0.9503,-7.1497,0,0,804250.6736578892,1.00047440418879
14,7.7138,1954800.0,0.25759,741.66,-3.6157,0,767670.0,9.5382e+18,335.08,,1.0234,-7.0766,0,0,804177.3524560357,1.000470804654567
15,7.7079,1953600.0,0.26016,748.38,-3.8637,0,766890.0,9.527e+18,335.0,,1.0965,-7.0035,0,0,804103.734111748,1.0004671256566886
16,7.702,1952300.0,0.26274,755.11,-4.1117,0,766100.0,9.5157e+18,334.91,,1.1696,-6.9304,0,0,804028.9125267889,1.0004630549736964
