,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,Z
0,7.7562,1964300.0,0.23938,693.68,0.71074,0,773320.0,9.6188e+18,335.7,,0.0,-8.1,0,0,805009.9595391657,1.0004991131249388
1,7.754,1963700.0,0.24022,695.85,0.20565,0,773010.0,9.6144e+18,335.66,,0.0731,-8.0269,0,0,804913.0960347084,1.000497324361999
2,7.7518,1963200.0,0.24105,698.02,-0.29943,0,772700.0,9.61e+18,335.62,,0.1462,-7.9538,0,0,804814.1834481751,1.000495536023678
3,7.7496,1962600.0,0.24188,700.19,-0.80451,0,772390.0,9.6055e+18,335.58,,0.2193,-7.8807,0,0,804715.906788502,1.0004937481105076
4,7.7474,1962000.0,0.24271,702.36,-1.3096,0,772080.0,9.6011e+18,335.54,,0.2924,-7.8076,0,0,804618.2655372379,1.0004919606230196
5,7.7452,1961500.0,0.24354,704.52,-1.8147,0,771770.0,9.5967e+18,335.5,,0.3655,-7.7345,0,0,804521.2591742632,1.0004901735617462
6,7.743,1960900.0,0.24438,706.69,-2.3198,0,771460.0,9.5922e+18,335.46,,0.4386,-7.6614,0,0,804427.6253116839,1.0004883869272199
7,7.7405,1960200.0,0.24537,709.28,-2.8327,0,771100.0,9.5871e+18,335.42,,0.5117,-7.5883,0,0,804323.6909443901,1.0004865625135029
8,7.736,1959200.0,0.24715,713.93,-3.3839,0,770520.0,9.5788e+18,335.36,,0.5848,-7.5152,0,0,804209.3285486781,1.0004837966472633
9,7.7316,1958200.0,0.24893,718.57,-3.9352,0,769930.0,9.5705e+18,335.29,,0.6579,-7.4421,0,0,804087.5442967959,1.000480637566968
10,7.7272,1957200.0,0.25071,723.22,-4.4864,0,769350.0,9.5621e+18,335.23,,0.731,-7.369,0,0,803979.2042770954,1.0004778750833432
11,7.7227,1956200.0,0.25249,727.86,-5.0376,0,768770.0,9.5538e+18,335.17,,0.8041,-7.2959,0,0,803873.8728492749,1.0004751142913564
12,7.7183,1955200.0,0.25427,732.51,-5.5889,0,768180.0,9.5455e+18,335.11,,0.8772,-7.2228,0,0,803761.0793572838,1.0004723477154622
13,7.7139,1954200.0,0.25604,737.15,-6.1401,0,767600.0,9.5371e+18,335.05,,0.9503,-7.1497,0,0,803658.884327503,1.0004695903465102
14,7.7086,1953000.0,0.25818,742.69,-6.6968,0,766900.0,9.5271e+18,334.97,,1.0234,-7.0766,0,0,803540.5879347266,1.0004659707980057
15,7.7012,1951400.0,0.26111,750.25,-7.2661,0,765930.0,9.5133e+18,334.87,,1.0965,-7.0035,0,0,803373.4598489255,1.000461379909359
16,7.6938,1949800.0,0.26405,757.82,-7.8354,0,764960.0,9.4994e+18,334.76,,1.1696,-6.9304,0,0,803217.3474575465,1.0004564061986658
17,7.6865,1948100.0,0.26699,765.38,-8.4047,0,763990.0,9.4856e+18,334.66,,1.2427,-6.8573,0,0,803069.3285114749,1.0004518248454959
18,7.6791,1946500.0,0.26993,772.95,-8.974,0,763020.0,9.4717e+18,334.56,,1.3158,-6.7842,0,0,802929.3958905656,1.0004472482970872
19,7.6717,1944900.0,0.27287,780.51,-9.5433,0,762050.0,9.4579e+18,334.45,,1.3889,-6.7111,0,0,802797.543413373,1.0004422888103461
20,7.6644,1943200.0,0.27581,788.07,-10.113,0,761080.0,9.444e+18,334.35,,1.462,-6.638,0,0,802673.7335368646,1.000437721876324
21,7.6556,1941300.0,0.27927,796.88,-10.661,0,759920.0,9.4275e+18,334.22,,1.5351,-6.5649,0,0,802518.8551432632,1.0004318628728621
22,7.6448,1938900.0,0.2835,807.52,-11.18,0,758490.0,9.407e+18,334.06,,1.6082,-6.4918,0,0,802331.982928726,1.0004246595496322
23,7.634,1936600.0,0.28774,818.17,-11.699,0,757050.0,9.3864e+18,333.9,,1.6813,-6.4187,0,0,802154.1361545017,1.0004174597951907
24,7.6232,1934200.0,0.29198,828.81,-12.217,0,755610.0,9.3659e+18,333.73,,1.7544,-6.3456,0,0,801992.7305659079,1.0004098824065095
25,7.6125,1931800.0,0.29621,839.46,-12.736,0,754170.0,9.3453e+18,333.57,,1.8275,-6.2725,0,0,801844.4027911174,1.0004027038394545
26,7.6017,1929500.0,0.30045,850.11,-13.254,0,752740.0,9.3248e+18,333.41,,1.9006,-6.1994,0,0,801726.3040313614,1.0003955425631752
27,7.5909,1927100.0,0.30469,860.75,-13.773,0,751300.0,9.3043e+18,333.24,,1.9737,-6.1263,0,0,801613.8607092039,1.0003879967703766
