"Mach","p","x","Points:0","Points:1","Points:2"
1.6481,0.21882,0.13712,0.8913,0,0
1.6688,0.21209,0.14837,0.9644,0,0
1.6894,0.20563,0.15962,1.0375,0,0
1.7099,0.19928,0.17086,1.1106,0,0
1.7301,0.19332,0.18211,1.1837,0,0
1.7502,0.18747,0.19335,1.2568,0,0
1.7701,0.18187,0.2046,1.3299,0,0
1.7897,0.17651,0.21585,1.403,0,0
1.8091,0.1713,0.22709,1.4761,0,0
1.8278,0.16652,0.23834,1.5492,0,0
1.8463,0.16183,0.24958,1.6223,0,0
1.8649,0.15725,0.26083,1.6954,0,0
1.8827,0.153,0.27208,1.7685,0,0
1.9,0.14894,0.28332,1.8416,0,0
1.9163,0.14525,0.29457,1.9147,0,0
1.9319,0.14177,0.30582,1.9878,0,0
1.9468,0.13853,0.31706,2.0609,0,0
1.9602,0.13569,0.32831,2.134,0,0
1.9729,0.13303,0.33955,2.2071,0,0
1.9841,0.13075,0.3508,2.2802,0,0
1.9936,0.12882,0.36205,2.3533,0,0
2.0019,0.12717,0.37329,2.4264,0,0
2.0076,0.12603,0.38454,2.4995,0,0
2.0099,0.12555,0.39578,2.5726,0,0
2.0098,0.12554,0.40703,2.6457,0,0
2.0075,0.12598,0.41828,2.7188,0,0
2.0026,0.12695,0.42952,2.7919,0,0
1.9954,0.12838,0.44077,2.865,0,0
1.9817,0.13115,0.45202,2.9381,0,0
1.9641,0.13478,0.46326,3.0112,0,0
1.9421,0.13939,0.47451,3.0843,0,0
1.9125,0.14592,0.48575,3.1574,0,0
1.8804,0.15333,0.497,3.2305,0,0
1.8464,0.16143,0.50825,3.3036,0,0
1.8124,0.17003,0.51949,3.3767,0,0
1.7831,0.17779,0.53074,3.4498,0,0
1.7583,0.18456,0.54198,3.5229,0,0
1.741,0.18941,0.55323,3.596,0,0
1.7336,0.19176,0.56448,3.6691,0,0
1.7309,0.19272,0.57572,3.7422,0,0
1.7323,0.1923,0.58697,3.8153,0,0
1.738,0.19066,0.59822,3.8884,0,0
1.7467,0.18819,0.60946,3.9615,0,0
1.7582,0.18494,0.62071,4.0346,0,0
1.7726,0.18091,0.63195,4.1077,0,0
1.79,0.17621,0.6432,4.1808,0,0
1.8091,0.17115,0.65445,4.2539,0,0
1.8296,0.16583,0.66569,4.327,0,0
1.8512,0.16045,0.67694,4.4001,0,0
1.8744,0.1548,0.68818,4.4732,0,0
1.8979,0.14928,0.69943,4.5463,0,0
1.9216,0.14391,0.71068,4.6194,0,0
1.9472,0.13826,0.72192,4.6925,0,0
1.9719,0.13313,0.73317,4.7656,0,0
1.9976,0.12792,0.74442,4.8387,0,0
2.0234,0.12282,0.75566,4.9118,0,0
2.0486,0.11804,0.76691,4.9849,0,0
2.0728,0.11368,0.77815,5.058,0,0
2.098,0.10927,0.7894,5.1311,0,0
2.1225,0.10514,0.80065,5.2042,0,0
2.1465,0.10126,0.81189,5.2773,0,0
2.1713,0.09736,0.82314,5.3504,0,0
2.1944,0.093912,0.83438,5.4235,0,0
2.2187,0.090381,0.84563,5.4966,0,0
2.2429,0.087006,0.85688,5.5697,0,0
2.2661,0.083894,0.86812,5.6428,0,0
2.2889,0.080943,0.87937,5.7159,0,0
2.3126,0.077957,0.89062,5.789,0,0
2.3358,0.075166,0.90186,5.8621,0,0
2.3574,0.072678,0.91311,5.9352,0,0
2.3799,0.070157,0.92435,6.0083,0,0
2.4015,0.067827,0.9356,6.0814,0,0
2.423,0.065581,0.94685,6.1545,0,0
2.445,0.063352,0.95809,6.2276,0,0
2.4662,0.061278,0.96934,6.3007,0,0
2.4867,0.05936,0.98058,6.3738,0,0
2.5082,0.057377,0.99183,6.4469,0,0
2.5282,0.055633,1.0031,6.52,0,0
2.5495,0.053813,1.0143,6.5931,0,0
2.5695,0.052167,1.0256,6.6662,0,0
2.5901,0.05052,1.0368,6.7393,0,0
2.6099,0.048999,1.0481,6.8124,0,0
2.6299,0.047504,1.0593,6.8855,0,0
2.6496,0.046078,1.0706,6.9586,0,0
2.6686,0.044748,1.0818,7.0317,0,0
2.6881,0.043417,1.093,7.1048,0,0
2.7074,0.042146,1.1043,7.1779,0,0
2.7265,0.040922,1.1155,7.251,0,0
2.7456,0.039736,1.1268,7.3241,0,0
2.7645,0.038602,1.138,7.3972,0,0
2.7834,0.037496,1.1493,7.4703,0,0
2.8019,0.036449,1.1605,7.5434,0,0
2.8202,0.035446,1.1718,7.6165,0,0
2.8384,0.034476,1.183,7.6896,0,0
2.8562,0.03355,1.1943,7.7627,0,0
2.8744,0.032629,1.2055,7.8358,0,0
2.8923,0.031748,1.2168,7.9089,0,0
2.9093,0.030943,1.228,7.982,0,0
2.9274,0.030098,1.2392,8.0551,0,0
2.9444,0.029336,1.2505,8.1282,0,0
2.9624,0.028542,1.2617,8.2013,0,0
2.9791,0.027839,1.273,8.2744,0,0
2.9962,0.027128,1.2842,8.3475,0,0
3.0128,0.026462,1.2955,8.4206,0,0
3.0298,0.025792,1.3067,8.4937,0,0
3.0459,0.025184,1.318,8.5668,0,0
3.0628,0.024553,1.3292,8.6399,0,0
3.0795,0.023949,1.3405,8.713,0,0
3.0956,0.023384,1.3517,8.7861,0,0
3.1126,0.022797,1.363,8.8592,0,0
3.129,0.022254,1.3742,8.9323,0,0
3.1456,0.021707,1.3854,9.0054,0,0
3.1613,0.021213,1.3967,9.0785,0,0
3.1773,0.020717,1.4079,9.1516,0,0
3.1932,0.020238,1.4192,9.2247,0,0
3.2083,0.019796,1.4304,9.2978,0,0
3.2239,0.019344,1.4417,9.3709,0,0
3.239,0.018919,1.4529,9.444,0,0
3.254,0.01851,1.4642,9.5171,0,0
3.2696,0.01809,1.4754,9.5902,0,0
3.2846,0.017697,1.4867,9.6633,0,0
3.3001,0.017303,1.4979,9.7364,0,0
3.3155,0.016917,1.5092,9.8095,0,0
3.3304,0.016558,1.5204,9.8826,0,0
3.3451,0.016207,1.5316,9.9557,0,0
3.3603,0.015854,1.5429,10.029,0,0
3.3748,0.015526,1.5541,10.102,0,0
3.3891,0.015209,1.5654,10.175,0,0
3.4037,0.01489,1.5766,10.248,0,0
3.4176,0.014595,1.5879,10.321,0,0
3.4313,0.014313,1.5991,10.394,0,0
