"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,          59,      -1.346915874,       1.564988185,       1.324735987,        4.27448049,       1.825026685,       3.129085765
          0,           0,          60,      -1.365015374,        1.56123635,       1.281302415,       4.249319942,       1.816592117,       3.146864437
          0,           0,          61,      -1.389119696,        1.55959759,       1.235783617,       4.235998302,       1.808496675,       3.173694533
          0,           0,          62,      -1.351281839,       1.566716809,       1.389899987,       4.253355326,       1.806068936,       3.145205273
          0,           0,          63,      -1.249012745,       1.576205196,       1.589065822,       4.359082043,       1.800409781,       3.105459185
          0,           0,          64,      -1.237139837,       1.576401191,       1.526191212,       4.366074908,       1.789523746,       3.229243434
          0,           0,          65,      -1.324451826,        1.56619995,        1.39637917,       4.282628619,       1.781086389,       3.303539344
          0,           0,          66,      -1.343444328,       1.566736137,       1.368992309,       4.263621971,        1.77898056,       3.219516282
          0,           0,          67,      -1.352330027,       1.565449748,       1.326131511,       4.287424928,       1.772935736,       3.138797981
          0,           0,          68,      -1.367670861,       1.559756631,        1.28373605,       4.248681674,       1.764284921,       3.145024029
          0,           0,          69,      -1.376517459,       1.555565981,        1.24912858,       4.230023788,       1.758797101,       3.170394455
          0,           0,          70,      -1.368309355,       1.554334164,       1.372342946,       4.263515981,       1.755587031,       3.142461208
          0,           0,          71,      -1.274452904,       1.557277029,       1.564334261,       4.322646325,       1.755017551,       3.113088133
          0,           0,          72,      -1.215657486,       1.591302457,       1.549220495,       4.372358306,       1.759120683,       3.230591775
          0,           0,          73,      -1.286770567,       1.584665377,       1.455529552,       4.327328775,       1.756000639,       3.299345608
          0,           0,          74,      -1.332954796,       1.566254809,       1.380542238,       4.275869125,        1.75019651,       3.210690994
          0,           0,          75,      -1.337097886,         1.5640479,       1.336329404,       4.285014543,       1.750565461,       3.132664226
          0,           0,          76,      -1.323095981,       1.568731954,       1.366349789,       4.301852232,       1.760330197,       3.150580331
          0,           0,          77,      -1.343625522,       1.564170492,       1.329330842,       4.278817003,       1.761369221,       3.185722848
          0,           0,          78,      -1.320645364,       1.571152427,       1.432556189,       4.299868414,       1.760452397,       3.177891237
          0,           0,          79,      -1.266241727,       1.563115017,       1.577125179,       4.346230266,       1.756607198,       3.134554229
          0,           0,          80,      -1.264545438,       1.556247124,         1.4985891,       4.328119557,       1.751018976,       3.215648889
          0,           0,          81,      -1.330835658,       1.553658365,       1.395728113,       4.286145445,       1.748144623,        3.28243098
          0,           0,          82,      -1.323061402,       1.566073619,       1.401658099,       4.304791276,       1.757144113,       3.202073463
          0,           0,          83,      -1.346689801,       1.562271294,       1.337686324,       4.280412053,       1.755257499,       3.122723716
          0,           0,          84,      -1.327744562,       1.572237307,       1.363110818,       4.303130782,       1.750179228,       3.147764269
          0,           0,          85,      -1.348682427,       1.561407343,        1.31975407,       4.292258046,       1.741572855,       3.197512294
          0,           0,          86,       -1.34267212,       1.556195377,       1.405834345,       4.273202331,       1.732177144,       3.194976569
          0,           0,          87,      -1.278830403,       1.559214304,       1.566478112,       4.327642564,       1.725770619,       3.150256846
          0,           0,          88,      -1.252552889,       1.567763081,       1.516473194,       4.348879548,       1.733398867,       3.215836378
          0,           0,          89,      -1.318775734,       1.567041605,        1.42449678,       4.293985141,         1.7289199,       3.277030902
