,Index,x,y
0,0,-20.519714992186408,6.269804274348967
1,1,-20.392325744521976,6.205277646452284
2,2,-20.26463079514469,6.141358118671185
3,3,-20.13663303729664,6.078047139259251
4,4,-20.00833537108079,6.015346142681906
5,5,-19.87974070339525,5.9532565495839265
6,6,-19.75085194786744,5.891779766757249
7,7,-19.62167202478805,5.830917187109073
8,8,-19.4922038610449,5.770670189630341
9,9,-19.362450390056598,5.711040139364446
10,10,-19.23241455170607,5.652028387376362
11,11,-19.102099292274005,5.593636270721969
12,12,-18.971507564372036,5.535865112417817
13,13,-18.84064232687586,5.478716221411098
14,14,-18.70950654485824,5.422190892550031
15,15,-18.57810318952174,5.366290406554494
16,16,-18.44643523813149,5.311016029987027
17,17,-18.314505673947707,5.256369015224131
18,18,-18.182317486158013,5.202350600427863
19,19,-18.04987366980984,5.1489620095178275
20,20,-17.917177225742513,5.096204452143425
21,21,-17.784231160519244,5.044079123656434
22,22,-17.65103848635902,4.99258720508395
23,23,-17.51760222106837,4.94172986310161
24,24,-17.383925387972962,4.891508250007153
25,25,-17.250011015849132,4.841923503694332
26,26,-17.115862138855235,4.792976747627122
27,27,-16.981481796462916,4.744669090814263
28,28,-16.846873033388224,4.697001627784129
29,29,-16.712038899522657,4.649975438559949
30,30,-16.576982449864026,4.603591588635304
31,31,-16.441706744447252,4.557851128950016
32,32,-16.30621484827504,4.512755095866325
33,33,-16.170509831248427,4.468304511145394
34,34,-16.034594768097215,4.424500381924187
35,35,-15.898472738310325,4.3813437006926215
36,36,-15.762146826066006,4.338835445271098
37,37,-15.625620120161974,4.29697657878835
38,38,-15.488895713945414,4.255768049659597
39,39,-15.351976705242892,4.215210791565077
40,40,-15.214866196290174,4.175305723428895
41,41,-15.077567293661936,4.136053749398183
42,42,-14.940083108201366,4.09745575882263
43,43,-14.802416754949698,4.059512626234326
44,44,-14.66457135307562,4.0222252113279495
45,45,-14.526550025804603,3.9855943589412846
46,46,-14.388355900348143,3.949620899036084
47,47,-14.249992107832906,3.91430564667926
48,48,-14.111461783229768,3.879649402024423
49,49,-13.97276806528281,3.845652950293747
50,50,-13.833914096438184,3.8123170617601794
51,51,-13.694903022772948,3.779642491729998
52,52,-13.555737993923676,3.747629980525666
53,53,-13.416422163015248,3.716280253469101
54,54,-13.276958686589314,3.685594020865217
55,55,-13.137350724532794,3.655571977985833
56,56,-12.997601440006282,3.626214805053923
57,57,-12.857713999372375,3.5975231672282
58,58,-12.717691572123949,3.5694977145880493
59,59,-12.577537330812318,3.5421390821188012
60,60,-12.437254450975374,3.5154478896973345
61,61,-12.296846111065626,3.4894247420780395
62,62,-12.156315492378194,3.464070228879116
63,63,-12.015665778978722,3.439384924569211
64,64,-11.874900157631233,3.4153693884544047
65,65,-11.734021817725928,3.392024164665532
66,66,-11.59303395120693,3.3693497821458713
67,67,-11.451939752499952,3.3473467546391262
68,68,-11.310742418439926,3.326015580677833
69,69,-11.169445148198555,3.3053567435720197
70,70,-11.028051143211863,3.2853707113982793
71,71,-10.886563607107622,3.2660579369891636
72,72,-10.744985745632784,3.24741885792292
73,73,-10.603320766580842,3.2294538965135686
74,74,-10.461571879719155,3.212163459801353
75,75,-10.319742296716218,3.195547939543495
76,76,-10.177835231068892,3.1796077122053354
77,77,-10.0358538980296,3.1643431389517964
78,78,-9.893801514533475,3.1497545656392134
79,79,-9.751681299125476,3.135842322807463
80,80,-9.609496471887446,3.122606725672508
81,81,-9.467250254365188,3.1100480741192555
82,82,-9.324945869495458,3.09816665269474
83,83,-9.18258654153287,3.0869627306016802
84,84,-9.040175495976989,3.076436561692393
85,85,-8.89771595949913,3.0665883844630493
86,86,-8.755211159869303,3.0574184220482366
87,87,-8.612664325883054,3.0489268822159303
88,88,-8.47007868728833,3.0411139573627857
89,89,-8.327457474712283,3.0339798245097604
90,90,-8.184803919588086,3.0275246452981293
