,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,s,Z
38,7.4393,1895000.0,0.36998,1020.2,-5.6708,0,730020.0,8.9382e+18,330.41,,2.7778,-5.3222,0,0,3710.735526099033,0.999984005405005
39,7.4188,1890600.0,0.37748,1037.4,-5.6217,0,727220.0,8.8983e+18,330.04,,2.8509,-5.2491,0,0,3710.723146730037,1.0000210073663023
40,7.3979,1886100.0,0.38507,1054.7,-5.5698,0,724360.0,8.8577e+18,329.67,,2.924,-5.176,0,0,3710.7281601220807,1.0000233165453605
41,7.3756,1881300.0,0.39302,1072.5,-5.5119,0,721300.0,8.8143e+18,329.28,,2.9971,-5.1029,0,0,3710.7458813993067,0.999992572222093
42,7.3527,1876300.0,0.40109,1090.5,-5.4564,0,718170.0,8.7698e+18,328.87,,3.0702,-5.0298,0,0,3710.74435787154,0.9999993213965089
43,7.3287,1871100.0,0.4094,1108.7,-5.4049,0,714900.0,8.7233e+18,328.44,,3.1433,-4.9567,0,0,3710.7439237264684,1.0000134933755223
44,7.3039,1865700.0,0.41787,1127.0,-5.3562,0,711500.0,8.6751e+18,327.99,,3.2164,-4.8836,0,0,3710.732656419993,1.0000069855484461
45,7.2784,1860200.0,0.42645,1145.4,-5.3094,0,708030.0,8.6259e+18,327.54,,3.2895,-4.8105,0,0,3710.7519782020486,0.9999883630691937
46,7.2522,1854600.0,0.43518,1163.7,-5.2855,0,704470.0,8.5752e+18,327.06,,3.3626,-4.7374,0,0,3710.7341062058376,1.0000203760110113
47,7.2259,1848900.0,0.44393,1182.1,-5.1861,0,700880.0,8.5243e+18,326.58,,3.4357,-4.6643,0,0,3710.722621459813,1.000013093234437
48,7.1988,1843300.0,0.45313,1201.1,-3.7853,0,697220.0,8.4723e+18,326.1,,3.5088,-4.5912,0,0,3710.746470872413,1.0000057113432528
49,7.1665,1836400.0,0.46359,1222.3,-3.3996,0,692850.0,8.4103e+18,325.52,,3.5819,-4.5181,0,0,3710.7602835491793,0.9999953716603046
50,7.1326,1828900.0,0.47392,1242.4,-3.1612,0,688270.0,8.3452e+18,324.9,,3.655,-4.445,0,0,3710.752981358225,1.0000110760376524
51,7.0991,1821600.0,0.48449,1262.9,-3.0637,0,683710.0,8.2804e+18,324.27,,3.7281,-4.3719,0,0,3710.710052218065,1.0000124738227925
52,7.0639,1813900.0,0.49516,1283.1,-2.9766,0,678960.0,8.2131e+18,323.63,,3.8012,-4.2988,0,0,3710.719459136211,0.999987161074172
53,7.0282,1806100.0,0.50592,1303.0,-2.9331,0,674140.0,8.1446e+18,322.96,,3.8743,-4.2257,0,0,3710.685497461549,1.0000018405943631
54,6.9913,1798100.0,0.51691,1322.9,-2.8986,0,669170.0,8.074e+18,322.27,,3.9474,-4.1526,0,0,3710.6608987344453,1.0000050562190588
55,6.9526,1789600.0,0.52821,1342.8,-2.8342,0,663980.0,8.0003e+18,321.55,,4.0205,-4.0795,0,0,3710.648781510942,1.000006425822188
56,6.9123,1780800.0,0.53974,1362.6,-2.8036,0,658590.0,7.9237e+18,320.8,,4.0936,-4.0064,0,0,3710.6414502230427,1.0000040169614282
57,6.8707,1771700.0,0.55142,1382.0,-2.752,0,653060.0,7.8452e+18,320.03,,4.1667,-3.9333,0,0,3710.649945470461,1.0000114141856522
58,6.8279,1762200.0,0.56327,1401.2,-2.7167,0,647370.0,7.7645e+18,319.23,,4.2398,-3.8602,0,0,3710.6474494487697,1.0000121360989027
59,6.7838,1752500.0,0.57533,1420.1,-2.6722,0,641530.0,7.6816e+18,318.41,,4.3129,-3.7871,0,0,3710.6622336042037,1.0000018111017477
60,6.7386,1742500.0,0.58758,1438.7,-2.6269,0,635560.0,7.5967e+18,317.56,,4.386,-3.714,0,0,3710.6629819164305,1.0000106751847622
61,6.6923,1732300.0,0.60004,1457.1,-2.5755,0,629450.0,7.5099e+18,316.68,,4.4591,-3.6409,0,0,3710.650251030323,1.0000201505243926
