,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Ptot,Z
0,7.7531,1963600.0,0.24131,698.91,0.68013,0,772850.0,9.5463e+18,335.63,,0.0,-8.1,0,0,805040.7930888787,1.0004960392582374
1,7.7509,1963100.0,0.24208,700.91,0.23478,0,772570.0,9.5423e+18,335.6,,0.0731,-8.0269,0,0,804957.7563073243,1.000494661350695
2,7.7488,1962600.0,0.24285,702.9,-0.21057,0,772280.0,9.5382e+18,335.57,,0.1462,-7.9538,0,0,804864.8452986395,1.0004932761116958
3,7.7466,1962100.0,0.24362,704.9,-0.65591,0,772000.0,9.5342e+18,335.54,,0.2193,-7.8807,0,0,804782.9074859769,1.0004918989953397
4,7.7444,1961500.0,0.24439,706.9,-1.1013,0,771710.0,9.5301e+18,335.51,,0.2924,-7.8076,0,0,804691.089168406,1.0004905145796081
5,7.7423,1961000.0,0.24516,708.9,-1.5466,0,771430.0,9.5261e+18,335.48,,0.3655,-7.7345,0,0,804610.2487038356,1.0004891382557237
6,7.7401,1960500.0,0.24593,710.9,-1.992,0,771140.0,9.522e+18,335.45,,0.4386,-7.6614,0,0,804519.521405882,1.0004877546645723
7,7.7376,1959900.0,0.24684,713.28,-2.4377,0,770820.0,9.5174e+18,335.42,,0.5117,-7.5883,0,0,804436.7203913808,1.0004863485732036
8,7.7337,1959100.0,0.24847,717.54,-2.8851,0,770310.0,9.5102e+18,335.37,,0.5848,-7.5152,0,0,804356.3375666569,1.0004840239998685
9,7.7298,1958200.0,0.25009,721.8,-3.3325,0,769790.0,9.5029e+18,335.31,,0.6579,-7.4421,0,0,804265.2651455993,1.0004813060008935
10,7.7259,1957300.0,0.25172,726.06,-3.7799,0,769280.0,9.4956e+18,335.26,,0.731,-7.369,0,0,804189.9618959768,1.0004789840722332
11,7.722,1956500.0,0.25334,730.32,-4.2273,0,768770.0,9.4884e+18,335.2,,0.8041,-7.2959,0,0,804114.3804130068,1.0004762762443256
12,7.7181,1955600.0,0.25497,734.58,-4.6747,0,768260.0,9.4811e+18,335.15,,0.8772,-7.2228,0,0,804044.1519813072,1.0004739569413847
13,7.7142,1954800.0,0.25659,738.84,-5.1221,0,767750.0,9.4738e+18,335.09,,0.9503,-7.1497,0,0,803973.6053760436,1.0004712516787329
14,7.7098,1953800.0,0.25848,743.76,-5.5325,0,767150.0,9.4654e+18,335.03,,1.0234,-7.0766,0,0,803889.2157531815,1.0004684807556967
15,7.7039,1952500.0,0.26097,750.21,-5.8586,0,766370.0,9.4543e+18,334.94,,1.0965,-7.0035,0,0,803794.2246941086,1.0004644164514287
16,7.6981,1951200.0,0.26345,756.66,-6.1847,0,765590.0,9.4431e+18,334.85,,1.1696,-6.9304,0,0,803702.1988212275,1.0004603551296383
17,7.6922,1949900.0,0.26594,763.11,-6.5107,0,764800.0,9.432e+18,334.77,,1.2427,-6.8573,0,0,803608.467502241,1.000456677026269
18,7.6864,1948600.0,0.26843,769.57,-6.8368,0,764020.0,9.4209e+18,334.68,,1.3158,-6.7842,0,0,803531.1381190587,1.0004526218172576
19,7.6805,1947300.0,0.27091,776.02,-7.1629,0,763240.0,9.4098e+18,334.59,,1.3889,-6.7111,0,0,803456.6666765853,1.0004485696132297
20,7.6747,1946000.0,0.2734,782.47,-7.489,0,762460.0,9.3987e+18,334.5,,1.462,-6.638,0,0,803391.0642106346,1.000444520421811
21,7.6682,1944600.0,0.27643,790.36,-7.5482,0,761560.0,9.3859e+18,334.39,,1.5351,-6.5649,0,0,803371.0197417656,1.0004396133656765
22,7.6608,1943100.0,0.28028,800.39,-7.2111,0,760490.0,9.3708e+18,334.24,,1.6082,-6.4918,0,0,803435.9899938038,1.0004330386048303
23,7.6534,1941500.0,0.28412,810.42,-6.8741,0,759430.0,9.3557e+18,334.1,,1.6813,-6.4187,0,0,803522.7667040313,1.0004268638985077
24,7.646,1939900.0,0.28797,820.45,-6.537,0,758360.0,9.3405e+18,333.95,,1.7544,-6.3456,0,0,803616.4870841475,1.0004202989331286
25,7.6339,1937200.0,0.29264,832.13,-6.4795,0,756720.0,9.3173e+18,333.76,,1.8275,-6.2725,0,0,803386.0790108753,1.0004117976953355
26,7.6214,1934400.0,0.29738,843.96,-6.4467,0,755040.0,9.2933e+18,333.56,,1.9006,-6.1994,0,0,803155.9517562055,1.0004028945441201
27,7.6089,1931500.0,0.30212,855.79,-6.4139,0,753350.0,9.2694e+18,333.36,,1.9737,-6.1263,0,0,802935.3048018042,1.0003939989928292
28,7.5966,1928800.0,0.30683,867.53,-6.2916,0,751700.0,9.246e+18,333.17,,2.0468,-6.0532,0,0,802767.1879634404,1.000385532901495
29,7.5847,1926200.0,0.31151,879.13,-6.0534,0,750110.0,9.2233e+18,332.99,,2.1199,-5.9801,0,0,802672.7499089872,1.0003775082753046
30,7.5726,1923700.0,0.31683,892.42,-5.9619,0,748430.0,9.1995e+18,332.77,,2.193,-5.907,0,0,802726.1142572095,1.000367882427844
31,7.5605,1921100.0,0.32245,906.5,-5.9386,0,746720.0,9.1752e+18,332.54,,2.2661,-5.8339,0,0,802880.4042663847,1.0003578618354656
32,7.5441,1917600.0,0.32911,922.79,-5.9315,0,744470.0,9.1432e+18,332.26,,2.3392,-5.7608,0,0,802859.9847003995,1.000345581148378
33,7.5274,1914000.0,0.33584,939.2,-5.9386,0,742160.0,9.1105e+18,331.97,,2.4123,-5.6877,0,0,802840.2083810645,1.0003329007243127
34,7.5101,1910200.0,0.34257,955.34,-6.0048,0,739780.0,9.0767e+18,331.66,,2.4854,-5.6146,0,0,802784.4357710261,1.00031942607242
35,7.4928,1906500.0,0.34934,971.53,-6.055,0,737380.0,9.0426e+18,331.35,,2.5585,-5.5415,0,0,802761.611919325,1.0003059687291467
36,7.4753,1902700.0,0.35619,987.8,-6.0834,0,734970.0,9.0083e+18,331.04,,2.6316,-5.4684,0,0,802798.821740202,1.0002925352747356
37,7.4568,1898700.0,0.36326,1004.4,-6.1082,0,732420.0,8.9721e+18,330.71,,2.7047,-5.3953,0,0,802810.9622189247,1.0002782758047575
38,7.4377,1894600.0,0.37046,1021.2,-6.1312,0,729790.0,8.9349e+18,330.37,,2.7778,-5.3222,0,0,802830.4010416566,1.0002636179613154
39,7.417,1890100.0,0.378,1038.5,-6.1548,0,726960.0,8.8947e+18,330.01,,2.8509,-5.2491,0,0,802813.5156594663,1.0002481158229737
