,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,Z
860,0.75618,215150.0,1.5351,359.59,1.2422,0,51859.0,-6.9215e+17,230.88,,62.866,54.766,0,0,183992.31699408655,0.999389223743668
861,0.75158,213960.0,1.5401,358.23,1.2419,0,51433.0,-6.982e+17,230.39,,62.939,54.839,0,0,183478.75362390012,0.9993882415012786
862,0.74699,212760.0,1.5452,356.86,1.2415,0,51007.0,-7.0425e+17,229.91,,63.012,54.912,0,0,182972.05269996327,0.9993874321648283
863,0.74385,211940.0,1.5488,355.92,1.2398,0,50715.0,-7.0839e+17,229.56,,63.085,54.985,0,0,182637.71329125276,0.9993866490648926
864,0.74127,211270.0,1.5519,355.16,1.2375,0,50475.0,-7.118e+17,229.26,,63.158,55.058,0,0,182386.0167392543,0.9993858720499811
865,0.73869,210600.0,1.5549,354.39,1.2352,0,50235.0,-7.152e+17,228.97,,63.231,55.132,0,0,182110.07846679626,0.9993852342816527
866,0.73611,209930.0,1.558,353.62,1.2329,0,49995.0,-7.1861e+17,228.67,,63.305,55.205,0,0,181849.39597841562,0.9993844902202373
867,0.73353,209260.0,1.5611,352.85,1.2307,0,49755.0,-7.2202e+17,228.38,,63.378,55.278,0,0,181584.16938896742,0.9993838857595878
868,0.73095,208580.0,1.5642,352.08,1.2284,0,49515.0,-7.2543e+17,228.08,,63.451,55.351,0,0,181314.37162718404,0.9993831752602983
869,0.72916,208130.0,1.5666,351.59,1.2471,0,49344.0,-7.2787e+17,227.85,,63.524,55.424,0,0,181156.70993348758,0.9993824795597053
870,0.7286,207990.0,1.568,351.54,1.2979,0,49275.0,-7.2884e+17,227.71,,63.597,55.497,0,0,181176.66492582782,0.9993816204987181
871,0.72803,207860.0,1.5695,351.48,1.3487,0,49207.0,-7.2981e+17,227.57,,63.67,55.57,0,0,181219.3254936541,0.999380749595086
872,0.72746,207730.0,1.5709,351.42,1.3995,0,49138.0,-7.3078e+17,227.43,,63.743,55.643,0,0,181238.26929714138,0.9993798919572686
873,0.7269,207600.0,1.5724,351.36,1.4503,0,49070.0,-7.3175e+17,227.29,,63.816,55.716,0,0,181279.91206559696,0.9993790224172546
874,0.72633,207460.0,1.5738,351.3,1.5011,0,49002.0,-7.3272e+17,227.15,,63.889,55.789,0,0,181301.53990006074,0.9993781535493689
875,0.72579,207340.0,1.5752,351.25,1.5511,0,48936.0,-7.3366e+17,227.02,,63.963,55.862,0,0,181330.08596707994,0.9993773836574813
876,0.72608,207400.0,1.5746,351.29,1.5669,0,48967.0,-7.3322e+17,227.07,,64.036,55.936,0,0,181327.95958250205,0.9993776083908116
877,0.72637,207470.0,1.574,351.34,1.5827,0,48998.0,-7.3277e+17,227.12,,64.109,56.009,0,0,181325.7329384234,0.9993778333807252
878,0.72667,207530.0,1.5733,351.38,1.5986,0,49029.0,-7.3233e+17,227.18,,64.182,56.082,0,0,181303.90243745345,0.9993781822432799
879,0.72696,207600.0,1.5727,351.43,1.6144,0,49060.0,-7.3189e+17,227.23,,64.255,56.155,0,0,181301.47120828915,0.9993784077178193
880,0.72726,207660.0,1.5721,351.47,1.6302,0,49092.0,-7.3144e+17,227.28,,64.328,56.228,0,0,181302.63334464966,0.999378620805579
881,0.72755,207730.0,1.5715,351.51,1.6461,0,49123.0,-7.31e+17,227.33,,64.401,56.301,0,0,181299.99990568124,0.9993788468026366
882,0.72827,207890.0,1.5705,351.69,1.5743,0,49188.0,-7.3008e+17,227.41,,64.474,56.374,0,0,181344.54756899257,0.9993790147445248
883,0.72922,208110.0,1.5692,351.93,1.4553,0,49271.0,-7.2889e+17,227.5,,64.547,56.447,0,0,181396.3596910458,0.9993790809027752
884,0.73017,208320.0,1.568,352.18,1.3364,0,49355.0,-7.2771e+17,227.58,,64.62,56.52,0,0,181470.7799809204,0.9993790129716849
