,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Ptot,Z
39,7.4176,1890300.0,0.37801,1038.6,-6.0987,0,727030.0,8.8957e+18,330.02,,2.8509,-5.2491,0,0,802895.0122139957,1.0002485417939622
40,7.3964,1885700.0,0.38567,1056.0,-6.1238,0,724140.0,8.8546e+18,329.64,,2.924,-5.176,0,0,802909.4513609265,1.0002322675510764
41,7.3739,1880900.0,0.39365,1073.9,-6.1295,0,721060.0,8.8108e+18,329.24,,2.9971,-5.1029,0,0,802898.051193665,1.0002151679816087
42,7.3507,1875900.0,0.40179,1092.0,-6.1063,0,717890.0,8.7658e+18,328.83,,3.0702,-5.0298,0,0,802907.0972232705,1.0001976885553512
43,7.3265,1870600.0,0.41018,1110.4,-6.0359,0,714590.0,8.719e+18,328.4,,3.1433,-4.9567,0,0,802934.2744682519,1.0001794247652522
44,7.3011,1865100.0,0.41881,1129.1,-6.0227,0,711120.0,8.6697e+18,327.94,,3.2164,-4.8836,0,0,802933.7746050397,1.0001599744052196
45,7.2748,1859400.0,0.42762,1147.9,-6.0472,0,707540.0,8.6188e+18,327.47,,3.2895,-4.8105,0,0,802948.7102618798,1.0001401582955645
46,7.2469,1853400.0,0.43677,1167.0,-6.0119,0,703750.0,8.5651e+18,326.97,,3.3626,-4.7374,0,0,802943.3820277357,1.0001191619241916
47,7.2186,1847200.0,0.44601,1186.2,-5.968,0,699910.0,8.5105e+18,326.46,,3.4357,-4.6643,0,0,802985.1069595171,1.0000978366548146
48,7.1883,1840600.0,0.4556,1205.5,-5.9982,0,695800.0,8.4522e+18,325.91,,3.5088,-4.5912,0,0,802949.2719564874,1.0000749411035852
49,7.1576,1833900.0,0.46527,1224.8,-5.9907,0,691650.0,8.3932e+18,325.36,,3.5819,-4.5181,0,0,802970.6746768571,1.0000521354137173
50,7.126,1827100.0,0.47513,1244.1,-5.8836,0,687380.0,8.3326e+18,324.78,,3.655,-4.445,0,0,803012.9813340679,1.0000282146284571
51,7.0941,1820100.0,0.48505,1263.2,-5.7966,0,683060.0,8.2712e+18,324.19,,3.7281,-4.3719,0,0,803092.4634503698,1.0000039956572255
52,7.0618,1813100.0,0.49503,1282.2,-5.7309,0,678680.0,8.209e+18,323.59,,3.8012,-4.2988,0,0,803196.9552242655,0.9999794826702333
53,7.0293,1806100.0,0.50486,1300.5,-4.423,0,674320.0,8.1472e+18,323.0,,3.8743,-4.2257,0,0,803307.1276183949,0.9999554892833976
54,6.9941,1798600.0,0.51555,1320.1,-3.4183,0,669620.0,8.0804e+18,322.36,,3.9474,-4.1526,0,0,803544.5200261694,0.9999295980940444
55,6.953,1789600.0,0.52739,1340.9,-3.066,0,664140.0,8.0025e+18,321.61,,4.0205,-4.0795,0,0,803557.0255059089,0.9998994352846269
56,6.9117,1780600.0,0.53921,1361.2,-2.8999,0,658620.0,7.9241e+18,320.84,,4.0936,-4.0064,0,0,803587.9748781048,0.9998686630501916
57,6.8704,1771500.0,0.55097,1380.9,-2.8099,0,653100.0,7.8458e+18,320.07,,4.1667,-3.9333,0,0,803659.2463644996,0.9998380903409235
58,6.8278,1762200.0,0.56288,1400.2,-2.7515,0,647430.0,7.7653e+18,319.27,,4.2398,-3.8602,0,0,803706.1927008047,0.9998065314940897
59,6.7837,1752500.0,0.57499,1419.3,-2.7021,0,641590.0,7.6823e+18,318.44,,4.3129,-3.7871,0,0,803732.2061442265,0.9997740108411731
60,6.7384,1742400.0,0.58729,1438.0,-2.6538,0,635600.0,7.5972e+18,317.59,,4.386,-3.714,0,0,803754.976694217,0.999740954498733
61,6.6919,1732200.0,0.59977,1456.4,-2.6014,0,629470.0,7.5102e+18,316.71,,4.4591,-3.6409,0,0,803779.5697154787,0.9997069764183397
62,6.6444,1721600.0,0.61243,1474.5,-2.5425,0,623210.0,7.4213e+18,315.81,,4.5322,-3.5678,0,0,803817.0707243573,0.9996725043163663
63,6.5958,1710900.0,0.62528,1492.3,-2.4769,0,616830.0,7.3307e+18,314.88,,4.6053,-3.4947,0,0,803885.3147503423,0.9996371483283402
64,6.5462,1699900.0,0.63829,1509.6,-2.4082,0,610330.0,7.2384e+18,313.92,,4.6784,-3.4216,0,0,803962.8460066944,0.9996009299479085
65,6.4954,1688600.0,0.65148,1526.4,-2.3377,0,603690.0,7.1442e+18,312.93,,4.7515,-3.3485,0,0,804033.6681110967,0.999563883977921
66,6.4435,1677000.0,0.66482,1542.7,-2.2652,0,596940.0,7.0483e+18,311.93,,4.8246,-3.2754,0,0,804113.9259809632,0.9995268464703624
67,6.3904,1665200.0,0.6783,1558.4,-2.1896,0,590060.0,6.9506e+18,310.89,,4.8977,-3.2023,0,0,804165.6977414276,0.9994886184295797
68,6.3363,1653100.0,0.69191,1573.5,-2.1094,0,583070.0,6.8513e+18,309.83,,4.9708,-3.1292,0,0,804203.8920762262,0.9994500423141369
69,6.2811,1640700.0,0.70566,1588.0,-2.0241,0,575980.0,6.7506e+18,308.75,,5.0439,-3.0561,0,0,804244.3407385316,0.9994111401625069
70,6.2249,1628100.0,0.71953,1601.9,-1.933,0,568780.0,6.6484e+18,307.65,,5.117,-2.983,0,0,804253.0888300468,0.9993719522971369
71,6.1679,1615200.0,0.73353,1615.1,-1.8381,0,561500.0,6.545e+18,306.52,,5.1901,-2.9099,0,0,804273.8805095844,0.9993320618605845
72,6.11,1602200.0,0.74764,1627.7,-1.7386,0,554140.0,6.4405e+18,305.37,,5.2632,-2.8368,0,0,804286.1330381411,0.9992919152846067
73,6.0514,1588900.0,0.76186,1639.6,-1.6346,0,546710.0,6.3351e+18,304.19,,5.3363,-2.7637,0,0,804298.08347689,0.9992511087200802
74,5.9921,1575500.0,0.77619,1650.8,-1.5275,0,539220.0,6.2287e+18,302.99,,5.4094,-2.6906,0,0,804318.1842734821,0.9992100783686159
75,5.932,1561800.0,0.79064,1661.3,-1.419,0,531680.0,6.1215e+18,301.78,,5.4825,-2.6175,0,0,804363.1594942736,0.9991692635340534
76,5.8714,1548000.0,0.80517,1671.1,-1.3101,0,524080.0,6.0137e+18,300.54,,5.5556,-2.5444,0,0,804379.676903501,0.999127858716018
77,5.8103,1534100.0,0.8198,1680.2,-1.2009,0,516450.0,5.9053e+18,299.28,,5.6287,-2.4713,0,0,804422.4883524126,0.9990862703121509
78,5.7486,1520000.0,0.8345,1688.6,-1.0928,0,508790.0,5.7965e+18,298.0,,5.7018,-2.3982,0,0,804460.6750562603,0.9990445228882896
79,5.6865,1505700.0,0.84929,1696.2,-0.98677,0,501100.0,5.6873e+18,296.7,,5.7749,-2.3251,0,0,804503.4628909341,0.999002642499518
80,5.6239,1491400.0,0.86414,1703.1,-0.88016,0,493390.0,5.5778e+18,295.39,,5.848,-2.252,0,0,804534.3524795944,0.9989610687148456
81,5.5609,1476900.0,0.87908,1709.3,-0.77373,0,485670.0,5.4681e+18,294.06,,5.9211,-2.1789,0,0,804587.7595074214,0.9989193771994208
82,5.4976,1462200.0,0.89408,1714.7,-0.66794,0,477930.0,5.3583e+18,292.71,,5.9942,-2.1058,0,0,804614.0233386249,0.9988776139740532
83,5.4339,1447500.0,0.90915,1719.4,-0.56315,0,470190.0,5.2484e+18,291.34,,6.0673,-2.0327,0,0,804647.339320389,0.9988357607196656
84,5.3699,1432700.0,0.92429,1723.4,-0.45926,0,462450.0,5.1384e+18,289.96,,6.1404,-1.9596,0,0,804680.3105996008,0.9987942778470982
85,5.3056,1417700.0,0.93949,1726.6,-0.35483,0,454710.0,5.0285e+18,288.57,,6.2135,-1.8865,0,0,804696.150571337,0.9987531939847726
86,5.241,1402700.0,0.95477,1729.0,-0.25882,0,446980.0,4.9188e+18,287.15,,6.2866,-1.8134,0,0,804722.6720130043,0.9987116306296241
87,5.1762,1387500.0,0.97012,1730.8,-0.16024,0,439260.0,4.8091e+18,285.72,,6.3597,-1.7403,0,0,804743.1708129218,0.998670490367858
88,5.1112,1372300.0,0.98557,1731.8,-0.060956,0,431550.0,4.6996e+18,284.28,,6.4328,-1.6672,0,0,804777.4253758428,0.9986298021879683
89,5.0458,1356900.0,1.0011,1732.2,0.039251,0,423840.0,4.5902e+18,282.82,,6.5059,-1.5941,0,0,804779.8964274346,0.9985891838766568
90,4.9803,1341500.0,1.0167,1731.8,0.13875,0,416150.0,4.481e+18,281.34,,6.579,-1.521,0,0,804765.2742149853,0.9985486003529545
