,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Ptot,Z
0,7.753,1963600.0,0.24134,698.99,0.67411,0,772840.0,9.5461e+18,335.63,,0.0,-8.1,0,0,805038.4938403111,1.0004960315078102
1,7.7508,1963100.0,0.24211,700.99,0.22809,0,772550.0,9.5421e+18,335.6,,0.0731,-8.0269,0,0,804945.0561232795,1.0004946458812545
2,7.7487,1962600.0,0.24288,703.0,-0.21794,0,772270.0,9.538e+18,335.57,,0.1462,-7.9538,0,0,804862.589366537,1.0004932683926886
3,7.7465,1962000.0,0.24366,705.0,-0.66396,0,771980.0,9.534e+18,335.54,,0.2193,-7.8807,0,0,804772.9765864614,1.0004918835887644
4,7.7443,1961500.0,0.24443,707.01,-1.11,0,771700.0,9.53e+18,335.51,,0.2924,-7.8076,0,0,804691.6160895972,1.0004905068920464
5,7.7422,1961000.0,0.2452,709.01,-1.556,0,771420.0,9.5259e+18,335.48,,0.3655,-7.7345,0,0,804610.8054237864,1.0004891305838772
6,7.74,1960500.0,0.24597,711.01,-2.002,0,771130.0,9.5219e+18,335.45,,0.4386,-7.6614,0,0,804520.1077698175,1.0004877470084816
7,7.7375,1959900.0,0.24689,713.4,-2.4477,0,770810.0,9.5173e+18,335.42,,0.5117,-7.5883,0,0,804440.1076966048,1.000486340932979
8,7.7336,1959000.0,0.24852,717.67,-2.8918,0,770300.0,9.51e+18,335.37,,0.5848,-7.5152,0,0,804359.8065341301,1.0004840163860207
9,7.7297,1958200.0,0.25014,721.93,-3.3359,0,769780.0,9.5027e+18,335.31,,0.6579,-7.4421,0,0,804268.8149925997,1.0004812984184042
10,7.7258,1957300.0,0.25177,726.19,-3.78,0,769270.0,9.4955e+18,335.26,,0.731,-7.369,0,0,804193.5932885179,1.0004789765161601
11,7.7219,1956500.0,0.2534,730.46,-4.2241,0,768760.0,9.4882e+18,335.2,,0.8041,-7.2959,0,0,804120.9282346781,1.0004762687196234
12,7.718,1955600.0,0.25502,734.72,-4.6682,0,768250.0,9.4809e+18,335.15,,0.8772,-7.2228,0,0,804047.945741712,1.000473949443138
13,7.7141,1954700.0,0.25665,738.99,-5.1123,0,767730.0,9.4737e+18,335.1,,0.9503,-7.1497,0,0,803969.86508753,1.00047162401364
14,7.7096,1953700.0,0.25854,743.91,-5.5192,0,767140.0,9.4652e+18,335.03,,1.0234,-7.0766,0,0,803896.075087901,1.0004684733206224
15,7.7037,1952500.0,0.26102,750.36,-5.841,0,766360.0,9.4541e+18,334.94,,1.0965,-7.0035,0,0,803798.3174833439,1.0004644090636192
16,7.6979,1951200.0,0.26351,756.8,-6.1629,0,765570.0,9.443e+18,334.86,,1.1696,-6.9304,0,0,803698.8470299005,1.0004607278872404
17,7.692,1949900.0,0.26599,763.25,-6.4847,0,764790.0,9.4319e+18,334.77,,1.2427,-6.8573,0,0,803612.8073193375,1.0004566697282304
18,7.6862,1948600.0,0.26848,769.69,-6.8066,0,764010.0,9.4208e+18,334.68,,1.3158,-6.7842,0,0,803535.6016320346,1.000452614566651
19,7.6803,1947300.0,0.27096,776.14,-7.1284,0,763230.0,9.4096e+18,334.59,,1.3889,-6.7111,0,0,803461.2531995019,1.0004485624101132
20,7.6744,1946000.0,0.27345,782.58,-7.4502,0,762440.0,9.3985e+18,334.51,,1.462,-6.638,0,0,803385.2223178949,1.000444893802304
21,7.6679,1944600.0,0.27649,790.49,-7.5223,0,761540.0,9.3857e+18,334.39,,1.5351,-6.5649,0,0,803368.4104483032,1.0004395991705894
22,7.6605,1943000.0,0.28035,800.58,-7.2233,0,760470.0,9.3705e+18,334.25,,1.6082,-6.4918,0,0,803436.7139583334,1.0004334126206906
23,7.6531,1941400.0,0.28422,810.66,-6.9243,0,759390.0,9.3552e+18,334.1,,1.6813,-6.4187,0,0,803512.0921578072,1.0004268361184672
24,7.6456,1939900.0,0.28809,820.74,-6.6253,0,758320.0,9.34e+18,333.95,,1.7544,-6.3456,0,0,803612.5840003343,1.0004202714691015
25,7.6335,1937100.0,0.2928,832.54,-6.5773,0,756680.0,9.3167e+18,333.76,,1.8275,-6.2725,0,0,803395.7220341922,1.0004117706364948
26,7.621,1934300.0,0.29758,844.49,-6.5514,0,754990.0,9.2927e+18,333.56,,1.9006,-6.1994,0,0,803168.9040245007,1.0004028612543991
27,7.6085,1931500.0,0.30237,856.45,-6.5255,0,753310.0,9.2688e+18,333.36,,1.9737,-6.1263,0,0,802976.6101878615,1.000393972789277
28,7.5963,1928800.0,0.30712,868.29,-6.37,0,751660.0,9.2454e+18,333.17,,2.0468,-6.0532,0,0,802823.2873676482,1.000385507106526
29,7.5844,1926200.0,0.31183,879.99,-6.0463,0,750060.0,9.2226e+18,332.98,,2.1199,-5.9801,0,0,802729.8834811804,1.0003770871759912
30,7.5722,1923600.0,0.31717,893.31,-5.8883,0,748360.0,9.1986e+18,332.76,,2.193,-5.907,0,0,802770.5113465919,1.0003674491735004
31,7.5598,1921000.0,0.3228,907.4,-5.8073,0,746630.0,9.1739e+18,332.53,,2.2661,-5.8339,0,0,802908.7251234746,1.0003574169135525
32,7.5436,1917500.0,0.32936,923.41,-5.7895,0,744400.0,9.1423e+18,332.25,,2.3392,-5.7608,0,0,802875.5930639919,1.0003451491911726
33,7.5271,1914000.0,0.33596,939.49,-5.7753,0,742130.0,9.11e+18,331.97,,2.4123,-5.6877,0,0,802852.3224167133,1.000332883322443
34,7.5103,1910300.0,0.34251,955.24,-5.7557,0,739830.0,9.0774e+18,331.68,,2.4854,-5.6146,0,0,802815.9826155636,1.000320236127974
35,7.4935,1906700.0,0.34914,971.1,-5.7395,0,737500.0,9.0443e+18,331.38,,2.5585,-5.5415,0,0,802815.1650772736,1.0003072082819948
36,7.4764,1903000.0,0.35587,987.1,-5.7279,0,735130.0,9.0107e+18,331.07,,2.6316,-5.4684,0,0,802847.9731684667,1.0002937951191737
37,7.4581,1899100.0,0.36286,1003.5,-5.7027,0,732620.0,8.9749e+18,330.74,,2.7047,-5.3953,0,0,802870.2361310087,1.0002795544290164
38,7.4393,1895000.0,0.36998,1020.2,-5.6708,0,730020.0,8.9382e+18,330.41,,2.7778,-5.3222,0,0,802887.8855249467,1.0002653012938931
39,7.4188,1890600.0,0.37748,1037.4,-5.6217,0,727220.0,8.8983e+18,330.04,,2.8509,-5.2491,0,0,802884.7926478304,1.000249417491873
40,7.3979,1886100.0,0.38507,1054.7,-5.5698,0,724360.0,8.8577e+18,329.67,,2.924,-5.176,0,0,802899.5268700093,1.0002335470735617
41,7.3756,1881300.0,0.39302,1072.5,-5.5119,0,721300.0,8.8143e+18,329.28,,2.9971,-5.1029,0,0,802893.5667780513,1.0002168463413192
42,7.3527,1876300.0,0.40109,1090.5,-5.4564,0,718170.0,8.7698e+18,328.87,,3.0702,-5.0298,0,0,802912.5302331083,1.0001993795244366
43,7.3287,1871100.0,0.4094,1108.7,-5.4049,0,714900.0,8.7233e+18,328.44,,3.1433,-4.9567,0,0,802933.0434690566,1.0001811223688033
44,7.3039,1865700.0,0.41787,1127.0,-5.3562,0,711500.0,8.6751e+18,327.99,,3.2164,-4.8836,0,0,802933.3859951666,1.0001620863936995
45,7.2784,1860200.0,0.42645,1145.4,-5.3094,0,708030.0,8.6259e+18,327.54,,3.2895,-4.8105,0,0,802959.8997898714,1.0001430907598405
46,7.2522,1854600.0,0.43518,1163.7,-5.2855,0,704470.0,8.5752e+18,327.06,,3.3626,-4.7374,0,0,803009.9796829312,1.0001229467761226
47,7.2259,1848900.0,0.44393,1182.1,-5.1861,0,700880.0,8.5243e+18,326.58,,3.4357,-4.6643,0,0,803091.4372673766,1.0001028651493065
48,7.1988,1843300.0,0.45313,1201.1,-3.7853,0,697220.0,8.4723e+18,326.1,,3.5088,-4.5912,0,0,803369.1422216932,1.0000828395187673
49,7.1665,1836400.0,0.46359,1222.3,-3.3996,0,692850.0,8.4103e+18,325.52,,3.5819,-4.5181,0,0,803518.2793294061,1.0000587577679176
50,7.1326,1828900.0,0.47392,1242.4,-3.1612,0,688270.0,8.3452e+18,324.9,,3.655,-4.445,0,0,803431.8382238582,1.0000331560953566
51,7.0991,1821600.0,0.48449,1262.9,-3.0637,0,683710.0,8.2804e+18,324.27,,3.7281,-4.3719,0,0,803563.9656120843,1.0000072819785855
52,7.0639,1813900.0,0.49516,1283.1,-2.9766,0,678960.0,8.2131e+18,323.63,,3.8012,-4.2988,0,0,803597.9693347947,0.9999811120410457
53,7.0282,1806100.0,0.50592,1303.0,-2.9331,0,674140.0,8.1446e+18,322.96,,3.8743,-4.2257,0,0,803668.8204902646,0.9999538737710946
54,6.9913,1798100.0,0.51691,1322.9,-2.8986,0,669170.0,8.074e+18,322.27,,3.9474,-4.1526,0,0,803757.706447421,0.9999259719223458
