,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Ptot,Z
0,7.7531,1963600.0,0.24128,698.84,0.68033,0,772860.0,9.5464e+18,335.63,,0.0,-8.1,0,0,805043.0931960368,1.000496047008699
1,7.751,1963100.0,0.24205,700.84,0.23312,0,772570.0,9.5424e+18,335.6,,0.0731,-8.0269,0,0,804949.6122503935,1.000494661350695
2,7.7488,1962600.0,0.24283,702.85,-0.21408,0,772290.0,9.5383e+18,335.57,,0.1462,-7.9538,0,0,804869.8247962996,1.0004932838307374
3,7.7467,1962100.0,0.2436,704.85,-0.66128,0,772000.0,9.5342e+18,335.54,,0.2193,-7.8807,0,0,804777.4454938419,1.0004918989953397
4,7.7445,1961500.0,0.24437,706.85,-1.1085,0,771710.0,9.5302e+18,335.51,,0.2924,-7.8076,0,0,804685.6109601278,1.0004905145796081
5,7.7424,1961000.0,0.24514,708.85,-1.5557,0,771430.0,9.5261e+18,335.48,,0.3655,-7.7345,0,0,804604.7542202793,1.0004891382557237
6,7.7402,1960500.0,0.24591,710.86,-2.0029,0,771140.0,9.5221e+18,335.45,,0.4386,-7.6614,0,0,804514.0107225446,1.0004877546645723
7,7.7378,1959900.0,0.24683,713.24,-2.4495,0,770820.0,9.5175e+18,335.41,,0.5117,-7.5883,0,0,804433.9641899244,1.0004859614321602
8,7.7339,1959100.0,0.24845,717.5,-2.8929,0,770310.0,9.5102e+18,335.36,,0.5848,-7.5152,0,0,804350.7814977827,1.000483636851923
9,7.73,1958200.0,0.25007,721.75,-3.3364,0,769800.0,9.5029e+18,335.31,,0.6579,-7.4421,0,0,804270.1167291354,1.0004813135834174
10,7.7261,1957300.0,0.2517,726.01,-3.7799,0,769290.0,9.4957e+18,335.25,,0.731,-7.369,0,0,804194.7936195869,1.0004786044154457
11,7.7222,1956500.0,0.25332,730.27,-4.2233,0,768780.0,9.4884e+18,335.2,,0.8041,-7.2959,0,0,804119.1741894751,1.0004762837690624
12,7.7184,1955600.0,0.25495,734.52,-4.6668,0,768260.0,9.4812e+18,335.14,,0.8772,-7.2228,0,0,804038.4568339925,1.0004735696690865
13,7.7145,1954800.0,0.25657,738.78,-5.1103,0,767750.0,9.4739e+18,335.09,,0.9503,-7.1497,0,0,803967.8660906906,1.0004712516787329
